#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
70628	854999	851415	35159	31921	YML010W	YDL140C	SPT5	RPO21	transcription elongation factor SPT5|L000002031	RPB1|RPB220|SUA8|DNA-directed RNA polymerase II core subunit RPO21|B220|L000001744	Affinity Capture-MS	physical	Krogan NJ (2004)	PUBMED:14759368	559292	559292	High Throughput	-	-	-	-	BIOGRID	P27692	-	NP_013703	P04050	-	NP_010141	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
70629	851415	854999	31921	35159	YDL140C	YML010W	RPO21	SPT5	RPB1|RPB220|SUA8|DNA-directed RNA polymerase II core subunit RPO21|B220|L000001744	transcription elongation factor SPT5|L000002031	Affinity Capture-MS	physical	Krogan NJ (2004)	PUBMED:14759368	559292	559292	High Throughput	-	-	-	-	BIOGRID	P04050	-	NP_010141	P27692	-	NP_013703	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
96784	852538	854999	32931	35159	YBR236C	YML010W	ABD1	SPT5	L000000011	transcription elongation factor SPT5|L000002031	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P32783	-	NP_009795	P27692	-	NP_013703	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
98813	852013	854999	32464	35159	YDR404C	YML010W	RPB7	SPT5	DNA-directed RNA polymerase II subunit RPB7|B16|L000001681	transcription elongation factor SPT5|L000002031	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P34087	-	NP_010692	P27692	-	NP_013703	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
99671	856154	854999	36218	35159	YPR041W	YML010W	TIF5	SPT5	SUI5|translation initiation factor eIF5|L000002305	transcription elongation factor SPT5|L000002031	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P38431	-	NP_015366	P27692	-	NP_013703	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
99868	852234	854999	32651	35159	YBL046W	YML010W	PSY4	SPT5	-	transcription elongation factor SPT5|L000002031	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P38193	-	NP_009507	P27692	-	NP_013703	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
100126	855520	854999	35633	35159	YNL201C	YML010W	PSY2	SPT5	-	transcription elongation factor SPT5|L000002031	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P40164	-	NP_014198	P27692	-	NP_013703	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
103681	853475	854999	33773	35159	YJR017C	YML010W	ESS1	SPT5	PIN1|PTF1|peptidylprolyl isomerase ESS1|L000000587	transcription elongation factor SPT5|L000002031	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P22696	-	NP_012551	P27692	-	NP_013703	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
133689	852538	854999	32931	35159	YBR236C	YML010W	ABD1	SPT5	L000000011	transcription elongation factor SPT5|L000002031	Affinity Capture-MS	physical	Lindstrom DL (2003)	PUBMED:12556496	559292	559292	High Throughput	-	-	-	-	BIOGRID	P32783	-	NP_009795	P27692	-	NP_013703	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
133690	854999	852538	35159	32931	YML010W	YBR236C	SPT5	ABD1	transcription elongation factor SPT5|L000002031	L000000011	Affinity Capture-MS	physical	Lindstrom DL (2003)	PUBMED:12556496	559292	559292	High Throughput	-	-	-	-	BIOGRID	P27692	-	NP_013703	P32783	-	NP_009795	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
133919	852747	854999	33121	35159	YGL130W	YML010W	CEG1	SPT5	L000000291	transcription elongation factor SPT5|L000002031	Affinity Capture-MS	physical	Lindstrom DL (2003)	PUBMED:12556496	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q01159	-	NP_011385	P27692	-	NP_013703	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
133920	854999	852747	35159	33121	YML010W	YGL130W	SPT5	CEG1	transcription elongation factor SPT5|L000002031	L000000291	Affinity Capture-MS	physical	Lindstrom DL (2003)	PUBMED:12556496	559292	559292	High Throughput	-	-	-	-	BIOGRID	P27692	-	NP_013703	Q01159	-	NP_011385	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
133966	854020	854999	34272	35159	YOL145C	YML010W	CTR9	SPT5	CDP1|L000003477	transcription elongation factor SPT5|L000002031	Affinity Capture-MS	physical	Squazzo SL (2002)	PUBMED:11927560	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P89105	-	NP_014496	P27692	-	NP_013703	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
134330	854290	854999	34518	35159	YOR123C	YML010W	LEO1	SPT5	L000000936	transcription elongation factor SPT5|L000002031	Affinity Capture-MS	physical	Squazzo SL (2002)	PUBMED:11927560	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P38439	-	NP_014766	P27692	-	NP_013703	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
134784	852582	854999	32973	35159	YBR279W	YML010W	PAF1	SPT5	L000002621	transcription elongation factor SPT5|L000002031	Affinity Capture-MS	physical	Squazzo SL (2002)	PUBMED:11927560	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P38351	-	NP_009838	P27692	-	NP_013703	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
134830	854933	854999	35097	35159	YML069W	YML010W	POB3	SPT5	FACT complex subunit POB3|L000003326	transcription elongation factor SPT5|L000002031	Affinity Capture-MS	physical	Lindstrom DL (2003)	PUBMED:12556496	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q04636	-	NP_013642	P27692	-	NP_013703	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
