#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
99530	851752	856408	32225	36444	YDR172W	YHR015W	SUP35	MIP6	GST1|PNM2|SAL3|SUF12|SUP2|SUP36|translation termination factor GTPase eRF3|eRF3|[PSI(+)]|[PSI]|L000002200	L000004334	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P05453	-	NP_010457	P38760	-	NP_011879	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
148696	855934	856408	36014	36444	YPL169C	YHR015W	MEX67	MIP6	L000004314	L000004334	Two-hybrid	physical	Segref A (1997)	PUBMED:9214641	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q99257	-	NP_015156	P38760	-	NP_011879	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
197770	852351	856408	32763	36444	YBR059C	YHR015W	AKL1	MIP6	serine/threonine protein kinase AKL1|S000007479	L000004334	Biochemical Activity	physical	Ptacek J (2005)	PUBMED:16319894	559292	559292	High Throughput	-	Phosphorylation	32P incorporation on protein chip	-	BIOGRID	P38080	-	NP_009615	P38760	-	NP_011879	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
311473	856408	856864	36444	36871	YHR015W	YER127W	MIP6	LCP5	L000004334	L000004265	Negative Genetic	genetic	Wilmes GM (2008)	PUBMED:19061648	559292	559292	High Throughput	-5.826846	-	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID	P38760	-	NP_011879	P40079	-	NP_011053	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
311584	856408	850515	36444	31117	YHR015W	YFL029C	MIP6	CAK1	L000004334	CIV1|cyclin-dependent protein kinase-activating kinase CAK1|L000003177	Positive Genetic	genetic	Wilmes GM (2008)	PUBMED:19061648	559292	559292	High Throughput	2.384371	-	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID	P38760	-	NP_011879	P43568	-	NP_116624	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
311616	856408	850623	36444	31217	YHR015W	YLL036C	MIP6	PRP19	L000004334	PSO4|E3 ubiquitin-protein ligase PRP19|L000001506	Positive Genetic	genetic	Wilmes GM (2008)	PUBMED:19061648	559292	559292	High Throughput	2.788447	-	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID	P38760	-	NP_011879	P32523	-	NP_013064	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
313846	851061	856408	31610	36444	YLR347C	YHR015W	KAP95	MIP6	RSL1|L000002781|L000002885	L000004334	Positive Genetic	genetic	Wilmes GM (2008)	PUBMED:19061648	559292	559292	High Throughput	2.049632	-	An Epistatic MiniArray Profile (E-MAP) analysis was used to quantitatively score genetic interactions based on fitness defects estimated from the colony size of double versus single mutants.  Genetic interactions were considered significant if they had an S score > 2.5 for positive interactions (suppression)  and S score < -2.5 for negative interactions (synthetic sick/lethality).	-	BIOGRID	Q06142	-	NP_013451	P38760	-	NP_011879	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
336880	855013	856408	35171	36444	YMR001C	YHR015W	CDC5	MIP6	MSD2|PKX2|polo kinase CDC5|L000000245	L000004334	Affinity Capture-MS	physical	Matos J (2008)	PUBMED:19013276	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P32562	-	NP_013714	P38760	-	NP_011879	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
350516	852755	856408	33129	36444	YGL122C	YHR015W	NAB2	MIP6	mRNA-binding protein NAB2|L000001227	L000004334	Affinity Capture-RNA	physical	Batisse J (2009)	PUBMED:19840948	559292	559292	High Throughput	-	-	High Throughput: The experiment involved high-throughput sequencing of the RNAs that co-precipitated with TAP-tagged Nab2 (Nab2-TAP).	-	BIOGRID	P32505	-	NP_011393	P38760	-	NP_011879	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
384664	853207	856408	33539	36444	YGR289C	YHR015W	MAL11	MIP6	AGT1|MALT|L000002978	L000004334	Negative Genetic	genetic	Costanzo M (2010)	PUBMED:20093466	559292	559292	High Throughput	-0.1553	-	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.	-	BIOGRID	P53048	-	NP_011805	P38760	-	NP_011879	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
