#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
146280	853959	855731	34215	35824	YKR084C	YNL001W	HBS1	DOM34	ribosome dissociation factor GTPase HBS1|L000000756	ribosome dissociation factor DOM34|L000000517	Two-hybrid	physical	Carr-Schmid A (2002)	PUBMED:11909951	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P32769	-	NP_013010	P33309	-	NP_014397	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
146281	853959	855731	34215	35824	YKR084C	YNL001W	HBS1	DOM34	ribosome dissociation factor GTPase HBS1|L000000756	ribosome dissociation factor DOM34|L000000517	Affinity Capture-Western	physical	Carr-Schmid A (2002)	PUBMED:11909951	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P32769	-	NP_013010	P33309	-	NP_014397	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
148418	851178	853959	31715	34215	YLR456W	YKR084C	YLR456W	HBS1	pyridoxal 5-phosphate synthase	ribosome dissociation factor GTPase HBS1|L000000756	Two-hybrid	physical	Fromont-Racine M (1997)	PUBMED:9207794	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q06199	-	NP_013561	P32769	-	NP_013010	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
162474	853959	850994	34215	31553	YKR084C	YLR287C-A	HBS1	RPS30A	ribosome dissociation factor GTPase HBS1|L000000756	ribosomal 40S subunit protein S30A|S30e|S30A|L000003183	Synthetic Growth Defect	genetic	Carr-Schmid A (2002)	PUBMED:11909951	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P32769	-	NP_013010	P0CX34|P0CX33	-	NP_013390	APO:0000106	vegetative growth	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
162475	853959	854354	34215	34577	YKR084C	YOR182C	HBS1	RPS30B	ribosome dissociation factor GTPase HBS1|L000000756	ribosomal 40S subunit protein S30B|S30e|S30B|L000003497	Synthetic Growth Defect	genetic	Carr-Schmid A (2002)	PUBMED:11909951	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P32769	-	NP_013010	P0CX34|P0CX33	-	NP_014825	APO:0000106	vegetative growth	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
162476	853959	850397	34215	31014	YKR084C	YCR031C	HBS1	RPS14A	ribosome dissociation factor GTPase HBS1|L000000756	CRY1|RPL59|ribosomal 40S subunit protein S14A|S11|rp59A|S14A|L000000423	Synthetic Growth Defect	genetic	Carr-Schmid A (2002)	PUBMED:11909951	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P32769	-	NP_013010	P06367	-	NP_009960	APO:0000106	vegetative growth	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
200803	853275	853959	33595	34215	YJL164C	YKR084C	TPK1	HBS1	PKA1|SRA3|cAMP-dependent protein kinase catalytic subunit TPK1|L000002045	ribosome dissociation factor GTPase HBS1|L000000756	Biochemical Activity	physical	Ptacek J (2005)	PUBMED:16319894	559292	559292	High Throughput	-	Phosphorylation	32P incorporation on protein chip	-	BIOGRID	P06244	-	NP_012371	P32769	-	NP_013010	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
265942	855731	853959	35824	34215	YNL001W	YKR084C	DOM34	HBS1	ribosome dissociation factor DOM34|L000000517	ribosome dissociation factor GTPase HBS1|L000000756	Co-fractionation	physical	Graille M (2008)	PUBMED:18180287	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P33309	-	NP_014397	P32769	-	NP_013010	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
265944	855731	853959	35824	34215	YNL001W	YKR084C	DOM34	HBS1	ribosome dissociation factor DOM34|L000000517	ribosome dissociation factor GTPase HBS1|L000000756	Biochemical Activity	physical	Graille M (2008)	PUBMED:18180287	559292	559292	Low Throughput	-	No Modification	-	-	BIOGRID	P33309	-	NP_014397	P32769	-	NP_013010	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
319764	855731	853959	35824	34215	YNL001W	YKR084C	DOM34	HBS1	ribosome dissociation factor DOM34|L000000517	ribosome dissociation factor GTPase HBS1|L000000756	Two-hybrid	physical	Yu H (2008)	PUBMED:18719252	559292	559292	High Throughput	-	-	-	-	BIOGRID	P33309	-	NP_014397	P32769	-	NP_013010	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
