"Protein.IDs","my_label","Gene.names","difference_RNase_WT","log10.pvalue_RNase_WT","log2.LFQ.intensity.RNase_01","log2.LFQ.intensity.RNase_02","log2.LFQ.intensity.RNase_03","log2.LFQ.intensity.RNase_04","imputed.log2.LFQ.intensity.RNase_01","imputed.log2.LFQ.intensity.RNase_02","imputed.log2.LFQ.intensity.RNase_03","imputed.log2.LFQ.intensity.RNase_04","value_count_RNase","log2.LFQ.intensity.WT_01","log2.LFQ.intensity.WT_02","log2.LFQ.intensity.WT_03","log2.LFQ.intensity.WT_04","imputed.log2.LFQ.intensity.WT_01","imputed.log2.LFQ.intensity.WT_02","imputed.log2.LFQ.intensity.WT_03","imputed.log2.LFQ.intensity.WT_04","value_count_WT"
"YBL026W-TAP","LSM2-TAP","LSM2-TAP",12.2448828715877,9.06782887777433,34.1420116205164,33.5444370666152,33.961804625686,33.8843098165107,34.1420116205164,33.5444370666152,33.961804625686,33.8843098165107,4,NA,NA,NA,21.3784599746162,21.7470522516228,21.9665972320264,21.4609221847118,21.3784599746162,1
"YER172C","BRR2","BRR2",5.79498022905423,6.94198789389761,27.9307229924469,27.3167407265264,27.6979649625339,27.8912228221423,27.9307229924469,27.3167407265264,27.6979649625339,27.8912228221423,4,NA,NA,NA,NA,22.2656034263518,22.0087347314097,21.7756741975179,21.6067182321531,0
"YDR378C","LSM6","LSM6",7.04334470721205,6.15982607418978,28.7608790469304,28.1463248042143,28.7896739293534,29.0345940456979,28.7608790469304,28.1463248042143,28.7896739293534,29.0345940456979,4,NA,NA,NA,NA,22.0691869443246,22.0282614541021,21.2109289688779,21.2497156300432,0
"YER112W","LSM4","LSM4",9.99835181697988,5.75985112086546,31.5544897716317,30.8395107467241,31.3871012871066,31.8780362679934,31.5544897716317,30.8395107467241,31.3871012871066,31.8780362679934,4,NA,NA,NA,NA,22.229486625516,21.6992305930336,20.6912767699596,21.0457368170271,0
"YBR247C","ENP1","ENP1",1.91665835922747,5.10358437289996,25.2735543165528,25.3113281387721,25.5714374157175,25.5403482482738,25.2735543165528,25.3113281387721,25.5714374157175,25.5403482482738,4,23.5047006871262,23.5822182596134,23.5491021527996,23.3940135828672,23.5047006871262,23.5822182596134,23.5491021527996,23.3940135828672,4
"YJR022W","LSM8","LSM8",7.47092835652755,5.08317948949061,29.2079489139182,29.046690271209,29.1619973704712,29.1771688100535,29.2079489139182,29.046690271209,29.1619973704712,29.1771688100535,4,NA,NA,NA,NA,21.9115825426706,21.9695401060556,21.4641537370049,21.3648155538105,0
"YLR438C-A","LSM3","LSM3",8.70233795693781,4.65564973354196,30.2006952484736,29.8995152751369,30.3099718129782,30.390077715878,30.2006952484736,29.8995152751369,30.3099718129782,30.390077715878,4,NA,NA,NA,NA,22.1464788200833,21.900240576365,20.9184075602045,21.0257812680626,0
"YDR375C","BCS1","BCS1",3.01473371744838,4.53690073037133,29.2435211854469,28.5021073977141,29.1058701137918,28.7741074880001,29.2435211854469,28.5021073977141,29.1058701137918,28.7741074880001,4,26.1826248544964,26.1982052118382,25.8282763581496,25.3575648906753,26.1826248544964,26.1982052118382,25.8282763581496,25.3575648906753,4
"YJL124C","LSM1","LSM1",9.71231681303417,4.46853323115523,31.2352922477396,31.5105544408728,31.5033686067615,31.352318327621,31.2352922477396,31.5105544408728,31.5033686067615,31.352318327621,4,NA,NA,NA,NA,22.2121455241475,21.9666200957667,21.7410186185625,20.8324821323814,0
"YLR275W","SMD2","SMD2",4.03083353766828,4.36519589737553,25.3657630893361,26.6369936083669,25.6895518702401,25.5875213956713,25.3657630893361,26.6369936083669,25.6895518702401,25.5875213956713,4,NA,NA,NA,NA,22.3318561685577,21.8119140700011,21.7157883098541,21.2969372645284,0
"YDR473C","PRP3","PRP3",4.51608499906165,4.23501700019893,26.285227085796,25.868630421726,26.3328577069649,26.1087090097753,26.285227085796,25.868630421726,26.3328577069649,26.1087090097753,4,NA,NA,NA,NA,22.1853861402619,21.5096329101931,21.7992962969339,21.0367688806267,0
"YNL147W","LSM7","LSM7",9.70298937124465,4.16671354117967,30.6764864775117,31.1580409735043,31.0891681436932,30.9162006394142,30.6764864775117,31.1580409735043,31.0891681436932,30.9162006394142,4,NA,NA,NA,NA,21.8931235594007,21.9954885756502,20.4118180464886,20.7275085676052,0
"YGR091W","PRP31","PRP31",4.23127364467722,4.1597355098968,26.0386705386342,25.594628493072,25.9718692509543,25.7297746502951,26.0386705386342,25.594628493072,25.9718692509543,25.7297746502951,4,NA,NA,NA,NA,21.9673349130697,21.8663404508299,21.6604562120572,20.9157167782899,0
"YDR212W","TCP1","TCP1",1.07619946657171,4.11863184418298,25.5061242549841,25.6022389797968,25.4016498430798,25.2822779618452,25.5061242549841,25.6022389797968,25.4016498430798,25.2822779618452,4,24.4566978205281,24.3196203066768,24.4016498430798,24.3095252031343,24.4566978205281,24.3196203066768,24.4016498430798,24.3095252031343,4
"YKL173W","SNU114","SNU114",5.33771229326104,4.08201697905718,27.053723580804,26.7737931822014,27.7154835234902,26.8692660583656,27.053723580804,26.7737931822014,27.7154835234902,26.8692660583656,4,NA,NA,22.5325043211492,NA,22.0048819091833,21.7711804169045,22.5325043211492,20.7528505245801,1
"YMR268C","PRP24","PRP24",4.86980080759825,4.02261439407514,26.5856317019682,26.285474044085,26.5265201334199,26.4793114238501,26.5856317019682,26.285474044085,26.5265201334199,26.4793114238501,4,NA,NA,NA,NA,22.2115313579002,21.520613698932,21.5643646110415,21.1012244050564,0
"YCR077C","PAT1","PAT1",11.330486178012,3.84892991914558,32.90920625973,31.9783174410729,32.8555459382954,33.033839575269,32.90920625973,31.9783174410729,32.8555459382954,33.033839575269,4,23.3315599199884,20.3222362548838,21.093327289956,20.7078410374911,23.3315599199884,20.3222362548838,21.093327289956,20.7078410374911,4
"YPR178W","PRP4","PRP4",4.59920268739106,3.80452923259022,26.132888767042,25.9774483365527,26.4826230968248,25.6411349231642,26.132888767042,25.9774483365527,26.4826230968248,25.6411349231642,4,NA,NA,NA,NA,22.2420512209374,21.7834975518977,20.6783898108119,21.1333457903725,0
"YBR143C","SUP45","SUP45",1.86717722614138,3.77204442930235,28.8694131565683,28.2759088671737,28.9091919507571,28.6651601757951,28.8694131565683,28.2759088671737,28.9091919507571,28.6651601757951,4,27.0033526867141,26.8595835049683,26.6719565017925,26.7160725522537,27.0033526867141,26.8595835049683,26.6719565017925,26.7160725522537,4
"YDR423C","CAD1","CAD1",1.3420887336845,3.64657084454327,26.608653919884,26.1588668201381,26.7088567660796,26.537522117242,26.608653919884,26.1588668201381,26.7088567660796,26.537522117242,4,25.3465158973451,25.1590401156835,24.9897551645556,25.1502335110217,25.3465158973451,25.1590401156835,24.9897551645556,25.1502335110217,4
"YER146W","LSM5","LSM5",5.81927576873806,3.26100029168909,27.6834473216153,25.5948847216564,28.269145874181,27.5907082205454,27.6834473216153,25.5948847216564,28.269145874181,27.5907082205454,4,NA,NA,NA,NA,22.1409639422392,21.7501731128484,21.0840915590025,20.8858544489558,0
"YGR075C","PRP38","PRP38",1.19164661184019,3.25428187794128,22.9103133438609,NA,NA,22.9444411242745,22.9103133438609,22.7965028320535,22.3943089355074,22.9444411242745,2,NA,NA,NA,NA,21.8960708736055,21.5832093035351,21.5198492109523,21.2798504002426,0
"YBR079C","RPG1","RPG1",1.22255933701337,3.2515304119603,28.4892237240496,28.0445292809672,28.4773439280019,28.5228290939457,28.4892237240496,28.0445292809672,28.4773439280019,28.5228290939457,4,27.1530590243662,27.1900874940355,27.264007986345,27.0365341741642,27.1530590243662,27.1900874940355,27.264007986345,27.0365341741642,4
"YDL098C","SNU23","SNU23",3.38392784430633,3.11811039453582,24.9388089299514,24.7352089262148,24.8150916387321,25.0968775849213,24.9388089299514,24.7352089262148,24.8150916387321,25.0968775849213,4,NA,NA,NA,NA,22.1821156732766,21.5741430581706,20.7727301276089,21.5212868435383,0
"YOR158W","PET123","PET123",1.94697460370918,3.05410257499247,24.6411900604649,24.0431007305431,24.8573306829961,24.0468515647234,24.6411900604649,24.0431007305431,24.8573306829961,24.0468515647234,4,NA,22.8979621197037,22.4493481727872,22.6586176996629,21.794646631737,22.8979621197037,22.4493481727872,22.6586176996629,3
"YBR244W","GPX2","GPX2",1.81922840861616,2.85118486034766,23.6239957674139,NA,23.6027486959922,23.6706605708355,23.6239957674139,22.6547749482332,23.6027486959922,23.6706605708355,3,NA,NA,NA,NA,22.0938760949886,21.6538539427638,21.1217162544231,21.4058200558347,0
"YBR146W","MRPS9","MRPS9",2.03336452195099,2.84900877747922,24.5917213842006,23.4222670477124,24.3328577069649,24.589437192715,24.5917213842006,23.4222670477124,24.3328577069649,24.589437192715,4,22.3217409656277,21.8111959261366,21.9428852914332,22.7270030605915,22.3217409656277,21.8111959261366,21.9428852914332,22.7270030605915,4
"YHR165C","PRP8","PRP8",4.83903936720951,2.69252894432008,27.7064873758814,25.7641801417884,26.9039165894037,27.2389970945164,27.7064873758814,25.7641801417884,26.9039165894037,27.2389970945164,4,24.0437682586248,NA,NA,NA,24.0437682586248,21.9316064780868,21.4299365821776,20.8521124138627,1
"YOR260W","GCD1","GCD1",1.7248823318947,2.64189658624634,23.8803562823111,NA,23.2330830550946,23.6411900604649,23.8803562823111,22.6952514756053,23.2330830550946,23.6411900604649,3,NA,NA,NA,NA,22.0797544656038,21.7546464782452,21.2817405123034,21.4342100897447,0
"YLR380W","CSR1","CSR1",1.70172632608053,2.50514749619302,23.5422686314589,NA,23.6738982181568,23.5039732167145,23.5422686314589,22.5390227728787,23.6738982181568,23.5039732167145,3,NA,NA,NA,NA,21.9604264727588,21.6783898618531,21.4045700394777,21.4088711607973,0
"YGR084C","MRP13","MRP13",1.90121253466372,2.45050127085997,23.8318074570603,NA,23.7154442463539,23.3006162127801,23.8318074570603,22.5155323050716,23.7154442463539,23.3006162127801,3,NA,NA,NA,NA,22.1743460842901,21.5199723965466,20.8514504100489,21.2127811917254,0
"YJR077C","MIR1","MIR1",1.32180023216852,2.43002920034668,23.2189669842721,NA,NA,23.2217717744502,23.2189669842721,22.8195500193876,22.4546621008119,23.2217717744502,2,NA,NA,NA,NA,22.081800438568,21.8086629019686,21.4494625035936,21.0878241061176,0
