KEGG,General_Function
Proteasome,Degradation
Spliceosome,Splicing
Ribosome,Ribosome
Nucleocytoplasmic transport,Export
Ribosome biogenesis in eukaryotes,Ribosome
RNA degradation,Degradation
RNA polymerase,Synthesis
Glutathione metabolism,Metabolism
Pyrimidine metabolism,Metabolism
Metabolic pathways,Metabolism
Biosynthesis of secondary metabolites,Synthesis
Biosynthesis of amino acids,Synthesis
Carbon metabolism,Metabolism
Purine metabolism,Metabolism
"Glycine, serine and threonine metabolism",Metabolism
Glycolysis / Gluconeogenesis,Metabolism
Methane metabolism,Metabolism
Aminoacyl-tRNA biosynthesis,Synthesis
mRNA surveillance pathway,Degradation
Biosynthesis of cofactors,Synthesis
Nucleotide metabolism,Metabolism
"Alanine, aspartate and glutamate metabolism",Metabolism
Protein processing in endoplasmic reticulum,Metabolism
Cysteine and methionine metabolism,Metabolism
