"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"sce01100","Metabolic pathways","78/115","198/469",1.63173529675281e-10,5.87424706831012e-09,3.60699381387464e-09,"854444/852378/854948/852507/851152/855245/854339/853155/853653/853573/852519/854501/854557/851237/850327/852606/852617/852858/853118/855845/851193/856778/851920/856014/853181/851560/855750/856766/851582/856825/854295/851013/852550/850605/856804/854556/852875/855149/855346/853169/851493/855723/851736/851073/852639/850614/852952/851383/853465/850747/851705/852412/850370/853059/856801/854744/853830/855501/852565/854913/856044/855257/856589/853172/853025/850733/850825/852672/853604/856268/852495/850499/854356/854275/856782/854736/850714/856665",78
"sce01110","Biosynthesis of secondary metabolites","58/115","136/469",1.41426275404975e-08,2.54567295728955e-07,1.56313251763393e-07,"854948/851152/855245/853155/854501/850327/852606/852617/852858/851193/856778/851920/855750/851582/856825/854295/851013/852550/856804/854556/852875/855149/855346/853169/851493/855723/851736/851073/852639/850614/852952/851383/853465/850747/851705/852412/850370/853059/853830/852565/854913/856044/856589/853172/853025/850733/850825/852672/853604/856268/852495/850499/854356/854275/856782/854736/850714/856665",58
"sce00970","Aminoacyl-tRNA biosynthesis","16/115","19/469",3.59456285099949e-08,4.31347542119939e-07,2.64862525863121e-07,"854056/854339/852986/856412/852606/856145/850749/853181/850522/855943/852202/854732/851942/851607/851587/853097",16
"sce01230","Biosynthesis of amino acids","34/115","77/469",2.61059025713142e-05,0.000234953123141828,0.000144269461578315,"855245/853155/852519/854501/850327/852858/851193/856778/856825/851013/852550/852875/853169/851493/855723/851736/851383/853465/850747/851705/852412/850370/853059/852565/853025/852672/853604/856268/854356/854275/856782/854736/850714/856665",34
"sce00250","Alanine, aspartate and glutamate metabolism","11/115","17/469",0.000403781112868948,0.00290722401265642,0.00178513755163114,"853573/854557/851237/851920/855346/851073/851383/855501/853025/856268/850714",11
"sce01200","Carbon metabolism","21/115","45/469",0.000542551799241589,0.00325531079544953,0.00199887504983743,"855245/853155/852519/851193/851582/851013/853169/851493/855723/852639/850614/853465/850747/850370/852565/856589/853172/852495/854356/854736/850714",21
"sce00480","Glutathione metabolism","8/115","12/469",0.0021298077529087,0.010953297014959,0.0067257086933959,"856014/850605/851493/855723/856801/854744/856589/853172",8
"sce00260","Glycine, serine and threonine metabolism","11/115","21/469",0.00452984661557819,0.0203843097701019,0.0125166814377818,"852858/856778/851582/851736/850747/853059/852565/853604/854356/854736/856665",11
"sce00270","Cysteine and methionine metabolism","10/115","19/469",0.00658655948909497,0.0263462379563799,0.0161775145346192,"856778/856766/856825/851736/853059/852672/853604/854356/854736/850714",10
"sce00010","Glycolysis / Gluconeogenesis","14/115","31/469",0.00759441540968047,0.0273398954748497,0.0167876551161358,"855245/853155/851193/856804/854556/853169/852639/850614/853465/850370/856044/850733/850825/852495",14
