source,target,set
Ist3,Erg6,PPI
Ist3,Ape1,PPI
Ist3,Sec31,PPI
Ist3,Rpa135,PPI
Ist3,Hxk1,PPI
Ist3,Cop1,PPI
Ist3,Pml1,PPI
Ist3,Rpo31,PPI
Ist3,Ura1,PPI
Ist3,Mss116,PPI
Ist3,Aro4,PPI
Ist3,Rpn7,PPI
Ist3,Idh2,PPI
Ist3,Gcn1,PPI
Ist3,Rpn9,PPI
Ist3,Sir4,PPI
Ist3,Hsh155,PPI
Ist3,Net1,PPI
Ist3,Aro1,PPI
Ist3,Rpn2,PPI
Ist3,Prp8,PPI
Ist3,Sam2,PPI
Ist3,Frs2,PPI
Ist3,Sti1,PPI
Ist3,Glo1,PPI
Ist3,Nop7,PPI
Ist3,Prp19,PPI
Ist3,Cct6,PPI
Ist3,Snu114,PPI
Ist3,Tdh1,PPI
Ist3,Rpt2,PPI
Ist3,Pup2,PPI
Ist3,Bgl2,PPI
Ist3,Uba1,PPI
Ist3,Sec14,PPI
Ist3,Brr2,PPI
Ist3,Rpt5,PPI
Ist3,Ist3,PPI
Ist3,Dld3,RNAmediated
Ist3,Pab1,RNAmediated
Ist3,Lsm12,RNAmediated
Ist3,She2,RNAmediated
Ist3,Xrn1,RNAmediated
Ist3,Rrp5,RNAmediated
Ist3,Imd4,RNAmediated
Ist3,Hho1,RNAmediated
Ist3,Tma20,RNAmediated
Ist3,Hmo1,RNAmediated
Ist3,Nam7,RNAmediated
Ist3,Imd3,RNAmediated
Ist3,Bfr1,RNAmediated
Ist3,Ubp3,RNAmediated
Cbc2,Prp40,Overlap
Cbc2,Prp39,Overlap
Cbc2,Snu71,Overlap
Cbc2,Mud1,Overlap
Cbc2,Luc7,Overlap
Cbc2,Prp42,Overlap
Cbc2,Prp19,Overlap
Cbc2,Snu114,Overlap
Cbc2,Sto1,PPI
Cbc2,Cbc2,PPI
Cbc2,Brr2,PPI
Cbc2,Yhc1,PPI
Cbc2,Kap95,PPI
Cbc2,Snu56,PPI
Cbc2,Cct7,PPI
Cbc2,Rsm26,PPI
Cbc2,Nrd1,PPI
Cbc2,Tif4631,PPI
Cbc2,Srp1,PPI
Cbc2,Ypk1,PPI
Cbc2,Snp1,PPI
Cbc2,Yhb1,PPI
Cbc2,Smd2,PPI
Cbc2,Cdc11,PPI
Cbc2,Prp8,PPI
Cbc2,Csr1,PPI
Cbc2,Erg1,PPI
Cbc2,Erg6,PPI
Cbc2,Smb1,PPI
Cbc2,Nop12,PPI
Cbc2,Nab3,PPI
Cbc2,Tma22,PPI
Cbc2,Pap2,PPI
Cbc2,Ubc4,PPI
Cbc2,Lsg1,PPI
Cbc2,Fpr3,PPI
Cbc2,Ade3,PPI
Cbc2,Imd4,RNAmediated
Cbc2,Pab1,RNAmediated
Cbc2,Rse1,RNAmediated
Cbc2,Cus1,RNAmediated
Cbc2,Imd3,RNAmediated
Cbc2,Xrn1,RNAmediated
Cbc2,Rrp5,RNAmediated
