nodes,size,Functionality,ID
Pab1,1,None,Prey
Ist3,52,None,Bait
Hrb1,1,None,Prey
Cbc2,72,None,Bait
Msl1,41,None,Bait
Mtr4,1,None,Prey
Lsm2,95,None,Bait
Gbp2,1,None,Prey
Snp1,34,None,Bait
Hsh49,42,None,Bait
Sto1,99,None,Bait
Dcp2,1,None,Prey
Dhh1,113,None,Bait
Tif4631,1,None,Prey
Nam7,1,None,Prey
Dbp2,1,None,Prey
Tif4632,1,None,Prey
Mis1,1,None,Prey
Mss116,1,None,Prey
Ecm16,1,None,Prey
YLR419W,1,None,Prey
Nop4,1,None,Prey
Sro9,1,None,Prey
Utp22,1,None,Prey
Imd3,1,None,Prey
Hmo1,1,None,Prey
Mgm101,1,None,Prey
Rbg1,1,None,Prey
Rli1,1,None,Prey
Nop13,1,None,Prey
Hho1,1,None,Prey
Tma46,1,None,Prey
Nop6,1,None,Prey
Rpo31,1,None,Prey
Sbp1,1,None,Prey
Ubp3,1,None,Prey
Xrn1,1,None,Prey
Trm1,1,None,Prey
Ecm32,1,None,Prey
Bfr1,1,None,Prey
Nop12,1,None,Prey
Aro4,1,None,Prey
Prp19,1,None,Prey
Snu114,1,None,Prey
Nop10,1,None,Prey
Yra1,1,None,Prey
Pus4,1,None,Prey
Erg6,1,None,Prey
Rrp7,1,None,Prey
Bmh2,1,None,Prey
Bre5,1,None,Prey
Rpa135,1,None,Prey
Cdc33,1,None,Prey
Rpn2,1,None,Prey
Ura1,1,None,Prey
Yhb1,1,None,Prey
Ade3,1,None,Prey
Cof1,1,None,Prey
Rrp5,1,None,Prey
Sec31,1,None,Prey
Net1,1,None,Prey
Cop1,1,None,Prey
Rsm26,1,None,Prey
Rpt5,1,None,Prey
Tdh1,1,None,Prey
Lsm12,1,None,Prey
Hek2,1,None,Prey
Imd4,1,None,Prey
Tub1,1,None,Prey
Ape1,1,None,Prey
Hxk1,1,None,Prey
Pml1,1,None,Prey
Rpn7,1,None,Prey
Idh2,1,None,Prey
Gcn1,1,None,Prey
