bait,prey,complex,n_complex
Prp11,Prp21,Prp9p/Prp11p/Prp21p complex(SF3a complex),3
Prp11,Prp9,Prp9p/Prp11p/Prp21p complex(SF3a complex),3
Prp21,Prp11,Prp9p/Prp11p/Prp21p complex(SF3a complex),3
Prp21,Prp9,Prp9p/Prp11p/Prp21p complex(SF3a complex),3
Prp9,Prp11,Prp9p/Prp11p/Prp21p complex(SF3a complex),3
Prp9,Prp21,Prp9p/Prp11p/Prp21p complex(SF3a complex),3
Air2,Mtr4,TRAMP complex (Air2p),3
Air2,Pap2,TRAMP complex (Air2p),3
Mtr4,Air2,TRAMP complex (Air2p),3
Mtr4,Pap2,TRAMP complex (Air2p),3
Pap2,Air2,TRAMP complex (Air2p),3
Pap2,Mtr4,TRAMP complex (Air2p),3
Bud13,Pml1,RES complex,3
Bud13,Ist3,RES complex,3
Pml1,Bud13,RES complex,3
Pml1,Ist3,RES complex,3
Ist3,Bud13,RES complex,3
Ist3,Pml1,RES complex,3
Cbc2,Msl5,commitment complex,21
Cbc2,Mud2,commitment complex,21
Cbc2,Sto1,commitment complex,21
Cbc2,Smb1,commitment complex,21
Cbc2,Smd1,commitment complex,21
Cbc2,Smd2,commitment complex,21
Cbc2,Smd3,commitment complex,21
Cbc2,Sme1,commitment complex,21
Cbc2,Smx2,commitment complex,21
Cbc2,Smx3,commitment complex,21
Cbc2,Luc7,commitment complex,21
Cbc2,Mud1,commitment complex,21
Cbc2,Nam8,commitment complex,21
Cbc2,Prp39,commitment complex,21
Cbc2,Prp40,commitment complex,21
Cbc2,Prp42,commitment complex,21
Cbc2,Snp1,commitment complex,21
Cbc2,Snu56,commitment complex,21
Cbc2,Snu71,commitment complex,21
Cbc2,Yhc1,commitment complex,21
Msl5,Cbc2,commitment complex,21
Msl5,Mud2,commitment complex,21
Msl5,Sto1,commitment complex,21
Msl5,Smb1,commitment complex,21
Msl5,Smd1,commitment complex,21
Msl5,Smd2,commitment complex,21
Msl5,Smd3,commitment complex,21
Msl5,Sme1,commitment complex,21
Msl5,Smx2,commitment complex,21
Msl5,Smx3,commitment complex,21
Msl5,Luc7,commitment complex,21
Msl5,Mud1,commitment complex,21
Msl5,Nam8,commitment complex,21
Msl5,Prp39,commitment complex,21
Msl5,Prp40,commitment complex,21
Msl5,Prp42,commitment complex,21
Msl5,Snp1,commitment complex,21
Msl5,Snu56,commitment complex,21
Msl5,Snu71,commitment complex,21
Msl5,Yhc1,commitment complex,21
Mud2,Cbc2,commitment complex,21
Mud2,Msl5,commitment complex,21
Mud2,Sto1,commitment complex,21
Mud2,Smb1,commitment complex,21
Mud2,Smd1,commitment complex,21
Mud2,Smd2,commitment complex,21
Mud2,Smd3,commitment complex,21
Mud2,Sme1,commitment complex,21
Mud2,Smx2,commitment complex,21
Mud2,Smx3,commitment complex,21
Mud2,Luc7,commitment complex,21
