bait,prey,complex,n_complex
Prp19,Cef1,Prp19-associated complex,8
Prp19,Isy1,Prp19-associated complex,8
Prp19,Clf1,Prp19-associated complex,8
Prp19,Syf1,Prp19-associated complex,8
Prp19,Syf2,Prp19-associated complex,8
Prp19,Ntc20,Prp19-associated complex,8
Prp19,Snt309,Prp19-associated complex,8
Cef1,Prp19,Prp19-associated complex,8
Cef1,Isy1,Prp19-associated complex,8
Cef1,Clf1,Prp19-associated complex,8
Cef1,Syf1,Prp19-associated complex,8
Cef1,Syf2,Prp19-associated complex,8
Cef1,Ntc20,Prp19-associated complex,8
Cef1,Snt309,Prp19-associated complex,8
Isy1,Prp19,Prp19-associated complex,8
Isy1,Cef1,Prp19-associated complex,8
Isy1,Clf1,Prp19-associated complex,8
Isy1,Syf1,Prp19-associated complex,8
Isy1,Syf2,Prp19-associated complex,8
Isy1,Ntc20,Prp19-associated complex,8
Isy1,Snt309,Prp19-associated complex,8
Clf1,Prp19,Prp19-associated complex,8
Clf1,Cef1,Prp19-associated complex,8
Clf1,Isy1,Prp19-associated complex,8
Clf1,Syf1,Prp19-associated complex,8
Clf1,Syf2,Prp19-associated complex,8
Clf1,Ntc20,Prp19-associated complex,8
Clf1,Snt309,Prp19-associated complex,8
Syf1,Prp19,Prp19-associated complex,8
Syf1,Cef1,Prp19-associated complex,8
Syf1,Isy1,Prp19-associated complex,8
Syf1,Clf1,Prp19-associated complex,8
Syf1,Syf2,Prp19-associated complex,8
Syf1,Ntc20,Prp19-associated complex,8
Syf1,Snt309,Prp19-associated complex,8
Syf2,Prp19,Prp19-associated complex,8
Syf2,Cef1,Prp19-associated complex,8
Syf2,Isy1,Prp19-associated complex,8
Syf2,Clf1,Prp19-associated complex,8
Syf2,Syf1,Prp19-associated complex,8
Syf2,Ntc20,Prp19-associated complex,8
Syf2,Snt309,Prp19-associated complex,8
Ntc20,Prp19,Prp19-associated complex,8
Ntc20,Cef1,Prp19-associated complex,8
Ntc20,Isy1,Prp19-associated complex,8
Ntc20,Clf1,Prp19-associated complex,8
Ntc20,Syf1,Prp19-associated complex,8
Ntc20,Syf2,Prp19-associated complex,8
Ntc20,Snt309,Prp19-associated complex,8
Snt309,Prp19,Prp19-associated complex,8
Snt309,Cef1,Prp19-associated complex,8
Snt309,Isy1,Prp19-associated complex,8
Snt309,Clf1,Prp19-associated complex,8
Snt309,Syf1,Prp19-associated complex,8
Snt309,Syf2,Prp19-associated complex,8
Snt309,Ntc20,Prp19-associated complex,8
