bait,prey,complex,n_complex
Ysf3,Cus1,SF3b complex,6
Ysf3,Hsh155,SF3b complex,6
Ysf3,Hsh49,SF3b complex,6
Ysf3,Rds3,SF3b complex,6
Ysf3,Rse1,SF3b complex,6
Cus1,Ysf3,SF3b complex,6
Cus1,Hsh155,SF3b complex,6
Cus1,Hsh49,SF3b complex,6
Cus1,Rds3,SF3b complex,6
Cus1,Rse1,SF3b complex,6
Hsh155,Ysf3,SF3b complex,6
Hsh155,Cus1,SF3b complex,6
Hsh155,Hsh49,SF3b complex,6
Hsh155,Rds3,SF3b complex,6
Hsh155,Rse1,SF3b complex,6
Hsh49,Ysf3,SF3b complex,6
Hsh49,Cus1,SF3b complex,6
Hsh49,Hsh155,SF3b complex,6
Hsh49,Rds3,SF3b complex,6
Hsh49,Rse1,SF3b complex,6
Rds3,Ysf3,SF3b complex,6
Rds3,Cus1,SF3b complex,6
Rds3,Hsh155,SF3b complex,6
Rds3,Hsh49,SF3b complex,6
Rds3,Rse1,SF3b complex,6
Rse1,Ysf3,SF3b complex,6
Rse1,Cus1,SF3b complex,6
Rse1,Hsh155,SF3b complex,6
Rse1,Hsh49,SF3b complex,6
Rse1,Rds3,SF3b complex,6
