bait,prey,complex,n_complex
Lea1,Msl1,U2 snRNP complex,18
Lea1,Rse1,U2 snRNP complex,18
Lea1,Hsh155,U2 snRNP complex,18
Lea1,Ist3,U2 snRNP complex,18
Lea1,Hsh49,U2 snRNP complex,18
Lea1,Prp9,U2 snRNP complex,18
Lea1,Prp11,U2 snRNP complex,18
Lea1,Prp21,U2 snRNP complex,18
Lea1,Cus1,U2 snRNP complex,18
Lea1,Cus2,U2 snRNP complex,18
Lea1,Smb1,U2 snRNP complex,18
Lea1,Smd1,U2 snRNP complex,18
Lea1,Smd2,U2 snRNP complex,18
Lea1,Smd3,U2 snRNP complex,18
Lea1,Sme1,U2 snRNP complex,18
Lea1,Smx2,U2 snRNP complex,18
Lea1,Smx3,U2 snRNP complex,18
Msl1,Lea1,U2 snRNP complex,18
Msl1,Rse1,U2 snRNP complex,18
Msl1,Hsh155,U2 snRNP complex,18
Msl1,Ist3,U2 snRNP complex,18
Msl1,Hsh49,U2 snRNP complex,18
Msl1,Prp9,U2 snRNP complex,18
Msl1,Prp11,U2 snRNP complex,18
Msl1,Prp21,U2 snRNP complex,18
Msl1,Cus1,U2 snRNP complex,18
Msl1,Cus2,U2 snRNP complex,18
Msl1,Smb1,U2 snRNP complex,18
Msl1,Smd1,U2 snRNP complex,18
Msl1,Smd2,U2 snRNP complex,18
Msl1,Smd3,U2 snRNP complex,18
Msl1,Sme1,U2 snRNP complex,18
Msl1,Smx2,U2 snRNP complex,18
Msl1,Smx3,U2 snRNP complex,18
Rse1,Lea1,U2 snRNP complex,18
Rse1,Msl1,U2 snRNP complex,18
Rse1,Hsh155,U2 snRNP complex,18
Rse1,Ist3,U2 snRNP complex,18
Rse1,Hsh49,U2 snRNP complex,18
Rse1,Prp9,U2 snRNP complex,18
Rse1,Prp11,U2 snRNP complex,18
Rse1,Prp21,U2 snRNP complex,18
Rse1,Cus1,U2 snRNP complex,18
Rse1,Cus2,U2 snRNP complex,18
Rse1,Smb1,U2 snRNP complex,18
Rse1,Smd1,U2 snRNP complex,18
Rse1,Smd2,U2 snRNP complex,18
Rse1,Smd3,U2 snRNP complex,18
Rse1,Sme1,U2 snRNP complex,18
Rse1,Smx2,U2 snRNP complex,18
Rse1,Smx3,U2 snRNP complex,18
Hsh155,Lea1,U2 snRNP complex,18
Hsh155,Msl1,U2 snRNP complex,18
Hsh155,Rse1,U2 snRNP complex,18
Hsh155,Ist3,U2 snRNP complex,18
Hsh155,Hsh49,U2 snRNP complex,18
Hsh155,Prp9,U2 snRNP complex,18
Hsh155,Prp11,U2 snRNP complex,18
Hsh155,Prp21,U2 snRNP complex,18
Hsh155,Cus1,U2 snRNP complex,18
Hsh155,Cus2,U2 snRNP complex,18
Hsh155,Smb1,U2 snRNP complex,18
Hsh155,Smd1,U2 snRNP complex,18
Hsh155,Smd2,U2 snRNP complex,18
Hsh155,Smd3,U2 snRNP complex,18
Hsh155,Sme1,U2 snRNP complex,18
Hsh155,Smx2,U2 snRNP complex,18
Hsh155,Smx3,U2 snRNP complex,18
Ist3,Lea1,U2 snRNP complex,18
Ist3,Msl1,U2 snRNP complex,18
Ist3,Rse1,U2 snRNP complex,18
Ist3,Hsh155,U2 snRNP complex,18
Ist3,Hsh49,U2 snRNP complex,18
Ist3,Prp9,U2 snRNP complex,18
Ist3,Prp11,U2 snRNP complex,18
Ist3,Prp21,U2 snRNP complex,18
Ist3,Cus1,U2 snRNP complex,18
Ist3,Cus2,U2 snRNP complex,18
Ist3,Smb1,U2 snRNP complex,18
