bait,prey,complex,n_complex
Brr2,Dib1,U4/U6 x U5 tri-snRNP complex,28
Brr2,Lsm2,U4/U6 x U5 tri-snRNP complex,28
Brr2,Lsm3,U4/U6 x U5 tri-snRNP complex,28
Brr2,Lsm4,U4/U6 x U5 tri-snRNP complex,28
Brr2,Lsm5,U4/U6 x U5 tri-snRNP complex,28
Brr2,Lsm6,U4/U6 x U5 tri-snRNP complex,28
Brr2,Lsm7,U4/U6 x U5 tri-snRNP complex,28
Brr2,Lsm8,U4/U6 x U5 tri-snRNP complex,28
Brr2,Prp18,U4/U6 x U5 tri-snRNP complex,28
Brr2,Prp3,U4/U6 x U5 tri-snRNP complex,28
Brr2,Prp31,U4/U6 x U5 tri-snRNP complex,28
Brr2,Prp38,U4/U6 x U5 tri-snRNP complex,28
Brr2,Prp4,U4/U6 x U5 tri-snRNP complex,28
Brr2,Prp6,U4/U6 x U5 tri-snRNP complex,28
Brr2,Prp8,U4/U6 x U5 tri-snRNP complex,28
Brr2,Smb1,U4/U6 x U5 tri-snRNP complex,28
Brr2,Smd1,U4/U6 x U5 tri-snRNP complex,28
Brr2,Smd2,U4/U6 x U5 tri-snRNP complex,28
Brr2,Smd3,U4/U6 x U5 tri-snRNP complex,28
Brr2,Sme1,U4/U6 x U5 tri-snRNP complex,28
Brr2,Smx2,U4/U6 x U5 tri-snRNP complex,28
Brr2,Smx3,U4/U6 x U5 tri-snRNP complex,28
Brr2,Snu114,U4/U6 x U5 tri-snRNP complex,28
Brr2,Snu13,U4/U6 x U5 tri-snRNP complex,28
Brr2,Snu23,U4/U6 x U5 tri-snRNP complex,28
Brr2,Snu66,U4/U6 x U5 tri-snRNP complex,28
Brr2,Spp381,U4/U6 x U5 tri-snRNP complex,28
Dib1,Brr2,U4/U6 x U5 tri-snRNP complex,28
Dib1,Lsm2,U4/U6 x U5 tri-snRNP complex,28
Dib1,Lsm3,U4/U6 x U5 tri-snRNP complex,28
Dib1,Lsm4,U4/U6 x U5 tri-snRNP complex,28
Dib1,Lsm5,U4/U6 x U5 tri-snRNP complex,28
Dib1,Lsm6,U4/U6 x U5 tri-snRNP complex,28
Dib1,Lsm7,U4/U6 x U5 tri-snRNP complex,28
Dib1,Lsm8,U4/U6 x U5 tri-snRNP complex,28
