"category_loop","colors_interaction_loop","complex","interaction","n_complex","name","selected","shared interaction","shared name"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Brr2","false","interacts with","Msl1 (interacts with) Brr2"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Smb1","false","interacts with","Msl1 (interacts with) Smb1"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Sec4","false","interacts with","Msl1 (interacts with) Sec4"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Yra1","false","interacts with","Msl1 (interacts with) Yra1"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Utp22","false","interacts with","Msl1 (interacts with) Utp22"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Trm1","false","interacts with","Msl1 (interacts with) Trm1"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Prp46","false","interacts with","Msl1 (interacts with) Prp46"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Imd4","false","interacts with","Msl1 (interacts with) Imd4"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Tma46","false","interacts with","Msl1 (interacts with) Tma46"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Sxm1","false","interacts with","Msl1 (interacts with) Sxm1"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Rbg1","false","interacts with","Msl1 (interacts with) Rbg1"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Smd1","false","interacts with","Msl1 (interacts with) Smd1"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Cef1","false","interacts with","Msl1 (interacts with) Cef1"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Tif4632","false","interacts with","Msl1 (interacts with) Tif4632"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Cdc60","false","interacts with","Msl1 (interacts with) Cdc60"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Scp160","false","interacts with","Msl1 (interacts with) Scp160"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Prp21","false","interacts with","Msl1 (interacts with) Prp21"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Nop6","false","interacts with","Msl1 (interacts with) Nop6"
"RNAmediated","#D95F02",,"interacts with",,"Msl1 (interacts with) Xrn1","false","interacts with","Msl1 (interacts with) Xrn1"
