"Matching.Attribute","name","selected","shared name"
"Prp24","Prp24","false","Prp24"
"Lsm8","Lsm8","false","Lsm8"
"Lsm7","Lsm7","false","Lsm7"
"Lsm6","Lsm6","false","Lsm6"
"Lsm5","Lsm5","false","Lsm5"
"Lsm4","Lsm4","false","Lsm4"
"Lsm3","Lsm3","false","Lsm3"
"Lsm2","Lsm2","false","Lsm2"
"Cse1","Cse1","false","Cse1"
"Dur1","Dur1","false","Dur1"
"Rrp7","Rrp7","false","Rrp7"
"Pol2","Pol2","false","Pol2"
"Cbp2","Cbp2","false","Cbp2"
"Ecm32","Ecm32","false","Ecm32"
"Nop13","Nop13","false","Nop13"
"Gcd10","Gcd10","false","Gcd10"
"Prd1","Prd1","false","Prd1"
"Arp7","Arp7","false","Arp7"
"Tma64","Tma64","false","Tma64"
"Imd4","Imd4","false","Imd4"
"Gcd14","Gcd14","false","Gcd14"
"Swi3","Swi3","false","Swi3"
"Tif4631","Tif4631","false","Tif4631"
"Efg1","Efg1","false","Efg1"
"Gbp2","Gbp2","false","Gbp2"
"Pus4","Pus4","false","Pus4"
"Mis1","Mis1","false","Mis1"
"Snf12","Snf12","false","Snf12"
"Rsc6","Rsc6","false","Rsc6"
"Bre5","Bre5","false","Bre5"
"Rgd2","Rgd2","false","Rgd2"
"Tif4632","Tif4632","false","Tif4632"
"Ynr021w","Ynr021w","false","Ynr021w"
"Ylr419w","Ylr419w","false","Ylr419w"
"Atp1","Atp1","false","Atp1"
"Yop1","Yop1","false","Yop1"
"Ecm29","Ecm29","false","Ecm29"
"Ski3","Ski3","false","Ski3"
"Trx1","Trx1","false","Trx1"
"Hsp82","Hsp82","false","Hsp82"
"Kes1","Kes1","false","Kes1"
"Ade2","Ade2","false","Ade2"
"Dcp2","Dcp2","false","Dcp2"
"Pro3","Pro3","false","Pro3"
"Rvs161","Rvs161","false","Rvs161"
"Cof1","Cof1","false","Cof1"
"Npa3","Npa3","false","Npa3"
"Gyp5","Gyp5","false","Gyp5"
