"category_loop","colors_interaction_loop","complex","interaction","n_complex","name","selected","shared interaction","shared name"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Cse1","false","interacts with","Dhh1 (interacts with) Cse1"
"2","RNAmediated",,"interacts with",,"Dhh1 (interacts with) Dur1","false","interacts with","Dhh1 (interacts with) Dur1"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Rrp7","false","interacts with","Dhh1 (interacts with) Rrp7"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Bfr1","false","interacts with","Dhh1 (interacts with) Bfr1"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Pol2","false","interacts with","Dhh1 (interacts with) Pol2"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Nab3","false","interacts with","Dhh1 (interacts with) Nab3"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Cbp2","false","interacts with","Dhh1 (interacts with) Cbp2"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Ecm32","false","interacts with","Dhh1 (interacts with) Ecm32"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Yra1","false","interacts with","Dhh1 (interacts with) Yra1"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Rbg1","false","interacts with","Dhh1 (interacts with) Rbg1"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Nop13","false","interacts with","Dhh1 (interacts with) Nop13"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Gcd10","false","interacts with","Dhh1 (interacts with) Gcd10"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Prd1","false","interacts with","Dhh1 (interacts with) Prd1"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Mgm101","false","interacts with","Dhh1 (interacts with) Mgm101"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Arp7","false","interacts with","Dhh1 (interacts with) Arp7"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Tma64","false","interacts with","Dhh1 (interacts with) Tma64"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Imd4","false","interacts with","Dhh1 (interacts with) Imd4"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Imd3","false","interacts with","Dhh1 (interacts with) Imd3"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Gcd14","false","interacts with","Dhh1 (interacts with) Gcd14"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Swi3","false","interacts with","Dhh1 (interacts with) Swi3"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Tma46","false","interacts with","Dhh1 (interacts with) Tma46"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Tif4631","false","interacts with","Dhh1 (interacts with) Tif4631"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Efg1","false","interacts with","Dhh1 (interacts with) Efg1"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Gbp2","false","interacts with","Dhh1 (interacts with) Gbp2"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Pus4","false","interacts with","Dhh1 (interacts with) Pus4"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Mis1","false","interacts with","Dhh1 (interacts with) Mis1"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Snf12","false","interacts with","Dhh1 (interacts with) Snf12"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Rrp5","false","interacts with","Dhh1 (interacts with) Rrp5"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Ubp3","false","interacts with","Dhh1 (interacts with) Ubp3"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Rsc6","false","interacts with","Dhh1 (interacts with) Rsc6"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Hho1","false","interacts with","Dhh1 (interacts with) Hho1"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Trm1","false","interacts with","Dhh1 (interacts with) Trm1"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Utp22","false","interacts with","Dhh1 (interacts with) Utp22"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Bre5","false","interacts with","Dhh1 (interacts with) Bre5"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Rgd2","false","interacts with","Dhh1 (interacts with) Rgd2"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Nop12","false","interacts with","Dhh1 (interacts with) Nop12"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Tif4632","false","interacts with","Dhh1 (interacts with) Tif4632"
"RNAmediated","#D95F02",,"interacts with",,"Dhh1 (interacts with) Pab1","false","interacts with","Dhh1 (interacts with) Pab1"
"PPI","#66A61E",,"interacts with",,"Dhh1 (interacts with) Ynr021w","false","interacts with","Dhh1 (interacts with) Ynr021w"
