"Matching.Attribute","name","selected","shared name"
"Cse1","Cse1","false","Cse1"
"Dur1","Dur1","false","Dur1"
"Pol2","Pol2","false","Pol2"
"Cbp2","Cbp2","false","Cbp2"
"Ecm32","Ecm32","false","Ecm32"
"Gcd10","Gcd10","false","Gcd10"
"Prd1","Prd1","false","Prd1"
"Arp7","Arp7","false","Arp7"
"Tma64","Tma64","false","Tma64"
"Gcd14","Gcd14","false","Gcd14"
"Swi3","Swi3","false","Swi3"
"Efg1","Efg1","false","Efg1"
"Gbp2","Gbp2","false","Gbp2"
"Pus4","Pus4","false","Pus4"
"Mis1","Mis1","false","Mis1"
"Snf12","Snf12","false","Snf12"
"Rsc6","Rsc6","false","Rsc6"
"Rgd2","Rgd2","false","Rgd2"
"Ynr021w","Ynr021w","false","Ynr021w"
"Ylr419w","Ylr419w","false","Ylr419w"
"Atp1","Atp1","false","Atp1"
"Yop1","Yop1","false","Yop1"
"Ecm29","Ecm29","false","Ecm29"
"Ski3","Ski3","false","Ski3"
"Trx1","Trx1","false","Trx1"
"Hsp82","Hsp82","false","Hsp82"
"Kes1","Kes1","false","Kes1"
"Ade2","Ade2","false","Ade2"
"Dcp2","Dcp2","false","Dcp2"
"Pro3","Pro3","false","Pro3"
"Rvs161","Rvs161","false","Rvs161"
"Cof1","Cof1","false","Cof1"
"Npa3","Npa3","false","Npa3"
"Gyp5","Gyp5","false","Gyp5"
"Tif11","Tif11","false","Tif11"
"Atp2","Atp2","false","Atp2"
"Gsp1","Gsp1","false","Gsp1"
"Mrpl15","Mrpl15","false","Mrpl15"
"Ils1","Ils1","false","Ils1"
"Rpl18a","Rpl18a","false","Rpl18a"
"Sac6","Sac6","false","Sac6"
"Pbp4","Pbp4","false","Pbp4"
"Mdn1","Mdn1","false","Mdn1"
"Glk1","Glk1","false","Glk1"
"Rrg8","Rrg8","false","Rrg8"
"Ccr4","Ccr4","false","Ccr4"
"Mrpl7","Mrpl7","false","Mrpl7"
"Fpr1","Fpr1","false","Fpr1"
"Rps2","Rps2","false","Rps2"
"Utp20","Utp20","false","Utp20"
"Edc3","Edc3","false","Edc3"
"Fun30","Fun30","false","Fun30"
"Gin4","Gin4","false","Gin4"
"Rps29a","Rps29a","false","Rps29a"
"Rsc9","Rsc9","false","Rsc9"
"Mrpl17","Mrpl17","false","Mrpl17"
"Kog1","Kog1","false","Kog1"
"Hrr25","Hrr25","false","Hrr25"
"Mrpl22","Mrpl22","false","Mrpl22"
"Vma13","Vma13","false","Vma13"
"Ecm16","Ecm16","false","Ecm16"
"Mon2","Mon2","false","Mon2"
"Rpb8","Rpb8","false","Rpb8"
"Bms1","Bms1","false","Bms1"
"Bro1","Bro1","false","Bro1"
"Vtc1","Vtc1","false","Vtc1"
"Tor1","Tor1","false","Tor1"
"Pwp2","Pwp2","false","Pwp2"
"Nmd4","Nmd4","false","Nmd4"
"Ufd4","Ufd4","false","Ufd4"
"Rpm2","Rpm2","false","Rpm2"
"Dcp1","Dcp1","false","Dcp1"
"Ebs1","Ebs1","false","Ebs1"
"Ssd1","Ssd1","false","Ssd1"
"Dhh1","Dhh1","false","Dhh1"
"Prs5","Prs5","false","Prs5"
"Gpp2","Gpp2","false","Gpp2"
"Tpd3","Tpd3","false","Tpd3"
"Prp9","Prp9","false","Prp9"
"Grx3","Grx3","false","Grx3"
"Nif3","Nif3","false","Nif3"
"Lhp1","Lhp1","false","Lhp1"
"Mri1","Mri1","false","Mri1"
"Rcn2","Rcn2","false","Rcn2"
"Cwc15","Cwc15","false","Cwc15"
"Tex1","Tex1","false","Tex1"
"Erg5","Erg5","false","Erg5"
"Nit3","Nit3","false","Nit3"
"Hek2","Hek2","false","Hek2"
"Esf1","Esf1","false","Esf1"
"Hpr1","Hpr1","false","Hpr1"
"Mft1","Mft1","false","Mft1"
"Tho2","Tho2","false","Tho2"
"Gcv1","Gcv1","false","Gcv1"
"Yra2","Yra2","false","Yra2"
"Mdj1","Mdj1","false","Mdj1"
"Brr1","Brr1","false","Brr1"
"Whi3","Whi3","false","Whi3"
"Pnc1","Pnc1","false","Pnc1"
"Gde1","Gde1","false","Gde1"
"Ara1","Ara1","false","Ara1"
"Ald4","Ald4","false","Ald4"
"Cwc22","Cwc22","false","Cwc22"
"Isy1","Isy1","false","Isy1"
"Ecm2","Ecm2","false","Ecm2"
"Elp6","Elp6","false","Elp6"
"Erg26","Erg26","false","Erg26"
"Prp45","Prp45","false","Prp45"
"Clf1","Clf1","false","Clf1"
"Syf1","Syf1","false","Syf1"
"Cwc2","Cwc2","false","Cwc2"
"Iki1","Iki1","false","Iki1"
"Air2","Air2","false","Air2"
"Utp4","Utp4","false","Utp4"
"Ymr315w","Ymr315w","false","Ymr315w"
"Yhr214c-B","Yhr214c-B","false","Yhr214c-B"
"Fmp52","Fmp52","false","Fmp52"
"Brx1","Brx1","false","Brx1"
"Acs2","Acs2","false","Acs2"
"Rpb5","Rpb5","false","Rpb5"
"Rpt1","Rpt1","false","Rpt1"
"Hhf2","Hhf2","false","Hhf2"
"Age2","Age2","false","Age2"
"Cap1","Cap1","false","Cap1"
"Svl3","Svl3","false","Svl3"
"Rds3","Rds3","false","Rds3"
"Ilv1","Ilv1","false","Ilv1"
"Hsh49","Hsh49","false","Hsh49"
"Bmh2","Bmh2","false","Bmh2"
"Pre3","Pre3","false","Pre3"
"Rps26b","Rps26b","false","Rps26b"
"Hrp1","Hrp1","false","Hrp1"
"Rpc82","Rpc82","false","Rpc82"
"Yml6","Yml6","false","Yml6"
"Smd3","Smd3","false","Smd3"
"Ura5","Ura5","false","Ura5"
"Fas1","Fas1","false","Fas1"
"Dib1","Dib1","false","Dib1"
"Mrpl11","Mrpl11","false","Mrpl11"
"Rli1","Rli1","false","Rli1"
"Pre8","Pre8","false","Pre8"
"Dps1","Dps1","false","Dps1"
"Ape3","Ape3","false","Ape3"
"Stm1","Stm1","false","Stm1"
"Gly1","Gly1","false","Gly1"
"Nop4","Nop4","false","Nop4"
"Imp4","Imp4","false","Imp4"
"Mrpl1","Mrpl1","false","Mrpl1"
"Ypl225w","Ypl225w","false","Ypl225w"
"Mtr4","Mtr4","false","Mtr4"
"Nam9","Nam9","false","Nam9"
"Tub1","Tub1","false","Tub1"
"Snu66","Snu66","false","Snu66"
"Spp381","Spp381","false","Spp381"
"Prs4","Prs4","false","Prs4"
"Mrps28","Mrps28","false","Mrps28"
"Dim1","Dim1","false","Dim1"
"Prp6","Prp6","false","Prp6"
"Prs3","Prs3","false","Prs3"
"Lys20","Lys20","false","Lys20"
"Cpa2","Cpa2","false","Cpa2"
"Mrpl3","Mrpl3","false","Mrpl3"
"Mrps17","Mrps17","false","Mrps17"
"Mrpl23","Mrpl23","false","Mrpl23"
