"","Complex","Source","Target","category_loop"
"82","U4/U6 x U5 tri-snRNP complex","Dhh1","Brr2","PPI"
"97","U4/U6 x U5 tri-snRNP complex","Dhh1","Lsm3","PPI"
"101","U4/U6 x U5 tri-snRNP complex","Dhh1","Lsm2","PPI"
"103","U4/U6 x U5 tri-snRNP complex","Dhh1","Lsm7","PPI"
"104","U4/U6 x U5 tri-snRNP complex","Dhh1","Lsm4","PPI"
"114","U4/U6 x U5 tri-snRNP complex","Lsm2","Smd3","RDI"
"118","U4/U6 x U5 tri-snRNP complex","Lsm2","Dib1","RDI"
"146","U4/U6 x U5 tri-snRNP complex","Lsm2","Smd1","RDI"
"155","U4/U6 x U5 tri-snRNP complex","Lsm2","Snu66","PPI"
"156","U4/U6 x U5 tri-snRNP complex","Lsm2","Spp381","PPI"
"160","U4/U6 x U5 tri-snRNP complex","Lsm2","Prp6","PPI"
"182","U4/U6 x U5 tri-snRNP complex","Lsm2","Lsm5","PPI"
"187","U4/U6 x U5 tri-snRNP complex","Lsm2","Prp31","PPI"
"188","U4/U6 x U5 tri-snRNP complex","Lsm2","Lsm7","PPI"
"191","U4/U6 x U5 tri-snRNP complex","Lsm2","Lsm3","PPI"
"192","U4/U6 x U5 tri-snRNP complex","Lsm2","Lsm8","PPI"
"194","U4/U6 x U5 tri-snRNP complex","Lsm2","Lsm4","PPI"
"195","U4/U6 x U5 tri-snRNP complex","Lsm2","Lsm6","PPI"
"196","U4/U6 x U5 tri-snRNP complex","Lsm2","Prp8","Both"
"198","U4/U6 x U5 tri-snRNP complex","Lsm2","Snu114","Both"
"199","U4/U6 x U5 tri-snRNP complex","Lsm2","Prp4","Both"
"200","U4/U6 x U5 tri-snRNP complex","Lsm2","Snu23","Both"
"202","U4/U6 x U5 tri-snRNP complex","Lsm2","Brr2","Both"
"203","U4/U6 x U5 tri-snRNP complex","Lsm2","Smd2","Both"
"204","U4/U6 x U5 tri-snRNP complex","Lsm2","Smb1","Both"
"205","U4/U6 x U5 tri-snRNP complex","Lsm2","Prp38","Both"
"206","U4/U6 x U5 tri-snRNP complex","Lsm2","Prp3","Both"
"207","U4/U6 x U5 tri-snRNP complex","Msl1","Brr2","RDI"
"208","U4/U6 x U5 tri-snRNP complex","Msl1","Smb1","RDI"
"218","U4/U6 x U5 tri-snRNP complex","Msl1","Smd1","RDI"
"258","U4/U6 x U5 tri-snRNP complex","Snp1","Sto1","RDI"
"269","U4/U6 x U5 tri-snRNP complex","Snp1","Smd2","PPI"
"271","U4/U6 x U5 tri-snRNP complex","Snp1","Smd1","PPI"
"272","U4/U6 x U5 tri-snRNP complex","Snp1","Smb1","PPI"
"273","U4/U6 x U5 tri-snRNP complex","Snp1","Smd3","PPI"
"330","U4/U6 x U5 tri-snRNP complex","Sto1","Smd3","PPI"
"333","U4/U6 x U5 tri-snRNP complex","Sto1","Prp4","PPI"
"338","U4/U6 x U5 tri-snRNP complex","Sto1","Snu23","PPI"
"343","U4/U6 x U5 tri-snRNP complex","Sto1","Snu114","PPI"
"345","U4/U6 x U5 tri-snRNP complex","Sto1","Prp31","PPI"
"347","U4/U6 x U5 tri-snRNP complex","Sto1","Prp8","PPI"
"351","U4/U6 x U5 tri-snRNP complex","Sto1","Prp6","PPI"
"353","U4/U6 x U5 tri-snRNP complex","Sto1","Brr2","PPI"
"354","U4/U6 x U5 tri-snRNP complex","Sto1","Cbc2","PPI"
"361","U4/U6 x U5 tri-snRNP complex","Sto1","Smd2","Both"
"362","U4/U6 x U5 tri-snRNP complex","Sto1","Smb1","Both"
"372","U4/U6 x U5 tri-snRNP complex","Sto1","Snp1","Both"
"375","U4/U6 x U5 tri-snRNP complex","Sto1","Smd1","Both"
"392","U4/U6 x U5 tri-snRNP complex","Cbc2","Smd1","RDI"
"421","U4/U6 x U5 tri-snRNP complex","Cbc2","Smb1","PPI"
"425","U4/U6 x U5 tri-snRNP complex","Cbc2","Prp8","PPI"
"427","U4/U6 x U5 tri-snRNP complex","Cbc2","Smd2","PPI"
"429","U4/U6 x U5 tri-snRNP complex","Cbc2","Snp1","PPI"
"439","U4/U6 x U5 tri-snRNP complex","Cbc2","Brr2","PPI"
"440","U4/U6 x U5 tri-snRNP complex","Cbc2","Sto1","PPI"
"441","U4/U6 x U5 tri-snRNP complex","Cbc2","Snu114","Both"
"464","U4/U6 x U5 tri-snRNP complex","Ist3","Brr2","PPI"
"471","U4/U6 x U5 tri-snRNP complex","Ist3","Snu114","PPI"
"479","U4/U6 x U5 tri-snRNP complex","Ist3","Prp8","PPI"
"22","U2 snRNP complex","Hsh49","Cus1","PPI"
"38","U2 snRNP complex","Hsh49","Hsh155","PPI"
"40","U2 snRNP complex","Hsh49","Rse1","PPI"
"43","U2 snRNP complex","Lsm2","Smd3","RDI"
"56","U2 snRNP complex","Lsm2","Hsh155","RDI"
"64","U2 snRNP complex","Lsm2","Rse1","RDI"
