"","Complex","name","ID"
"76","U4/U6 x U5 tri-snRNP complex","Dhh1","Bait"
"121","U4/U6 x U5 tri-snRNP complex","Smd3","Prey & Complex member"
"124","U4/U6 x U5 tri-snRNP complex","Dib1","Prey & Complex member"
"139","U4/U6 x U5 tri-snRNP complex","Snu66","Prey & Complex member"
"140","U4/U6 x U5 tri-snRNP complex","Spp381","Prey & Complex member"
"144","U4/U6 x U5 tri-snRNP complex","Prp6","Prey & Complex member"
"163","U4/U6 x U5 tri-snRNP complex","Lsm5","Prey & Complex member"
"168","U4/U6 x U5 tri-snRNP complex","Prp31","Prey & Complex member"
"169","U4/U6 x U5 tri-snRNP complex","Lsm7","Prey & Complex member"
"172","U4/U6 x U5 tri-snRNP complex","Lsm3","Prey & Complex member"
"173","U4/U6 x U5 tri-snRNP complex","Lsm8","Prey & Complex member"
"175","U4/U6 x U5 tri-snRNP complex","Lsm4","Prey & Complex member"
"176","U4/U6 x U5 tri-snRNP complex","Lsm6","Prey & Complex member"
"177","U4/U6 x U5 tri-snRNP complex","Prp4","Prey & Complex member"
"178","U4/U6 x U5 tri-snRNP complex","Snu23","Prey & Complex member"
"180","U4/U6 x U5 tri-snRNP complex","Prp38","Prey & Complex member"
"181","U4/U6 x U5 tri-snRNP complex","Prp3","Prey & Complex member"
"182","U4/U6 x U5 tri-snRNP complex","Lsm2","Bait & Complex member"
"198","U4/U6 x U5 tri-snRNP complex","Msl1","Bait"
"210","U4/U6 x U5 tri-snRNP complex","Smd1","Prey & Complex member"
"231","U4/U6 x U5 tri-snRNP complex","Smb1","Prey & Complex member"
"235","U4/U6 x U5 tri-snRNP complex","Smd2","Prey & Complex member"
"237","U4/U6 x U5 tri-snRNP complex","Snp1","Bait"
"247","U4/U6 x U5 tri-snRNP complex","Sto1","Bait"
"254","U4/U6 x U5 tri-snRNP complex","Cbc2","Bait"
"270","U4/U6 x U5 tri-snRNP complex","Brr2","Prey & Complex member"
"277","U4/U6 x U5 tri-snRNP complex","Snu114","Prey & Complex member"
"285","U4/U6 x U5 tri-snRNP complex","Prp8","Prey & Complex member"
"306","U4/U6 x U5 tri-snRNP complex","Ist3","Bait"
"4","U2 snRNP complex","Prp9","Prey & Complex member"
"53","U2 snRNP complex","Hsh49","Bait & Complex member"
"60","U2 snRNP complex","Smd3","Prey & Complex member"
"1211","U2 snRNP complex","Lsm2","Bait"
"136","U2 snRNP complex","Lea1","Prey & Complex member"
"137","U2 snRNP complex","Msl1","Bait & Complex member"
"149","U2 snRNP complex","Smd1","Prey & Complex member"
"154","U2 snRNP complex","Prp21","Prey & Complex member"
"160","U2 snRNP complex","Cus1","Prey & Complex member"
"161","U2 snRNP complex","Rse1","Prey & Complex member"
"170","U2 snRNP complex","Smb1","Prey & Complex member"
"174","U2 snRNP complex","Smd2","Prey & Complex member"
"1761","U2 snRNP complex","Snp1","Bait"
"186","U2 snRNP complex","Sto1","Bait"
"193","U2 snRNP complex","Cbc2","Bait"
"228","U2 snRNP complex","Hsh155","Prey & Complex member"
"245","U2 snRNP complex","Ist3","Bait & Complex member"
"761","U5 snRNP complex","Dhh1","Bait"
"1212","U5 snRNP complex","Smd3","Prey & Complex member"
"1241","U5 snRNP complex","Dib1","Prey & Complex member"
"1821","U5 snRNP complex","Lsm2","Bait"
"1981","U5 snRNP complex","Msl1","Bait"
"2101","U5 snRNP complex","Smd1","Prey & Complex member"
"2311","U5 snRNP complex","Smb1","Prey & Complex member"
"2351","U5 snRNP complex","Smd2","Prey & Complex member"
"2371","U5 snRNP complex","Snp1","Bait"
"2471","U5 snRNP complex","Sto1","Bait"
"2541","U5 snRNP complex","Cbc2","Bait"
"2701","U5 snRNP complex","Brr2","Prey & Complex member"
"2771","U5 snRNP complex","Snu114","Prey & Complex member"
"2851","U5 snRNP complex","Prp8","Prey & Complex member"
"3061","U5 snRNP complex","Ist3","Bait"
"34","Prp19-associated complex","Isy1","Prey & Complex member"
"41","Prp19-associated complex","Clf1","Prey & Complex member"
"42","Prp19-associated complex","Syf1","Prey & Complex member"
"51","Prp19-associated complex","Cef1","Prey & Complex member"
"62","Prp19-associated complex","Msl1","Bait"
"111","Prp19-associated complex","Sto1","Bait"
"118","Prp19-associated complex","Cbc2","Bait"
"143","Prp19-associated complex","Prp19","Prey & Complex member"
"1701","Prp19-associated complex","Ist3","Bait"
"511","SF3b complex","Rds3","Prey & Complex member"
"531","SF3b complex","Hsh49","Bait & Complex member"
"1213","SF3b complex","Lsm2","Bait"
"1371","SF3b complex","Msl1","Bait"
"1601","SF3b complex","Cus1","Prey & Complex member"
"1611","SF3b complex","Rse1","Prey & Complex member"
"1762","SF3b complex","Snp1","Bait"
"1861","SF3b complex","Sto1","Bait"
"1931","SF3b complex","Cbc2","Bait"
"2281","SF3b complex","Hsh155","Prey & Complex member"
"2451","SF3b complex","Ist3","Bait"
"46","commitment complex","Smd3","Prey & Complex member"
"108","commitment complex","Lsm2","Bait"
"125","commitment complex","Msl1","Bait"
"130","commitment complex","Nam8","Prey & Complex member"
"1401","commitment complex","Smd1","Prey & Complex member"
"1691","commitment complex","Smb1","Prey & Complex member"
"1751","commitment complex","Smd2","Prey & Complex member"
"1771","commitment complex","Snp1","Bait & Complex member"
"184","commitment complex","Snu56","Prey & Complex member"
"1862","commitment complex","Yhc1","Prey & Complex member"
"188","commitment complex","Sto1","Bait & Complex member"
"191","commitment complex","Prp42","Prey & Complex member"
"192","commitment complex","Luc7","Prey & Complex member"
"1932","commitment complex","Mud1","Prey & Complex member"
"194","commitment complex","Snu71","Prey & Complex member"
"195","commitment complex","Prp39","Prey & Complex member"
"196","commitment complex","Prp40","Prey & Complex member"
"197","commitment complex","Cbc2","Bait & Complex member"
"1","U1 snRNP complex","Yhc1","Prey & Complex member"
"2","U1 snRNP complex","Snu71","Prey & Complex member"
"3","U1 snRNP complex","Snu56","Prey & Complex member"
"43","U1 snRNP complex","Snp1","Bait & Complex member"
"5","U1 snRNP complex","Prp42","Prey & Complex member"
"6","U1 snRNP complex","Prp40","Prey & Complex member"
"7","U1 snRNP complex","Prp39","Prey & Complex member"
"8","U1 snRNP complex","Nam8","Prey & Complex member"
"9","U1 snRNP complex","Mud1","Prey & Complex member"
"10","U1 snRNP complex","Luc7","Prey & Complex member"
"14","U1 snRNP complex","Smd3","Prey & Complex member"
"15","U1 snRNP complex","Smd2","Prey & Complex member"
"16","U1 snRNP complex","Smd1","Prey & Complex member"
"17","U1 snRNP complex","Smb1","Prey & Complex member"
"1242","U1 snRNP complex","Lsm2","Bait"
"141","U1 snRNP complex","Msl1","Bait"
"1971","U1 snRNP complex","Sto1","Bait"
"200","U1 snRNP complex","Cbc2","Bait"
"44","SF3a complex","Prp9","Prey & Complex member"
"64","SF3a complex","Msl1","Bait"
"85","SF3a complex","Prp21","Prey & Complex member"
"127","SF3a complex","Sto1","Bait"
"1361","SF3a complex","Cbc2","Bait"
"11","U6 snRNP complex","Prp24","Prey & Complex member"
"21","U6 snRNP complex","Lsm8","Prey & Complex member"
"31","U6 snRNP complex","Lsm7","Prey & Complex member"
"45","U6 snRNP complex","Lsm6","Prey & Complex member"
"52","U6 snRNP complex","Lsm5","Prey & Complex member"
"61","U6 snRNP complex","Lsm4","Prey & Complex member"
"71","U6 snRNP complex","Lsm3","Prey & Complex member"
"81","U6 snRNP complex","Lsm2","Bait & Complex member"
"95","U6 snRNP complex","Dhh1","Bait"
