"Protein.IDs","my_label","Gene.names","difference_IP_RNase","log10.pvalue_IP_RNase","log2.LFQ.intensity.IP_01","log2.LFQ.intensity.IP_02","log2.LFQ.intensity.IP_03","log2.LFQ.intensity.IP_04","imputed.log2.LFQ.intensity.IP_01","imputed.log2.LFQ.intensity.IP_02","imputed.log2.LFQ.intensity.IP_03","imputed.log2.LFQ.intensity.IP_04","value_count_IP","log2.LFQ.intensity.RNase_01","log2.LFQ.intensity.RNase_02","log2.LFQ.intensity.RNase_03","log2.LFQ.intensity.RNase_04","imputed.log2.LFQ.intensity.RNase_01","imputed.log2.LFQ.intensity.RNase_02","imputed.log2.LFQ.intensity.RNase_03","imputed.log2.LFQ.intensity.RNase_04","value_count_RNase"
"YDR127W","ARO1","ARO1",2.11303183602537,4.72475201619956,24.0158029532144,23.7558272659275,23.9423484080774,23.7278548270869,24.0158029532144,23.7558272659275,23.9423484080774,23.7278548270869,4,NA,NA,NA,NA,21.4151438715232,21.9089310420292,21.8829925473244,21.7826386493281,0
"YER165W","PAB1","PAB1",1.92550173454489,3.29248900776045,28.8823577281666,28.4191674640474,29.3581478308126,28.6045242164076,28.8823577281666,28.4191674640474,29.3581478308126,28.6045242164076,4,26.6683087247774,27.1036960062022,26.6885918158316,27.1015937544435,26.6683087247774,27.1036960062022,26.6885918158316,27.1015937544435,4
"YJL080C","SCP160","SCP160",1.25277784198772,2.34416044960501,26.0045961306698,26.8788840609272,26.3269913120049,25.9296060715654,26.0045961306698,26.8788840609272,26.3269913120049,25.9296060715654,4,24.7500612745708,25.2705990311828,24.9032960407996,25.2050098606633,24.7500612745708,25.2705990311828,24.9032960407996,25.2050098606633,4
"YFL038C","YPT1","YPT1",1.35241544241386,2.31586791598399,22.5960741649517,23.26870874928,23.0857142764381,23.1688110411504,22.5960741649517,23.26870874928,23.0857142764381,23.1688110411504,4,22.2589972598063,NA,NA,NA,22.2589972598063,21.7345456530911,21.6241387207549,21.0919648285125,1
"YLR432W;YHR216W;YAR073W;YAR075W","IMD3","IMD3",1.49507214060536,2.23068472765037,24.1682142506774,23.6545809657165,24.1005314533311,24.3222362548838,24.1682142506774,23.6545809657165,24.1005314533311,24.3222362548838,4,22.7607889688459,23.0423493920794,NA,22.6751912453918,22.7607889688459,23.0423493920794,21.7869447558704,22.6751912453918,3
"YOR198C","BFR1","BFR1",2.30718843121543,2.16405308687682,24.5670327674921,25.4825307810821,24.5169517947462,25.118465243234,24.5670327674921,25.4825307810821,24.5169517947462,25.118465243234,4,NA,23.2951601959409,21.9276318591307,23.4368243702563,21.7966104363647,23.2951601959409,21.9276318591307,23.4368243702563,3
"YKL182W","FAS1","FAS1",1.30952986740964,2.0795485402254,26.7105655754937,27.9800554433165,27.5254451776836,27.3138035020753,26.7105655754937,27.9800554433165,27.5254451776836,27.3138035020753,4,25.7896490572307,26.4490489973022,25.7163080964382,26.3367440779595,25.7896490572307,26.4490489973022,25.7163080964382,26.3367440779595,4
"YPL160W","CDC60","CDC60",1.36382392466533,2.04429011960092,26.430952082253,27.4830076821817,26.4932765630739,26.5093448108766,26.430952082253,27.4830076821817,26.4932765630739,26.5093448108766,4,25.2384869606346,25.3287554482674,25.5906368441674,25.3034061866546,25.2384869606346,25.3287554482674,25.5906368441674,25.3034061866546,4
"YPL231W","FAS2","FAS2",1.5218926519818,2.0435473238223,26.793523933469,27.7570998205138,27.5428147350754,27.0270710869828,26.793523933469,27.7570998205138,27.5428147350754,27.0270710869828,4,25.6547721470147,26.0967569700113,24.927776515591,26.353633335497,25.6547721470147,26.0967569700113,24.927776515591,26.353633335497,4
"YMR226C","YMR226C","YMR226C",1.79164061590219,1.95875503573362,23.7963985200249,24.9257862167302,23.3515118980805,24.3348362916635,23.7963985200249,24.9257862167302,23.3515118980805,24.3348362916635,4,NA,NA,NA,23.3726536060852,21.9462667702531,22.0791136106171,21.8439364759349,23.3726536060852,1
"YGR254W","ENO1","ENO1",1.52223567206618,1.77724800352103,27.109087771922,28.0809092386104,26.5095109355982,27.7208413644921,27.109087771922,28.0809092386104,26.5095109355982,27.7208413644921,4,25.5376850290395,26.5980411381662,25.1938513757448,26.0018290794075,25.5376850290395,26.5980411381662,25.1938513757448,26.0018290794075,4
"YEL071W","DLD3","DLD3",1.34374031166545,1.72921158214282,22.9633519141009,23.9133299099115,22.9932929326249,23.3063298639745,22.9633519141009,23.9133299099115,22.9932929326249,23.3063298639745,4,NA,NA,NA,22.9117218596431,21.3821472312859,21.7637439618191,21.743730321202,22.9117218596431,1
"YHR068W","DYS1","DYS1",1.42423324907228,1.62323128896769,23.2391428139288,23.7731392067197,23.7788639952772,23.7872593347586,23.2391428139288,23.7731392067197,23.7788639952772,23.7872593347586,4,22.3898718216015,NA,NA,23.187446921907,22.3898718216015,21.6643037812764,21.6398498296103,23.187446921907,2
