"Protein.IDs","my_label","Gene.names","difference_IP_RNase","log10.pvalue_IP_RNase","log2.LFQ.intensity.IP_01","log2.LFQ.intensity.IP_02","log2.LFQ.intensity.IP_03","log2.LFQ.intensity.IP_04","imputed.log2.LFQ.intensity.IP_01","imputed.log2.LFQ.intensity.IP_02","imputed.log2.LFQ.intensity.IP_03","imputed.log2.LFQ.intensity.IP_04","value_count_IP","log2.LFQ.intensity.RNase_01","log2.LFQ.intensity.RNase_02","log2.LFQ.intensity.RNase_03","imputed.log2.LFQ.intensity.RNase_01","imputed.log2.LFQ.intensity.RNase_02","imputed.log2.LFQ.intensity.RNase_03","value_count_RNase"
"YLR432W;YHR216W;YAR073W;YAR075W","IMD3","IMD3",5.59907304131303,5.84304210081695,26.6327017241721,27.1741710752532,26.7417545770195,26.4493796613348,26.6327017241721,27.1741710752532,26.7417545770195,26.4493796613348,4,NA,NA,NA,20.9599913170487,21.0708964803651,21.4203983569817,0
"YML056C","IMD4","IMD4",4.0415662720411,3.82534791277927,25.0433510897699,26.0082131701628,25.2254172238573,24.6625888466805,25.0433510897699,26.0082131701628,25.2254172238573,24.6625888466805,4,NA,NA,NA,21.2731564333186,20.9239008494425,21.3829216489685,0
"YOR198C","BFR1","BFR1",2.13735414173139,3.29405000756714,NA,23.3442146239793,22.9439405795419,22.9259129539505,23.7844652811501,23.3442146239793,22.9439405795419,22.9259129539505,3,NA,NA,NA,21.159868191951,20.9189657296775,21.2580037321438,0
"YDR381W","YRA1","YRA1",2.31779561030121,3.12211000314065,NA,24.0272398627248,23.280225914699,22.8508705099523,23.7029809320808,24.0272398627248,23.280225914699,22.8508705099523,3,NA,NA,NA,20.9480251360372,21.0087463495041,21.4858295981478,0
"YGL173C","XRN1","XRN1",3.71688463517503,2.97802662206563,NA,25.2130071851291,25.2234667653709,25.0216174560648,23.813857378976,25.2130071851291,25.2234667653709,25.0216174560648,3,NA,NA,NA,21.1162543759218,20.9508018747267,21.236251432982,0
"YER165W","PAB1","PAB1",6.13102097939063,2.4637186110453,25.1919330230632,28.3959101020853,28.2446783456201,28.3058690820856,25.1919330230632,28.3959101020853,28.2446783456201,28.3058690820856,4,21.5852706607176,21.0839467147252,21.5415126010259,21.5852706607176,21.0839467147252,21.5415126010259,3
"YOR341W","RPA190","RPA190",1.119290965428,2.11396569930047,NA,24.2722732493907,23.2814999426843,23.4895912428494,23.7384246889723,24.2722732493907,23.2814999426843,23.4895912428494,3,22.337560929,22.6386294675876,22.7522785500508,22.337560929,22.6386294675876,22.7522785500508,3
"YKL152C","GPM1","GPM1",1.28847923453118,2.02056561400904,25.7456831448722,26.8356913460965,26.0603568631549,25.9456113635676,25.7456831448722,26.8356913460965,26.0603568631549,25.9456113635676,4,24.6305648705956,25.2696363668668,24.6748680972124,24.6305648705956,25.2696363668668,24.6748680972124,3
"YLR293C;YOR185C","GSP1","GSP1",1.11114421695263,1.96592878147199,NA,24.3297821070205,23.3091088208982,23.4922835237987,23.8294308202407,24.3297821070205,23.3091088208982,23.4922835237987,3,22.6327627306495,22.779144628449,22.4751139440122,22.6327627306495,22.779144628449,22.4751139440122,3
"YER036C","ARB1","ARB1",1.56108214839611,1.87020764219724,NA,23.5845139002296,22.702651253726,22.7806070462202,23.8864304381451,23.5845139002296,22.702651253726,22.7806070462202,3,22.0142371002958,21.9131655324816,NA,22.0142371002958,21.9131655324816,21.1050029007749,2
