"Protein.IDs","my_label","Gene.names","difference_RNase_WT","log10.pvalue_RNase_WT","log2.LFQ.intensity.RNase_01","log2.LFQ.intensity.RNase_02","log2.LFQ.intensity.RNase_03","log2.LFQ.intensity.RNase_04","imputed.log2.LFQ.intensity.RNase_01","imputed.log2.LFQ.intensity.RNase_02","imputed.log2.LFQ.intensity.RNase_03","imputed.log2.LFQ.intensity.RNase_04","value_count_RNase","log2.LFQ.intensity.WT_01","log2.LFQ.intensity.WT_02","log2.LFQ.intensity.WT_03","log2.LFQ.intensity.WT_04","imputed.log2.LFQ.intensity.WT_01","imputed.log2.LFQ.intensity.WT_02","imputed.log2.LFQ.intensity.WT_03","imputed.log2.LFQ.intensity.WT_04","value_count_WT"
"YCL028W","RNQ1","RNQ1",8.40446953209317,7.18173080707311,27.2669589240181,27.3822024876938,27.8788840609272,27.3381562581143,27.2669589240181,27.3822024876938,27.8788840609272,27.3381562581143,4,NA,NA,NA,NA,19.4469061268298,19.2848300322649,18.6719327383571,18.8446547049289,0
"YGR135W","PRE9","PRE9",2.01233880262059,5.82969178632025,21.2247624582608,21.0269529322144,NA,21.3850598097316,21.2247624582608,21.0269529322144,21.1965480059301,21.3850598097316,3,NA,NA,NA,NA,19.3790092929646,19.260132228672,19.0279400312809,19.1168864427371,0
"YKL059C-TAP","MPE1-TAP","MPE1-TAP",9.81939113723829,5.31032268265835,29.5877610094753,29.2881525879686,28.0319680984114,29.3654252074784,29.5877610094753,29.2881525879686,28.0319680984114,29.3654252074784,4,NA,NA,NA,NA,19.7413971378042,19.2459713357143,18.8388882213287,19.1694856595332,0
"YHL011C","PRS3","PRS3",1.9069480012591,5.25471980696157,21.3347817463964,20.9958996155702,NA,21.3068026644586,21.3347817463964,20.9958996155702,21.0638143930411,21.3068026644586,3,NA,NA,NA,NA,19.4861571388959,19.0478411688093,19.3292808831967,19.210227223528,0
"YDR172W","SUP35","SUP35",10.1203375136831,4.74346263687309,30.5181269198808,30.4135697624113,28.0547070659712,30.17771534396,30.5181269198808,30.4135697624113,28.0547070659712,30.17771534396,4,21.4178710526862,NA,NA,NA,21.4178710526862,19.2030086546455,18.9204086334906,19.1414806966687,1
"YDL160C","DHH1","DHH1",3.07731779954543,4.59448133158558,22.6519127096199,22.3837422558574,NA,22.3206947962489,22.6519127096199,22.3837422558574,21.7520686626709,22.3206947962489,3,NA,NA,NA,NA,19.584573592669,18.9696105473904,19.4470021179679,18.7979609681881,0
"YDL140C","RPO21","RPO21",1.51006612076521,4.57455672574596,20.7811675804756,20.548867052165,NA,20.6564807286398,20.7811675804756,20.548867052165,20.8492179857307,20.6564807286398,3,NA,NA,NA,NA,19.3462639156935,19.3646286783135,19.1052526259802,18.9793236439631,0
"YPR108W","RPN7","RPN7",1.41487779308998,4.47198557333077,20.7347129274565,20.7834874765194,NA,20.6814031437369,20.7347129274565,20.7834874765194,20.3680152731095,20.6814031437369,3,NA,NA,NA,NA,19.321450534599,19.2565236071791,19.022466267152,19.3076672395324,0
"YHR089C","GAR1","GAR1",2.62917136163115,4.38173108706927,22.1034799158769,21.8463244189958,NA,22.1270421617114,22.1034799158769,21.8463244189958,21.349683286048,22.1270421617114,3,NA,NA,NA,NA,19.7133214626137,19.0001339061739,19.1911748275821,19.0052141397378,0
"YOR298C-A","MBF1","MBF1",2.20293857149632,4.35789260585774,21.4886600133229,21.3383229062529,NA,21.762188983833,21.4886600133229,21.3383229062529,21.0424933637066,21.762188983833,3,NA,NA,NA,NA,19.2896036098594,19.3519711561696,19.2844549850262,18.8938812300749,0
"YHR027C","RPN1","RPN1",1.38851097703304,4.28858519449757,20.7460779774186,20.6616215468478,NA,20.6499192347748,20.7460779774186,20.6616215468478,20.308907415994,20.6499192347748,3,NA,NA,NA,NA,19.4606177373411,19.2354535009524,19.0428600602128,19.0735509683967,0
"YDR129C","SAC6","SAC6",2.39179837523853,4.28241525823917,21.6023182808117,21.5072681487164,NA,21.3938303386205,21.6023182808117,21.5072681487164,21.1681530948453,21.3938303386205,3,NA,NA,NA,NA,19.4041279378598,19.049377531745,19.0112812283324,18.6395896641026,0
"YDR211W","GCD6","GCD6",1.81765209688102,4.19228973359069,21.253554370859,21.3301925660419,NA,20.8315175555138,21.253554370859,21.3301925660419,20.9662360995679,20.8315175555138,3,NA,NA,NA,NA,19.5738876578981,19.250696017821,18.918959502294,19.3673490264455,0
"YMR146C","TIF34","TIF34",2.4282741923634,4.18765899650203,21.3146783835331,21.7023976153567,NA,21.8981466948918,21.3146783835331,21.7023976153567,21.2360532172586,21.8981466948918,3,NA,NA,NA,NA,19.3018404618307,19.0988752868654,19.1532232778373,18.8842401150533,0
"YPR041W","TIF5","TIF5",1.96389306695184,4.13772000026476,20.8773260772968,21.2424903045545,NA,20.9279573157718,20.8773260772968,21.2424903045545,21.12575424046,20.9279573157718,3,NA,NA,NA,NA,19.4357341858749,18.9583018392311,18.7835432257552,19.1403764194145,0
"YBR143C","SUP45","SUP45",6.40426722511756,4.0819651989471,26.6466382487042,27.4697186926491,25.5112917985949,27.5150274794549,26.6466382487042,27.4697186926491,25.5112917985949,27.5150274794549,4,20.0435346589277,19.5371956458739,21.8047911850015,20.1400858291297,20.0435346589277,19.5371956458739,21.8047911850015,20.1400858291297,4
"YDR190C","RVB1","RVB1",2.60846347914319,4.01805559816655,22.1193679818489,21.8987002788136,NA,21.9687750565026,22.1193679818489,21.8987002788136,21.1714953449119,21.9687750565026,3,NA,NA,NA,NA,19.5351474076943,19.3250648520334,18.7841406753887,19.0801318103879,0
"YMR142C","RPL13B","RPL13B",1.80526052637002,3.94227713461019,27.5129951432149,27.9645509860236,27.2928982996192,27.3627736351548,27.5129951432149,27.9645509860236,27.2928982996192,27.3627736351548,4,25.7411116361288,25.9206167240181,25.4004450872345,25.8500025111511,25.7411116361288,25.9206167240181,25.4004450872345,25.8500025111511,4
