"Pulldown stock ID","Enriched Interacors ID","Analysis","Signature accession","Signature description","Interpro description","Enriched IN signature","Enriched NOT in signature","Quantified IN signature","Quantified NOT in signature","P-value","Estimate","Adjusted P-value"
"YAF013","YBR119W;YHR086W;YIL061C;YOL123W","SUPERFAMILY","SSF54928","RNA-binding domain, RBD","RNA-binding domain superfamily",4,11,19,596,0.00141817905826064,11.2805338860787,0.0252908598723148
"YAF013","YER029C;YGR074W;YLR147C;YLR275W","SUPERFAMILY","SSF50182","Sm-like ribonucleoproteins","LSM domain superfamily",4,11,4,611,1.38868152641045e-05,53.4885452081219,0.00080819677187194
"YAF013","YBR119W;YHR086W;YIL061C;YOL123W","Pfam","PF00076","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","RNA recognition motif domain",4,14,17,672,0.00134887718734804,11.1848604939123,0.0252908598723148
"YAF013","YER029C;YGR074W;YLR147C;YLR275W","Pfam","PF01423","LSM domain","LSM domain, eukaryotic/archaea-type",4,14,4,685,1.9459175325121e-05,47.4563232567259,0.00080819677187194
"YAF013","YDR235W;YML046W","PANTHER","PTHR17204","PRE-MRNA PROCESSING PROTEIN PRP39-RELATED","-",2,17,2,688,0.00395793244940957,39.3643539440971,0.0423498772086824
"YAF013","YGR074W;YLR147C","PANTHER","PTHR23338","SMALL NUCLEAR RIBONUCLEOPROTEIN SM","Like-Sm (LSM) domain containing protein, LSm4/SmD1/SmD3",2,17,2,688,0.00395793244940957,39.3643539440971,0.0423498772086824
"YAF013","YBR119W;YHR086W;YIL061C;YOL123W","Gene3D","G3DSA:3.30.70.330","-","Nucleotide-binding alpha-beta plait domain superfamily",4,13,20,602,0.00263628257003365,9.17788033475727,0.0352602793742
"YAF013","YER029C;YGR074W;YLR147C;YLR275W","Gene3D","G3DSA:2.30.30.100","-","-",4,13,4,618,2.26597225758488e-05,46.0146812698277,0.00080819677187194
"YAF013","YBR119W;YHR086W;YIL061C;YOL123W","ProSiteProfiles","PS50102","Eukaryotic RNA Recognition Motif (RRM) profile.","RNA recognition motif domain",4,4,20,264,0.00199413943408444,12.9273339746337,0.0304818456352907
"YAF013","YER029C;YGR074W;YLR147C;YLR275W","SMART","SM00651","Sm3","LSM domain, eukaryotic/archaea-type",4,10,4,291,0.000169078663551833,27.9650823485505,0.00452285425001153
"YAF013","YDR120C","TIGRFAM","TIGR00308","TRM1: N2,N2-dimethylguanosine tRNA methyltransferase","tRNA methyltransferase, Trm1",1,0,1,211,0.00938967136150237,Inf,0.0689582899016595
