ENSEMBL,GENENAME
YOR239W,ABP140
YER087W,AIM10
YNL048W,ALG11
YOR002W,ALG6
YNL219C,ALG9
YGL021W,ALK1
YNR019W,ARE2
YLR392C,ART10
YER101C,AST2
YLR211C,ATG38
YIL033C,BCY1
YNR056C,BIO5
YML042W,CAT2
YDL220C,CDC13
YGR157W,CHO2
YLR003C,CMS1
YNL225C,CNM67
YPL132W,COX11
YFL001W,DEG1
YDR411C,DFM1
YOR236W,DFR1
YNL136W,EAF7
YNL280C,ERG24
YNL168C,FMP41
YKR049C,FMP46
YOR271C,FSF1
YHR049W,FSH1
YBR021W,FUR4
YGR196C,FYV8
YER163C,GCG1
YJR013W,GPI14
YHR104W,GRE3
YJL110C,GZF3
YKR084C,HBS1
YGR187C,HGH1
YOR391C,HSP33
YHR067W,HTD2
YNL009W,IDP3
YOL065C,INP54
YPL054W,LEE1
YOR059C,LPL1
YOR084W,LPX1
YHR081W,LRP1
YDR439W,LRS4
YLR244C,MAP1
YLR274W,MCM5
YKL150W,MCR1
YGL080W,MPC1
YKR080W,MTD1
YMR004W,MVP1
YOL070C,NBA1
YOL042W,NGL1
YGL055W,OLE1
YJR051W,OSM1
YOR269W,PAC1
YPR002W,PDH1
YIL107C,PFK26
YOR386W,PHR1
YMR123W,PKR1
YBL064C,PRX1
YHR189W,PTH1
YOR286W,RDL2
YPL133C,RDS2
YOL066C,RIB2
YKL132C,RMA1
YPL123C,RNY1
YJR063W,RPA12
YCR072C,RSA4
YOR118W,RTC5
YHR207C,SET5
YOR195W,SLK19
YNR015W,SMM1
YKL079W,SMY1
YNL202W,SPS19
YGL184C,STR3
YKL027W,TCD2
YLR426W,TDA5
YJR019C,TES1
YGR024C,THG1
YHR117W,TOM71
YDR120C,TRM1
YLL039C,UBI4
YFR010W,UBP6
YNL229C,URE2
YPR152C,URN1
YLR132C,USB1
YIL091C,UTP25
YBR293W,VBA2
YGL104C,VPS73
YNL263C,YIF1
YJR111C,PXP2
YJR110W,YMR1
YHR090C,YNG2
YNL200C,NNR1
YHR105W,YPT35
YBR118W,TEF1
YBR118W,TEF2
YOR141C,ARP8
YKR009C,FOX2
YOR120W,GCY1
YDL078C,MDH3
YDR538W,PAD1
YBR222C,PCS60
YIL160C,POT1
YNL292W,PUS4
YDL031W,DBP10
YDR051C,DET1
YOL021C,DIS3
YML080W,DUS1
YDR153C,ENT5
YLR309C,IMH1
YFR034C,PHO4
YMR268C,PRP24
YOR216C,RUD3
YLR022C,SDO1
YKL130C,SHE2
YLR452C,SST2
YNL175C,NOP13
YPR052C,NHP6A
YNL301C,RPL18B
YNL301C,RPL18A
YER117W,RPL23A
YER117W,RPL23B
YIL018W,RPL2A
YIL018W,RPL2B
YDL191W,RPL35A
YDL191W,RPL35B
YDL136W,RPL35A
YDL136W,RPL35B
YLR185W,RPL37A
YDR500C,RPL37B
YIL148W,RPL40B
YIL148W,RPL40A
YKR094C,RPL40B
YKR094C,RPL40A
YNL162W,RPL42A
YNL162W,RPL42B
YHR141C,RPL42A
YHR141C,RPL42B
YBR048W,RPS11B
YBR048W,RPS11A
YDL083C,RPS16A
YDL083C,RPS16B
YDL061C,RPS29B
YDR385W,EFT1
YDR385W,EFT2
YHL001W,RPL14B
YDR471W,RPL27B
YLR367W,RPS22B
YER131W,RPS26B
YOR182C,RPS30A
YOR182C,RPS30B
YHR203C,RPS4A
YHR203C,RPS4B
YER102W,RPS8A
YER102W,RPS8B
YDR447C,RPS17B
YIL069C,RPS24A
YIL069C,RPS24B
YGR188C,BUB1
YDL156W,CMR1
YOR303W,CPA1
YNL245C,CWC25
YPL049C,DIG1
YDL178W,DLD2
YGL061C,DUO1
YPL101W,ELP4
YEL003W,GIM4
YOR288C,MPD1
YPL104W,MSD1
YMR228W,MTF1
YDR003W,RCR2
YGL208W,SIP2
YCR024C,SLM5
YBR044C,TCM62
