source,target,Functionality
Ist3,Erg6,Multiple
Ist3,Ape1,Multiple
Ist3,Sec31,Multiple
Ist3,Rpa135,Multiple
Ist3,Hxk1,Multiple
Ist3,Cop1,Multiple
Ist3,Pml1,Multiple
Ist3,Rpo31,Multiple
Ist3,Ura1,Multiple
Ist3,Mss116,Multiple
Ist3,Aro4,Multiple
Ist3,Rpn7,Multiple
Ist3,Idh2,Multiple
Ist3,Gcn1,Multiple
Ist3,Rpn9,Multiple
Ist3,Sir4,Multiple
Ist3,Hsh155,Multiple
Ist3,Net1,Multiple
Ist3,Aro1,Multiple
Ist3,Rpn2,Multiple
Ist3,Prp8,Multiple
Ist3,Sam2,Multiple
Ist3,Frs2,Multiple
Ist3,Sti1,Multiple
Ist3,Glo1,Multiple
Ist3,Nop7,Multiple
Ist3,Prp19,Multiple
Ist3,Cct6,Multiple
Ist3,Snu114,Multiple
Ist3,Tdh1,Multiple
Ist3,Rpt2,Multiple
Ist3,Pup2,Multiple
Ist3,Bgl2,Multiple
Ist3,Uba1,Multiple
Ist3,Sec14,Multiple
Ist3,Brr2,Multiple
Ist3,Rpt5,Multiple
Hrb1,Hpr1,Ribosome
Hrb1,Stt4,Ribosome
Hrb1,Mft1,Ribosome
Hrb1,Thp2,Ribosome
Hrb1,Ypp1,Ribosome
Hrb1,Tex1,Ribosome
Hrb1,Tho2,Ribosome
Hrb1,Nam9,Ribosome
Hrb1,Mrps9,Ribosome
Hrb1,Rsm7,Ribosome
Hrb1,Mrps28,Ribosome
Hrb1,Rsm10,Ribosome
Hrb1,Pet123,Ribosome
Hrb1,Rsm23,Ribosome
Hrb1,Rps2,Ribosome
Hrb1,Mrp13,Ribosome
Hrb1,Erg1,Ribosome
Hrb1,Cct7,Ribosome
Hrb1,Mrp51,Ribosome
Hrb1,Rpl36b,Ribosome
Hrb1,Rsm28,Ribosome
Hrb1,Rpl15a,Ribosome
Hrb1,Mrp4,Ribosome
Hrb1,Mrps16,Ribosome
Hrb1,Rpl18a,Ribosome
Hrb1,Tdh1,Ribosome
Hrb1,Mrps35,Ribosome
Hrb1,Fpr3,Ribosome
Hrb1,His1,Ribosome
Cbc2,Sto1,Multiple
Cbc2,Prp40,Multiple
Cbc2,Snu71,Multiple
Cbc2,Prp39,Multiple
Cbc2,Mud1,Multiple
