nodes,size,ID
Ist3,37,Bait
Cbc2,36,Bait
Lsm2,56,Bait
Snp1,19,Bait
Hsh49,23,Bait
Sto1,50,Bait
Dhh1,74,Bait
Erg6,1,BioGRID & RBP census
Ape1,1,BioGRID
Sec31,1,BioGRID & RBP census
Rpa135,1,BioGRID & RBP census
Hxk1,1,BioGRID & RBP census
Cop1,1,BioGRID & RBP census
Pml1,1,BioGRID
Rpo31,1,None
Ura1,1,BioGRID
Mss116,1,BioGRID & RBP census
Aro4,1,BioGRID & RBP census
Rpn7,1,BioGRID & RBP census
Idh2,1,BioGRID & RBP census
Gcn1,1,BioGRID & RBP census
Rpn9,1,BioGRID & RBP census
Sir4,1,BioGRID
Hsh155,1,BioGRID & RBP census
Net1,1,BioGRID
Aro1,1,BioGRID & RBP census
Rpn2,1,BioGRID & RBP census
Prp8,1,BioGRID & RBP census
Sam2,1,BioGRID & RBP census
Frs2,1,RBP census
Sti1,1,BioGRID & RBP census
Glo1,1,BioGRID
Nop7,1,BioGRID & RBP census
Prp19,1,BioGRID & RBP census
Cct6,1,BioGRID
Snu114,1,BioGRID & RBP census
Tdh1,1,BioGRID & RBP census
Rpt2,1,BioGRID & RBP census
Pup2,1,BioGRID
Bgl2,1,BioGRID & RBP census
Uba1,1,BioGRID & RBP census
Sec14,1,RBP census
Brr2,1,BioGRID & RBP census
Rpt5,1,BioGRID & RBP census
Prp40,1,BioGRID & RBP census
Snu71,1,BioGRID & RBP census
Prp39,1,BioGRID & RBP census
Mud1,1,BioGRID & RBP census
Yhc1,1,BioGRID & RBP census
Luc7,1,BioGRID
Kap95,1,BioGRID & RBP census
Snu56,1,BioGRID & RBP census
Cct7,1,BioGRID & RBP census
Rsm26,1,None
Nrd1,1,BioGRID & RBP census
Tif4631,1,BioGRID & RBP census
Srp1,1,BioGRID & RBP census
Ypk1,1,BioGRID & RBP census
Yhb1,1,BioGRID & RBP census
Smd2,1,BioGRID & RBP census
Cdc11,1,None
Csr1,1,RBP census
Prp42,1,BioGRID & RBP census
Erg1,1,BioGRID & RBP census
Smb1,1,BioGRID & RBP census
Nop12,1,BioGRID & RBP census
Nab3,1,BioGRID & RBP census
Tma22,1,None
Pap2,1,BioGRID & RBP census
Ubc4,1,BioGRID
Lsg1,1,BioGRID & RBP census
Fpr3,1,BioGRID & RBP census
Ade3,1,BioGRID & RBP census
Lsm6,1,BioGRID & RBP census
Lsm4,1,BioGRID & RBP census
Enp1,1,BioGRID & RBP census
Lsm8,1,BioGRID & RBP census
Lsm3,1,BioGRID & RBP census
Bcs1,1,BioGRID
Lsm1,1,BioGRID & RBP census
Prp3,1,BioGRID
Lsm7,1,BioGRID & RBP census
Prp31,1,BioGRID
Tcp1,1,RBP census
Prp24,1,BioGRID & RBP census
Pat1,1,BioGRID & RBP census
Prp4,1,BioGRID & RBP census
Sup45,1,BioGRID & RBP census
Cad1,1,BioGRID & RBP census
Lsm5,1,BioGRID & RBP census
Prp38,1,BioGRID
Rpg1,1,BioGRID & RBP census
Snu23,1,BioGRID
Pet123,1,BioGRID
Gpx2,1,BioGRID
Mrps9,1,BioGRID
Gcd1,1,BioGRID
Mrp13,1,BioGRID
Mir1,1,RBP census
Pdc1,1,BioGRID & RBP census
Hog1,1,BioGRID
Mrps16,1,BioGRID
Gfa1,1,RBP census
Hgh1,1,BioGRID & RBP census
Mrpl23,1,BioGRID
Mrps17,1,BioGRID
Mrpl3,1,BioGRID
Ade12,1,BioGRID & RBP census
Cpa2,1,BioGRID & RBP census
Lys20,1,BioGRID & RBP census
Prs3,1,BioGRID & RBP census
Prp6,1,BioGRID
Dim1,1,RBP census
Rpa43,1,BioGRID
Mrps28,1,BioGRID
Prs4,1,BioGRID
Spp381,1,BioGRID
Snu66,1,BioGRID
Tub1,1,BioGRID & RBP census
Nam9,1,BioGRID
Mtr4,1,BioGRID & RBP census
YPL225W,1,None
Smd3,1,BioGRID & RBP census
Smd1,1,BioGRID
Nam8,1,BioGRID & RBP census
Rpc82,1,BioGRID
Hrp1,1,BioGRID & RBP census
Rps26b,1,BioGRID & RBP census
Trm1,1,RBP census
Rse1,1,BioGRID & RBP census
Ilv1,1,BioGRID & RBP census
Rds3,1,BioGRID
Svl3,1,BioGRID & RBP census
Cap1,1,BioGRID & RBP census
Age2,1,BioGRID
Gcv2,1,BioGRID
Hhf2,1,BioGRID & RBP census
Rpt1,1,RBP census
Rpb5,1,BioGRID
Acs2,1,BioGRID & RBP census
Brx1,1,BioGRID & RBP census
Fmp52,1,BioGRID
Cus1,1,BioGRID
Nam7,1,BioGRID & RBP census
YHR214C-B,1,None
YMR315W,1,None
Iki1,1,BioGRID
Cwc2,1,BioGRID
Syf1,1,BioGRID
Clf1,1,BioGRID
Cef1,1,BioGRID
Prp21,1,BioGRID
Prp45,1,BioGRID
Erg26,1,RBP census
Elp6,1,BioGRID
Ecm2,1,BioGRID & RBP census
Isy1,1,BioGRID
Cwc22,1,BioGRID & RBP census
Ald4,1,BioGRID & RBP census
Air2,1,BioGRID & RBP census
Ara1,1,None
Gde1,1,BioGRID
Pnc1,1,BioGRID & RBP census
Dcp1,1,BioGRID
Rpm2,1,BioGRID
Ufd4,1,BioGRID
Nmd4,1,BioGRID
Pwp2,1,RBP census
Tor1,1,BioGRID
Vtc1,1,BioGRID
Bro1,1,None
Bms1,1,BioGRID & RBP census
Rpb8,1,BioGRID
Sro9,1,BioGRID & RBP census
Mon2,1,BioGRID
Ecm16,1,BioGRID & RBP census
Vma13,1,BioGRID & RBP census
Mrpl22,1,BioGRID
Hmo1,1,BioGRID & RBP census
Hrr25,1,BioGRID & RBP census
