nodes,size,Functionality
Pab1,1,None
Ist3,37,Multiple
Hrb1,29,Ribosome
Cbc2,36,Multiple
Mtr4,68,Multiple
Lsm2,56,Multiple
Snp1,19,Splicing
Rpo21,32,Synthesis
Hsh49,23,Splicing
Rpb7,22,Synthesis
Sto1,50,Splicing
Spt5,1,None
Sgn1,29,Multiple
Dcp2,1,None
Rrp40,25,Degradation
Ski2,1,None
Dhh1,74,Multiple
Dis3,77,Degradation
Fal1,25,Multiple
Nmd2,25,Export
Upf3,70,Multiple
Tif4631,91,Multiple
Nam7,88,Multiple
Sub2,1,None
Cft1,14,Degradation
Rna14,26,Degradation
Mpe1,111,Ribosome
Glc7,1,None
Sup35,35,Degradation
Hbs1,72,Degradation
Mud2,89,Ribosome
Prp22,8,Synthesis
Dbp2,1,None
Utp8,1,None
Mss116,1,None
Rpl42a,1,None
Ecm16,1,None
YLR419W,1,None
Aro4,1,None
Sro9,1,None
Sec31,1,None
Cdc39,1,None
Net1,1,None
Cop1,1,None
Rsm26,1,None
Rnq1,1,None
Rpt5,1,None
Tdh1,1,None
Rpp2b,1,None
Erg6,1,None
Ape1,1,None
Rpa135,1,None
Hxk1,1,None
Pml1,1,None
Rpo31,1,None
Ura1,1,None
Rpn7,1,None
Idh2,1,None
Gcn1,1,None
Rpn9,1,None
Sir4,1,None
Hsh155,1,None
Aro1,1,None
Rpn2,1,None
Prp8,1,None
Sam2,1,None
Frs2,1,None
Sti1,1,None
Glo1,1,None
Nop7,1,None
Prp19,1,None
Cct6,1,None
Snu114,1,None
Rpt2,1,None
Pup2,1,None
Bgl2,1,None
Uba1,1,None
Sec14,1,None
Brr2,1,None
Gcv2,1,None
Cct3,1,None
Cct7,1,None
Sec13,1,None
Glk1,1,None
Spf1,1,None
Hpr1,1,None
Stt4,1,None
Mft1,1,None
Thp2,1,None
Ypp1,1,None
Tex1,1,None
Tho2,1,None
Nam9,1,None
Mrps9,1,None
Rsm7,1,None
Mrps28,1,None
Rsm10,1,None
Pet123,1,None
Rsm23,1,None
Rps2,1,None
Mrp13,1,None
Erg1,1,None
Mrp51,1,None
Rpl36b,1,None
Rsm28,1,None
Rpl15a,1,None
Mrp4,1,None
Mrps16,1,None
Rpl18a,1,None
Mrps35,1,None
Fpr3,1,None
His1,1,None
Prp40,1,None
Snu71,1,None
Prp39,1,None
Mud1,1,None
Yhc1,1,None
Luc7,1,None
Kap95,1,None
Snu56,1,None
Nrd1,1,None
Srp1,1,None
Ypk1,1,None
Yhb1,1,None
Smd2,1,None
Cdc11,1,None
Csr1,1,None
Prp42,1,None
Smb1,1,None
Nop12,1,None
Nab3,1,None
Tma22,1,None
Pap2,1,None
Ubc4,1,None
Lsg1,1,None
Ade3,1,None
Pno1,1,None
Cdc14,1,None
Ade12,1,None
Air2,1,None
Rbg2,1,None
Trf5,1,None
Hog1,1,None
Nop4,1,None
Air1,1,None
Sqs1,1,None
Srp68,1,None
Ubp3,1,None
Cic1,1,None
Noc3,1,None
Rpp2a,1,None
Utp15,1,None
Ecm29,1,None
Utp6,1,None
Nop15,1,None
Pre5,1,None
Erb1,1,None
Nop8,1,None
Gga2,1,None
Dbp8,1,None
Bre5,1,None
Lys20,1,None
Kre33,1,None
Xrn1,1,None
Utp10,1,None
Pwp2,1,None
Dug1,1,None
Nhp2,1,None
Sec61,1,None
Rsc58,1,None
Utp11,1,None
Emg1,1,None
Nup188,1,None
Nop13,1,None
Hrp1,1,None
Utp20,1,None
Enp2,1,None
Nmd3,1,None
Srv2,1,None
Rrp9,1,None
Bms1,1,None
Nat1,1,None
Idp1,1,None
Noc4,1,None
Sth1,1,None
Gly1,1,None
Cct2,1,None
Nop53,1,None
Rfc5,1,None
Rrp12,1,None
Tcb3,1,None
Rpl43a,1,None
YPL225W,1,None
Lsm6,1,None
Lsm4,1,None
Enp1,1,None
Lsm8,1,None
Lsm3,1,None
Bcs1,1,None
Lsm1,1,None
Prp3,1,None
Lsm7,1,None
Prp31,1,None
Tcp1,1,None
Prp24,1,None
Pat1,1,None
Prp4,1,None
Sup45,1,None
Cad1,1,None
Lsm5,1,None
Prp38,1,None
Rpg1,1,None
Snu23,1,None
Gpx2,1,None
Gcd1,1,None
Mir1,1,None
Pdc1,1,None
Gfa1,1,None
Hgh1,1,None
Mrpl23,1,None
Mrps17,1,None
Mrpl3,1,None
Cpa2,1,None
Prs3,1,None
Prp6,1,None
Dim1,1,None
Rpa43,1,None
Prs4,1,None
Spp381,1,None
Snu66,1,None
Tub1,1,None
Rpl5,1,None
Rps13,1,None
Rps5,1,None
Mak21,1,None
Hhf2,1,None
Rlp7,1,None
Nop2,1,None
Brx1,1,None
Rpl37a,1,None
Svl3,1,None
Smd3,1,None
Smd1,1,None
Nam8,1,None
Rpc82,1,None
Rps26b,1,None
Trm1,1,None
Rpb4,1,None
Rpb10,1,None
Tfg1,1,None
Rpb11,1,None
Rpb2,1,None
Rpb3,1,None
Rpo26,1,None
Rpc10,1,None
Tfg2,1,None
Rpb5,1,None
Rpb8,1,None
Sec7,1,None
Taf14,1,None
Sec26,1,None
Dbp9,1,None
Bud27,1,None
Mkt1,1,None
Sec27,1,None
Rtr1,1,None
Aha1,1,None
Rpb9,1,None
Rse1,1,None
Ilv1,1,None
Rds3,1,None
Cap1,1,None
Age2,1,None
Rpt1,1,None
Acs2,1,None
Fmp52,1,None
Cus1,1,None
YHR214C-B,1,None
YMR315W,1,None
Pse1,1,None
Spt6,1,None
Yra2,1,None
Tma20,1,None
Arp2,1,None
Iki1,1,None
Cwc2,1,None
Syf1,1,None
Clf1,1,None
Cef1,1,None
Prp21,1,None
Prp45,1,None
Erg26,1,None
Elp6,1,None
Ecm2,1,None
Isy1,1,None
Cwc22,1,None
Ald4,1,None
Ara1,1,None
Gde1,1,None
Pnc1,1,None
Ura2,1,None
Tpd3,1,None
Nup133,1,None
Rnr3,1,None
Gpp2,1,None
Rnr2,1,None
Mri1,1,None
Hsp42,1,None
Gsy1,1,None
Apl6,1,None
Nip7,1,None
Rnr4,1,None
Anb1,1,None
Oxp1,1,None
Gcv1,1,None
Car2,1,None
Aim17,1,None
Bro1,1,None
Bem4,1,None
Ade17,1,None
YGR250C,1,None
YKL033W-A,1,None
Hsp26,1,None
Hrr25,1,None
Nmd4,1,None
Rpm2,1,None
Ebs1,1,None
Edc3,1,None
Dcp1,1,None
Vph1,1,None
Ski6,1,None
Rrp46,1,None
Lrp1,1,None
Mpp6,1,None
Mtr3,1,None
Csl4,1,None
Rrp45,1,None
Rrp4,1,None
Rrp42,1,None
Rrp43,1,None
Rpp1b,1,None
Tma19,1,None
Rrp6,1,None
Cpr6,1,None
Ski3,1,None
Vtc1,1,None
Ski7,1,None
Dip2,1,None
Rps29a,1,None
Ski8,1,None
Rpl24b,1,None
Rps27a,1,None
Rps12,1,None
Pfk2,1,None
Rps26a,1,None
Vip1,1,None
Ufd4,1,None
Tor1,1,None
Mon2,1,None
Vma13,1,None
Mrpl22,1,None
Hmo1,1,None
Kog1,1,None
Mrpl17,1,None
Rsc9,1,None
Gin4,1,None
Fun30,1,None
Fpr1,1,None
Ssd1,1,None
Mrpl7,1,None
Ccr4,1,None
Rrg8,1,None
Mdn1,1,None
Pbp4,1,None
Sac6,1,None
Mdj1,1,None
Ils1,1,None
Mrpl15,1,None
Gsp1,1,None
Atp2,1,None
Tif11,1,None
Gyp5,1,None
