source,target
Ist3,Erg6
Ist3,Ape1
Ist3,Sec31
Ist3,Rpa135
Ist3,Hxk1
Ist3,Cop1
Ist3,Pml1
Ist3,Rpo31
Ist3,Ura1
Ist3,Mss116
Ist3,Aro4
Ist3,Rpn7
Ist3,Idh2
Ist3,Gcn1
Ist3,Rpn9
Ist3,Sir4
Ist3,Hsh155
Ist3,Net1
Ist3,Aro1
Ist3,Rpn2
Ist3,Prp8
Ist3,Sam2
Ist3,Frs2
Ist3,Sti1
Ist3,Glo1
Ist3,Nop7
Ist3,Prp19
Ist3,Cct6
Ist3,Snu114
Ist3,Tdh1
Ist3,Rpt2
Ist3,Pup2
Ist3,Bgl2
Ist3,Uba1
Ist3,Sec14
Ist3,Brr2
Ist3,Rpt5
Cbc2,Sto1
Cbc2,Prp40
Cbc2,Snu71
Cbc2,Prp39
Cbc2,Mud1
Cbc2,Brr2
Cbc2,Yhc1
Cbc2,Luc7
Cbc2,Kap95
Cbc2,Snu56
Cbc2,Snu114
Cbc2,Cct7
Cbc2,Rsm26
Cbc2,Nrd1
Cbc2,Tif4631
Cbc2,Srp1
Cbc2,Ypk1
Cbc2,Snp1
Cbc2,Yhb1
Cbc2,Prp19
Cbc2,Smd2
Cbc2,Cdc11
Cbc2,Prp8
Cbc2,Csr1
Cbc2,Prp42
Cbc2,Erg1
Cbc2,Erg6
Cbc2,Smb1
Cbc2,Nop12
Cbc2,Nab3
Cbc2,Tma22
Cbc2,Pap2
Cbc2,Ubc4
Cbc2,Lsg1
Cbc2,Fpr3
Cbc2,Ade3
Lsm2,Brr2
Lsm2,Lsm6
Lsm2,Lsm4
Lsm2,Enp1
Lsm2,Lsm8
Lsm2,Lsm3
Lsm2,Bcs1
Lsm2,Lsm1
Lsm2,Smd2
Lsm2,Prp3
Lsm2,Lsm7
Lsm2,Prp31
Lsm2,Tcp1
Lsm2,Snu114
Lsm2,Prp24
Lsm2,Pat1
Lsm2,Prp4
Lsm2,Sup45
Lsm2,Cad1
Lsm2,Lsm5
Lsm2,Prp38
Lsm2,Rpg1
Lsm2,Snu23
Lsm2,Pet123
Lsm2,Gpx2
Lsm2,Mrps9
Lsm2,Prp8
Lsm2,Gcd1
Lsm2,Csr1
Lsm2,Mrp13
Lsm2,Mir1
Lsm2,Pdc1
Lsm2,Nab3
Lsm2,Hog1
Lsm2,Mrps16
Lsm2,Gfa1
Lsm2,Smb1
Lsm2,Hgh1
Lsm2,Mrpl23
Lsm2,Mrps17
Lsm2,Mrpl3
Lsm2,Ade12
Lsm2,Cpa2
Lsm2,Lys20
Lsm2,Prs3
Lsm2,Prp6
Lsm2,Dim1
Lsm2,Rpa43
Lsm2,Mrps28
Lsm2,Prs4
Lsm2,Spp381
Lsm2,Snu66
Lsm2,Tub1
Lsm2,Nam9
Lsm2,Mtr4
Lsm2,YPL225W
Snp1,Snu56
Snp1,Snu71
Snp1,Luc7
Snp1,Yhc1
Snp1,Mud1
Snp1,Prp40
Snp1,Smd3
Snp1,Smb1
Snp1,Smd1
Snp1,Nam8
Snp1,Smd2
Snp1,Prp42
Snp1,Prp39
Snp1,Rsm26
Snp1,Cad1
Snp1,Rpc82
Snp1,Hrp1
Snp1,Rps26b
Snp1,Trm1
Hsh49,Rse1
Hsh49,Ilv1
Hsh49,Hsh155
Hsh49,Rds3
Hsh49,Svl3
Hsh49,Cap1
Hsh49,Erg1
Hsh49,Age2
Hsh49,Gcv2
Hsh49,Ape1
Hsh49,Hhf2
Hsh49,Rpt1
Hsh49,Rpb5
Hsh49,Nab3
Hsh49,Acs2
Hsh49,Brx1
Hsh49,Rpc82
Hsh49,Fmp52
Hsh49,Cus1
Hsh49,Nam7
Hsh49,Trm1
Hsh49,YHR214C-B
Hsh49,YMR315W
Sto1,Prp40
Sto1,Iki1
Sto1,Snp1
Sto1,Luc7
Sto1,Nrd1
Sto1,Mud1
Sto1,Cbc2
Sto1,Yhc1
Sto1,Brr2
Sto1,Snu71
Sto1,Cwc2
Sto1,Prp6
Sto1,Syf1
Sto1,Snu56
Sto1,Clf1
Sto1,Cus1
Sto1,Prp42
Sto1,Erg1
Sto1,Nam8
Sto1,Prp8
Sto1,Cef1
Sto1,Nab3
Sto1,Prp21
Sto1,Prp31
Sto1,Prp45
Sto1,Snu114
Sto1,Erg26
Sto1,Elp6
Sto1,Fpr3
Sto1,Ecm2
Sto1,Snu23
Sto1,Prp19
Sto1,Pap2
Sto1,Isy1
Sto1,Smb1
Sto1,Hsh155
Sto1,Smd1
Sto1,Cwc22
Sto1,Rse1
Sto1,Srp1
Sto1,Ald4
Sto1,Prp4
Sto1,Cad1
Sto1,Smd2
Sto1,Prp39
Sto1,Air2
Sto1,Ara1
Sto1,Smd3
Sto1,Gde1
Sto1,Pnc1
Dhh1,Pat1
Dhh1,Lsm1
Dhh1,Lsm4
Dhh1,Lsm7
Dhh1,Dcp1
Dhh1,Lsm2
Dhh1,Rpm2
Dhh1,Ufd4
Dhh1,Nmd4
Dhh1,Nam7
Dhh1,Lsm3
Dhh1,Pwp2
Dhh1,Tor1
Dhh1,Vtc1
Dhh1,Bro1
Dhh1,Bms1
Dhh1,Fpr3
Dhh1,Rpb8
Dhh1,Sro9
Dhh1,Mon2
Dhh1,Ecm16
Dhh1,Vma13
Dhh1,Mrpl22
Dhh1,Hmo1
Dhh1,Hrr25
Dhh1,Kog1
Dhh1,Brr2
Dhh1,Mrpl17
Dhh1,Rsc9
Dhh1,Rps29a
Dhh1,Gin4
Dhh1,Fun30
Dhh1,Tpd3
Dhh1,Ebs1
Dhh1,Edc3
Dhh1,Utp20
Dhh1,Rps2
Dhh1,Fpr1
Dhh1,Ssd1
Dhh1,Nop4
Dhh1,Mrpl7
Dhh1,Ccr4
Dhh1,Rrg8
Dhh1,Hxk1
Dhh1,Glk1
Dhh1,Mdn1
Dhh1,Pbp4
Dhh1,Hhf2
Dhh1,Sac6
Dhh1,Rpl18a
Dhh1,Mdj1
Dhh1,Ils1
Dhh1,Mrpl15
Dhh1,Gsp1
Dhh1,Atp2
Dhh1,Tif11
Dhh1,Xrn1
Dhh1,Gyp5
Dhh1,Npa3
Dhh1,Cof1
Dhh1,Rvs161
Dhh1,Pro3
Dhh1,Dcp2
Dhh1,Ade2
Dhh1,Kes1
Dhh1,Hsp82
Dhh1,Trx1
Dhh1,Ski3
Dhh1,Ecm29
Dhh1,Yop1
Dhh1,Mir1
Dhh1,Atp1
Dhh1,YLR419W
Dhh1,YNR021W
