"Protein.IDs","my_label","Gene.names","difference_RNase_WT","log10.pvalue_RNase_WT","log2.LFQ.intensity.RNase_01","log2.LFQ.intensity.RNase_02","log2.LFQ.intensity.RNase_03","log2.LFQ.intensity.RNase_04","imputed.log2.LFQ.intensity.RNase_01","imputed.log2.LFQ.intensity.RNase_02","imputed.log2.LFQ.intensity.RNase_03","imputed.log2.LFQ.intensity.RNase_04","value_count_RNase","log2.LFQ.intensity.WT_01","log2.LFQ.intensity.WT_02","log2.LFQ.intensity.WT_03","log2.LFQ.intensity.WT_04","imputed.log2.LFQ.intensity.WT_01","imputed.log2.LFQ.intensity.WT_02","imputed.log2.LFQ.intensity.WT_03","imputed.log2.LFQ.intensity.WT_04","value_count_WT"
"YKR084C","HBS1","HBS1",7.55053630065058,5.63075003735188,30.1125965576991,29.9413971866923,30.4021257699613,28.9894790874505,30.1125965576991,29.9413971866923,30.4021257699613,28.9894790874505,4,NA,NA,NA,NA,22.3763785847644,23.0544982632897,22.2681995793254,21.5443769718214,0
"YDR381W","YRA1","YRA1",2.73267115119252,4.98297812418509,25.270028640984,25.3963021742974,24.8241538845168,25.4484031966344,25.270028640984,25.3963021742974,24.8241538845168,25.4484031966344,4,NA,NA,NA,NA,22.7031319941694,22.631358074001,22.3981247009878,22.2755885225043,0
"YER133W-TAP;YER133W","GLC7-TAP","GLC7-TAP",6.65027994577243,4.16563373696688,29.1989639112724,29.1833586589549,29.6871238312963,28.1923470012176,29.1989639112724,29.1833586589549,29.6871238312963,28.1923470012176,4,NA,NA,NA,NA,22.5276632486132,22.6048136057553,22.4060232162329,22.1221735490501,0
"YHL015W","RPS20","RPS20",1.05234085090477,3.5364485074548,30.4801015246076,30.3237786447283,30.2229695288079,30.2145411315828,30.4801015246076,30.3237786447283,30.2229695288079,30.2145411315828,4,29.0042907286467,29.4453751067579,29.3871012871066,29.1952603035962,29.0042907286467,29.4453751067579,29.3871012871066,29.1952603035962,4
"YLR185W","RPL37A","RPL37A",3.56903160290068,3.49647390683484,25.9384275820876,25.6178729887078,25.9801971174594,26.073839037695,25.9384275820876,25.6178729887078,25.9801971174594,26.073839037695,4,NA,NA,NA,NA,22.6422887072366,22.8661081253952,22.1701208109037,21.6556926708116,0
"YJR045C;YEL030W","SSC1","SSC1",3.23853769638253,3.2959933656002,25.0335547421099,25.6803786261427,25.1230522612618,26.2035544210739,25.0335547421099,25.6803786261427,25.1230522612618,26.2035544210739,4,NA,NA,NA,NA,22.2996792139127,22.9925140232034,22.5097450209303,21.2844510070118,0
"YMR072W","ABF2","ABF2",1.8706382067484,3.00091291699228,24.4651319175387,24.3490835722093,23.7536868440535,24.9000280142007,24.4651319175387,24.3490835722093,23.7536868440535,24.9000280142007,4,NA,NA,NA,NA,22.6266749683255,22.8711580221923,22.3730895952471,22.1144549352436,0
"YDL061C","RPS29B","RPS29B",2.59264808818537,2.7263310696215,25.1167611711009,24.5622652531449,24.8518618695352,24.8715003340518,25.1167611711009,24.5622652531449,24.8518618695352,24.8715003340518,4,NA,NA,NA,NA,22.2280659626592,23.0704512552063,22.1943068809307,21.538972176295,0
"YOL040C","RPS15","RPS15",1.05629028749195,2.68886689323813,28.7145340265666,29.1852742591332,28.5331536707452,29.0127590446712,28.7145340265666,29.1852742591332,28.5331536707452,29.0127590446712,4,27.6045595631519,27.8516236241311,27.9625666874961,27.8018099763693,27.6045595631519,27.8516236241311,27.9625666874961,27.8018099763693,4
"YOR167C;YLR264W","RPS28A","RPS28A",1.06515878949732,2.62140585054466,26.3260998599877,26.3550122797028,26.4950012982827,26.0565169960053,26.3260998599877,26.3550122797028,26.4950012982827,26.0565169960053,4,24.9049502442956,25.3156183761193,25.6452918742837,25.1061347812905,24.9049502442956,25.3156183761193,25.6452918742837,25.1061347812905,4
"YDR500C","RPL37B","RPL37B",1.74649119590463,2.60277639323221,24.7298783517788,24.7300338900292,23.8025250424191,24.7257244672006,24.7298783517788,24.7300338900292,23.8025250424191,24.7257244672006,4,NA,NA,NA,23.4786481760528,22.5781216033362,22.6907017128089,22.2547254756113,23.4786481760528,1
"YML063W","RPS1B","RPS1B",1.11624120184862,2.45807679359781,28.6511285183183,28.3838921882762,28.3097333491958,28.3091261725576,28.6511285183183,28.3838921882762,28.3097333491958,28.3091261725576,4,26.8025496935488,27.3442654269763,27.4478989561501,27.5942013442781,26.8025496935488,27.3442654269763,27.4478989561501,27.5942013442781,4
"YNL162W;YHR141C","RPL42A","RPL42A",1.29345831868179,2.43235364702997,27.5523748860399,27.6317308194308,26.8301397270758,27.3239718642521,27.5523748860399,27.6317308194308,26.8301397270758,27.3239718642521,4,26.6121742355268,25.9123022435707,26.0369323642433,25.6029751787306,26.6121742355268,25.9123022435707,26.0369323642433,25.6029751787306,4
"YGL103W","RPL28","RPL28",1.12468467556668,2.22073719354151,29.157402604862,28.9825055345494,28.7906684628118,28.7934309093833,29.157402604862,28.9825055345494,28.7906684628118,28.7934309093833,4,27.298502706219,27.9042037900578,28.2566491128785,27.7659132001845,27.298502706219,27.9042037900578,28.2566491128785,27.7659132001845,4
"YLR180W","SAM1","SAM1",1.60701700857525,2.07334032746191,23.8531001118144,23.5120758883958,23.9360699615591,24.9923509520569,23.8531001118144,23.5120758883958,23.9360699615591,24.9923509520569,4,NA,NA,NA,NA,22.3999294340769,22.8475219331838,22.5690969850244,22.0489805272401,0
