"Pulldown stock ID","Enriched Interacors ID","Analysis","Signature accession","Signature description","Interpro description","Enriched IN signature","Enriched NOT in signature","Quantified IN signature","Quantified NOT in signature","P-value","Estimate","Adjusted P-value"
"YAF005","YLR432W;YML056C","ProSitePatterns","PS00487","IMP dehydrogenase / GMP reductase signature.","IMP dehydrogenase / GMP reductase, conserved site",2,1,2,302,0.000381539917723911,235.322694910147,0.0526525086458998
"YAF005","YLR432W;YML056C","SUPERFAMILY","SSF51412","Inosine monophosphate dehydrogenase (IMPDH)","-",2,9,2,498,0.00247316667773744,52.6827105478676,0.070265433641302
"YAF005","YLR432W;YML056C","SUPERFAMILY","SSF54631","CBS-domain pair","-",2,9,3,497,0.00407335847195953,35.4342386499107,0.070265433641302
"YAF005","YLR432W;YML056C","CDD","cd00381","IMPDH","IMP dehydrogenase/GMP reductase",2,8,2,368,0.00364441053713137,43.5674268590756,0.070265433641302
"YAF005","YLR432W;YML056C","CDD","cd04601","CBS_pair_IMPDH","-",2,8,2,368,0.00364441053713137,43.5674268590756,0.070265433641302
"YAF005","YLR432W;YML056C","PANTHER","PTHR11911","INOSINE-5-MONOPHOSPHATE DEHYDROGENASE RELATED","-",2,11,2,549,0.00287132079957756,47.9142048449172,0.070265433641302
"YAF005","YLR432W;YML056C","Pfam","PF00478","IMP dehydrogenase / GMP reductase domain","IMP dehydrogenase/GMP reductase",2,11,2,552,0.00284138889313961,48.1757466014806,0.070265433641302
"YAF005","YLR432W;YML056C","Pfam","PF00571","CBS domain","CBS domain",2,11,3,551,0.00467422286811577,32.3720102631889,0.0716714173111084
"YAF005","YLR432W;YML056C","PIRSF","PIRSF000130","IMPDH","Inosine-5'-monophosphate dehydrogenase",2,3,2,134,0.00590504205595482,39.489383217732,0.0771711814219348
"YAF005","YLR432W;YML056C","TIGRFAM","TIGR01302","IMP_dehydrog: inosine-5'-monophosphate dehydrogenase","Inosine-5'-monophosphate dehydrogenase",2,2,2,184,0.00197662966914005,77.8771926774209,0.070265433641302
"YAF005","YLR432W;YML056C","SMART","SM01240","IMPDH_2","-",2,7,2,227,0.00735877090363322,30.5242705765064,0.0771711814219348
