"Pulldown stock ID","Enriched Interacors ID","Analysis","Signature accession","Signature description","Interpro description","Enriched IN signature","Enriched NOT in signature","Quantified IN signature","Quantified NOT in signature","P-value","Estimate","Adjusted P-value"
"YAF020","YER165W;YHL034C;YNL175C","Pfam","PF00076","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)","RNA recognition motif domain",3,11,18,969,0.00250083240668164,14.5415853830472,0.0463890731740323
"YAF020","YLR432W;YML056C","Pfam","PF00478","IMP dehydrogenase / GMP reductase domain","IMP dehydrogenase/GMP reductase",2,12,3,984,0.0017748618912431,53.0560250894302,0.0424684403727473
"YAF020","YLR432W;YML056C","Pfam","PF00571","CBS domain","CBS domain",2,12,5,982,0.00366780903776941,32.0681644622955,0.0463890731740323
"YAF020","YER165W;YHL034C;YNL175C","Gene3D","G3DSA:3.30.70.330","-","Nucleotide-binding alpha-beta plait domain superfamily",3,11,23,845,0.00668091106382717,9.94371032957049,0.0658893554552803
"YAF020","YLR432W;YML056C","PANTHER","PTHR11911","INOSINE-5-MONOPHOSPHATE DEHYDROGENASE RELATED","-",2,12,3,982,0.00178189260305234,52.9107065923882,0.0424684403727473
"YAF020","YLR432W;YML056C","SMART","SM01240","IMPDH_2","-",2,10,3,407,0.00708170742286677,26.214003552219,0.0658893554552803
"YAF020","YER165W;YHL034C;YNL175C","SUPERFAMILY","SSF54928","RNA-binding domain, RBD","RNA-binding domain superfamily",3,9,22,836,0.00389278935726145,12.5470555085379,0.0463890731740323
"YAF020","YLR432W;YML056C","SUPERFAMILY","SSF51412","Inosine monophosphate dehydrogenase (IMPDH)","-",2,10,3,855,0.00170604534627175,55.0041202879829,0.0424684403727473
"YAF020","YLR432W;YML056C","SUPERFAMILY","SSF54631","CBS-domain pair","-",2,10,5,853,0.00352789403809143,33.3032834287027,0.0463890731740323
"YAF020","YLR432W;YML056C","CDD","cd00381","IMPDH","IMP dehydrogenase/GMP reductase",2,10,3,607,0.00330832978781295,39.0808526938,0.0463890731740323
"YAF020","YLR432W;YML056C","CDD","cd04601","CBS_pair_IMPDH","-",2,10,3,607,0.00330832978781295,39.0808526938,0.0463890731740323
"YAF020","YLR432W;YML056C","PIRSF","PIRSF000130","IMPDH","Inosine-5'-monophosphate dehydrogenase",2,1,3,209,0.00129181959831145,116.228475061072,0.0424684403727473
"YAF020","YLR432W;YML056C","ProSitePatterns","PS00487","IMP dehydrogenase / GMP reductase signature.","IMP dehydrogenase / GMP reductase, conserved site",2,1,3,457,0.000279280133854891,254.349156960994,0.0399370591412495
"YAF020","YLR432W;YML056C","TIGRFAM","TIGR01302","IMP_dehydrog: inosine-5'-monophosphate dehydrogenase","Inosine-5'-monophosphate dehydrogenase",2,2,3,270,0.00154684407417194,79.4340345381217,0.0424684403727473
"YAF020","YEL037C","PRINTS","PR01839","DNA repair protein Rad23 signature","UV excision repair protein Rad23",1,0,1,244,0.00813008130081283,Inf,0.0658893554552803
