nodes,size,Functionality
Pab1,83,Multiple
Puf3,1,None
Ndc1,6,Degradation
Hrb1,1,None
Cbc2,43,Splicing
Msl1,32,Splicing
Mtr4,38,Degradation
Lsm2,49,Splicing
Gbp2,44,Multiple
Snp1,1,None
Rpo21,6,Degradation
Hsh49,19,Multiple
Rpb7,22,Metabolism
Sto1,70,Multiple
Spt5,1,None
Sgn1,32,Degradation
Rrp40,48,Multiple
Ski2,1,None
Dhh1,1,None
Fal1,28,Metabolism
Nmd2,13,Synthesis
Tif4631,49,Degradation
Nam7,143,Multiple
Cft1,27,Multiple
Rna14,21,Multiple
Glc7,45,Metabolism
Sup35,10,Metabolism
Hbs1,30,Multiple
Mud2,45,Multiple
Prp22,45,Multiple
Dbp2,18,Multiple
Nop4,1,None
Sro9,1,None
Utp22,1,None
Imd3,1,None
Tif4632,1,None
Hmo1,1,None
Mgm101,1,None
Rbg1,1,None
Rli1,1,None
Nop13,1,None
Hho1,1,None
Imd2,1,None
Tma46,1,None
Arc1,1,None
Pdb1,1,None
Nop6,1,None
Rpo31,1,None
Sbp1,1,None
Ubp3,1,None
Xrn1,1,None
Trm1,1,None
Ecm32,1,None
Bfr1,1,None
Nop12,1,None
Aro4,1,None
Mis1,1,None
Hir2,1,None
Prp19,1,None
Trp5,1,None
Spe3,1,None
Snu114,1,None
Nop10,1,None
Yra1,1,None
Pus4,1,None
Erg6,1,None
Thr4,1,None
Hom6,1,None
Ado1,1,None
Erg13,1,None
Ade1,1,None
Erg10,1,None
Rrp7,1,None
Bmh2,1,None
Bre5,1,None
Gua1,1,None
Pgk1,1,None
Cpr6,1,None
Rpa135,1,None
Cdc33,1,None
Ade57,1,None
Aco1,1,None
Aro8,1,None
Rpn2,1,None
Slf1,1,None
Cys3,1,None
Ade17,1,None
Ses1,1,None
Tpi1,1,None
Eno1,1,None
Grs1,1,None
Ipp1,1,None
Egd2,1,None
Ded81,1,None
Tys1,1,None
Gdh1,1,None
Ura1,1,None
Lpd1,1,None
Asn1,1,None
Gnd1,1,None
Sec53,1,None
Hom2,1,None
Yhb1,1,None
Por1,1,None
Ade3,1,None
Cof1,1,None
Hts1,1,None
Vtc4,1,None
Rrp5,1,None
YDR341C,1,None
YHR020W,1,None
Hek2,1,None
Shm1,1,None
Ypt1,1,None
Imd4,1,None
Tub1,1,None
Dld3,1,None
She2,1,None
Vma8,1,None
Scp160,1,None
Kri1,1,None
Hpr1,1,None
Krr1,1,None
Mft1,1,None
Tho2,1,None
Syp1,1,None
Puf6,1,None
Rse1,1,None
Cus1,1,None
Prp40,1,None
Prp39,1,None
Snu71,1,None
Thp2,1,None
Hsh155,1,None
Mud1,1,None
Prp21,1,None
Luc7,1,None
Prp42,1,None
Smd1,1,None
Rpa43,1,None
Nam8,1,None
Rsm7,1,None
Cdc60,1,None
Cef1,1,None
Sxm1,1,None
Prp46,1,None
Sec4,1,None
Smb1,1,None
Brr2,1,None
Nrd1,1,None
Nab3,1,None
Loc1,1,None
Pwp1,1,None
Mrps9,1,None
Nam9,1,None
Mrd1,1,None
Arp9,1,None
Fcf2,1,None
Cdc10,1,None
Rsc9,1,None
Imp4,1,None
Sof1,1,None
Yml6,1,None
Mrpl1,1,None
Prp3,1,None
Prp38,1,None
Mss116,1,None
Smd2,1,None
Gly1,1,None
Prp24,1,None
Snu23,1,None
Prp4,1,None
Stm1,1,None
Ape3,1,None
Dps1,1,None
Pre8,1,None
Mrpl11,1,None
Dib1,1,None
Fas1,1,None
Prp8,1,None
Ura5,1,None
Smd3,1,None
Pap2,1,None
Utp8,1,None
Rsc8,1,None
Tex1,1,None
Gar1,1,None
Srv2,1,None
Nop8,1,None
Utp10,1,None
Srp40,1,None
Tfg1,1,None
Pre6,1,None
Utp4,1,None
Aro1,1,None
Fas2,1,None
Dys1,1,None
Asp1,1,None
Ypr1,1,None
Sam2,1,None
Sti1,1,None
Pro2,1,None
Whi3,1,None
YMR226C,1,None
Brr1,1,None
Mdj1,1,None
Yra2,1,None
Gcv1,1,None
Yhc1,1,None
Esf1,1,None
Nit3,1,None
Snu56,1,None
Erg5,1,None
Pat1,1,None
Cwc15,1,None
Air2,1,None
Rcn2,1,None
Mri1,1,None
Lhp1,1,None
Nif3,1,None
Grx3,1,None
Prp9,1,None
Tpd3,1,None
Gpp2,1,None
Prs5,1,None
Gcv2,1,None
Kar2,1,None
Rsm25,1,None
Det1,1,None
Ypt7,1,None
YHR112C,1,None
Atp25,1,None
Aep2,1,None
Ssd1,1,None
Gcn3,1,None
Pre4,1,None
Age2,1,None
Mrp1,1,None
Efg1,1,None
YGR054W,1,None
YPR097W,1,None
Bcs1,1,None
Pre10,1,None
Trp3,1,None
Ald5,1,None
Rpt1,1,None
Rcl1,1,None
Pet9,1,None
Aro2,1,None
Pho81,1,None
Dug1,1,None
Tup1,1,None
Hsp60,1,None
Ski3,1,None
Tdh2,1,None
Pgi1,1,None
Pyc2,1,None
Krs1,1,None
Cpa2,1,None
Psp2,1,None
