nodes,size,ID
Cbc2,43,Bait
Msl1,32,Bait
Lsm2,49,Bait
Sto1,70,Bait
Imd4,1,RBP census
Pab1,1,BioGRID & RBP census
Rse1,1,BioGRID & RBP census
Cus1,1,BioGRID
Imd3,1,RBP census
Xrn1,1,BioGRID & RBP census
Prp40,1,BioGRID & RBP census
Rrp5,1,BioGRID & RBP census
Prp39,1,BioGRID & RBP census
Snu71,1,BioGRID & RBP census
Cdc33,1,BioGRID & RBP census
Hmo1,1,RBP census
Thp2,1,BioGRID & RBP census
Hsh155,1,BioGRID & RBP census
Mud1,1,BioGRID & RBP census
Nop13,1,RBP census
Rbg1,1,None
Sbp1,1,BioGRID & RBP census
Prp21,1,BioGRID
Sro9,1,BioGRID & RBP census
Nam7,1,BioGRID & RBP census
Luc7,1,BioGRID
Mgm101,1,RBP census
Scp160,1,BioGRID & RBP census
Prp42,1,BioGRID & RBP census
Tma46,1,BioGRID & RBP census
Smd1,1,BioGRID
Rrp7,1,None
Rpa43,1,None
Vma8,1,RBP census
Tif4632,1,BioGRID & RBP census
Ubp3,1,BioGRID & RBP census
Dbp2,1,BioGRID & RBP census
Yra1,1,BioGRID & RBP census
Prp19,1,BioGRID & RBP census
Hho1,1,None
Utp22,1,None
Snu114,1,BioGRID & RBP census
Nam8,1,BioGRID & RBP census
Bre5,1,BioGRID & RBP census
Rsm7,1,None
Nop10,1,BioGRID
Bfr1,1,BioGRID & RBP census
Hrb1,1,BioGRID & RBP census
Nop6,1,BioGRID & RBP census
Cdc60,1,RBP census
Cef1,1,BioGRID
Sxm1,1,RBP census
Prp46,1,BioGRID
Trm1,1,RBP census
Sec4,1,RBP census
Smb1,1,BioGRID & RBP census
Brr2,1,BioGRID & RBP census
Yml6,1,None
Mrpl1,1,None
Prp3,1,BioGRID
Prp38,1,BioGRID
Mss116,1,RBP census
Imp4,1,RBP census
Nop4,1,RBP census
Smd2,1,BioGRID & RBP census
Gly1,1,RBP census
Prp24,1,BioGRID & RBP census
Snu23,1,None
Prp4,1,BioGRID & RBP census
Stm1,1,RBP census
Kri1,1,RBP census
Ape3,1,RBP census
Dps1,1,RBP census
Pre8,1,None
Nop12,1,RBP census
Rli1,1,RBP census
Mrpl11,1,None
Dib1,1,None
Fas1,1,RBP census
Prp8,1,BioGRID & RBP census
Ura5,1,RBP census
Smd3,1,BioGRID & RBP census
Whi3,1,RBP census
Brr1,1,BioGRID
Mdj1,1,None
Yra2,1,BioGRID & RBP census
Gcv1,1,None
Tho2,1,BioGRID & RBP census
Yhc1,1,BioGRID & RBP census
Mft1,1,BioGRID & RBP census
Hpr1,1,BioGRID & RBP census
Snp1,1,BioGRID
Pap2,1,BioGRID & RBP census
Esf1,1,RBP census
Hek2,1,BioGRID & RBP census
Nit3,1,None
Snu56,1,BioGRID & RBP census
Erg5,1,None
Tex1,1,BioGRID & RBP census
Pat1,1,BioGRID & RBP census
Cwc15,1,BioGRID & RBP census
Air2,1,BioGRID & RBP census
Nrd1,1,BioGRID & RBP census
Nab3,1,BioGRID & RBP census
Rcn2,1,None
Mri1,1,RBP census
Lhp1,1,BioGRID & RBP census
Nif3,1,None
She2,1,RBP census
Grx3,1,None
Prp9,1,BioGRID & RBP census
Tpd3,1,None
Gpp2,1,RBP census
Prs5,1,RBP census
