"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0016071","mRNA metabolic process","19/43","71/692",1.8468913775696e-09,3.88635794381267e-07,3.68283296421151e-07,"PAB1/RSE1/CUS1/XRN1/PRP40/PRP39/SNU71/CDC33/HSH155/MUD1/PRP21/NAM7/LUC7/PRP42/SMD1/DBP2/PRP19/SNU114/NAM8",19
"GO:0000398","mRNA splicing, via spliceosome","14/43","37/692",3.19148065486675e-09,3.88635794381267e-07,3.68283296421151e-07,"RSE1/CUS1/PRP40/PRP39/SNU71/HSH155/MUD1/PRP21/LUC7/PRP42/SMD1/PRP19/SNU114/NAM8",14
"GO:0000375","RNA splicing, via transesterification reactions","14/43","38/692",4.84583284764672e-09,3.88635794381267e-07,3.68283296421151e-07,"RSE1/CUS1/PRP40/PRP39/SNU71/HSH155/MUD1/PRP21/LUC7/PRP42/SMD1/PRP19/SNU114/NAM8",14
"GO:0000377","RNA splicing, via transesterification reactions with bulged adenosine as nucleophile","14/43","38/692",4.84583284764672e-09,3.88635794381267e-07,3.68283296421151e-07,"RSE1/CUS1/PRP40/PRP39/SNU71/HSH155/MUD1/PRP21/LUC7/PRP42/SMD1/PRP19/SNU114/NAM8",14
"GO:0008380","RNA splicing","14/43","38/692",4.84583284764672e-09,3.88635794381267e-07,3.68283296421151e-07,"RSE1/CUS1/PRP40/PRP39/SNU71/HSH155/MUD1/PRP21/LUC7/PRP42/SMD1/PRP19/SNU114/NAM8",14
"GO:0006397","mRNA processing","15/43","50/692",3.16204714549539e-08,2.11330150890608e-06,2.00262985881375e-06,"PAB1/RSE1/CUS1/PRP40/PRP39/SNU71/HSH155/MUD1/PRP21/LUC7/PRP42/SMD1/PRP19/SNU114/NAM8",15
"GO:0000245","spliceosomal complex assembly","7/43","11/692",6.02224615757437e-07,3.44988672741046e-05,3.26921934268323e-05,"RSE1/CUS1/PRP39/HSH155/LUC7/PRP42/NAM8",7
"GO:0022618","ribonucleoprotein complex assembly","17/43","85/692",2.18532762460747e-06,0.00010953954718345,0.000103803062168855,"RSE1/CUS1/RRP5/PRP39/CDC33/HSH155/NOP13/LUC7/PRP42/SMD1/RRP7/TIF4632/DBP2/PRP19/SNU114/NAM8/RSM7",17
"GO:0071826","ribonucleoprotein complex subunit organization","17/43","89/692",4.40789524351399e-06,0.000196396221405456,0.000186111132503924,"RSE1/CUS1/RRP5/PRP39/CDC33/HSH155/NOP13/LUC7/PRP42/SMD1/RRP7/TIF4632/DBP2/PRP19/SNU114/NAM8/RSM7",17
"GO:0043170","macromolecule metabolic process","40/43","470/692",6.08133706399702e-05,0.00231902870827103,0.00219758331457105,"PAB1/RSE1/CUS1/XRN1/PRP40/RRP5/PRP39/SNU71/CDC33/HMO1/THP2/HSH155/MUD1/NOP13/RBG1/SBP1/PRP21/SRO9/NAM7/LUC7/MGM101/SCP160/PRP42/TMA46/SMD1/RRP7/RPA43/TIF4632/UBP3/DBP2/YRA1/PRP19/HHO1/UTP22/SNU114/NAM8/BRE5/RSM7/NOP10/BFR1",40
