"Protein.IDs","my_label","Gene.names","difference_RNase_WT","log10.pvalue_RNase_WT","log2.LFQ.intensity.RNase_01","log2.LFQ.intensity.RNase_02","log2.LFQ.intensity.RNase_03","log2.LFQ.intensity.RNase_04","imputed.log2.LFQ.intensity.RNase_01","imputed.log2.LFQ.intensity.RNase_02","imputed.log2.LFQ.intensity.RNase_03","imputed.log2.LFQ.intensity.RNase_04","value_count_RNase","log2.LFQ.intensity.WT_01","log2.LFQ.intensity.WT_02","log2.LFQ.intensity.WT_03","log2.LFQ.intensity.WT_04","imputed.log2.LFQ.intensity.WT_01","imputed.log2.LFQ.intensity.WT_02","imputed.log2.LFQ.intensity.WT_03","imputed.log2.LFQ.intensity.WT_04","value_count_WT"
"YOR136W","IDH2","IDH2",2.69610784825858,3.00946910328386,23.7633444941044,24.1519759199303,23.6500945957864,24.142269131954,23.7633444941044,24.1519759199303,23.6500945957864,24.142269131954,4,NA,NA,NA,NA,21.7287126078876,20.3929910359609,21.2723274979507,21.5292216069415,0
"YFL022C","FRS2","FRS2",2.8055809415552,2.89768728358026,24.4099580032264,23.9458345838557,25.2045621894637,24.5060939809273,24.4099580032264,23.9458345838557,25.2045621894637,24.5060939809273,4,NA,NA,22.6312978627108,NA,21.9689582614418,20.9473288332531,22.6312978627108,21.2965400338465,1
"YKL103C","APE1","APE1",2.26312506355913,2.79840518157808,23.383636799548,23.8299704293164,22.9329384790089,24.2699929841077,23.383636799548,23.8299704293164,22.9329384790089,24.2699929841077,4,NA,NA,NA,NA,22.2129801860883,20.9117532357465,21.2439673410079,20.9953376749018,0
"YMR079W","SEC14","SEC14",2.50059223787378,2.79753671240005,23.6266715549647,23.3263570661428,24.9223873199951,23.7752509831995,23.6266715549647,23.3263570661428,24.9223873199951,23.7752509831995,4,NA,NA,NA,NA,22.189654194632,21.2556219145145,21.2011441413942,21.0018777222662,0
"YMR189W","GCV2","GCV2",2.25493710030634,2.67734130781193,23.56267285169,23.7981798695952,22.8547748097771,23.3042421277929,23.56267285169,23.7981798695952,22.8547748097771,23.3042421277929,4,NA,NA,NA,NA,21.7918788712459,20.3762227037001,20.7861538961673,21.5458657865166,0
"YJL014W","CCT3","CCT3",2.35964234185548,2.58354790119786,23.8218206844812,23.3098027245434,24.2882054039537,23.7623309384628,23.8218206844812,23.3098027245434,24.2882054039537,23.7623309384628,4,NA,NA,NA,NA,22.1416912235637,21.9005369007,21.0920847069174,20.6092775528381,0
"YJL111W","CCT7","CCT7",1.74290977002603,2.58023553862965,22.382370722204,22.8084096254295,23.2790925000942,22.8005713339994,22.382370722204,22.8084096254295,23.2790925000942,22.8005713339994,4,NA,NA,NA,NA,21.7647476782934,21.2278865323146,20.7565787959171,20.5495920950979,0
"YLR208W","SEC13","SEC13",2.3789693242178,2.57101119390065,23.5158095421279,22.8549649934154,23.9004887477788,23.3185174341599,23.5158095421279,22.8549649934154,23.9004887477788,23.3185174341599,4,NA,NA,NA,NA,21.7476788860022,20.2919645841829,20.4985642036516,21.5356957467741,0
"YFR052W","RPN12","RPN12",1.87049356594252,2.42256202103738,22.8730880931062,23.1621558812041,22.8333526155622,23.2121389254522,22.8730880931062,23.1621558812041,22.8333526155622,23.2121389254522,4,NA,NA,NA,NA,21.7106988805226,21.3892790270539,20.4246659582954,21.0741173856826,0
"YMR226C","YMR226C","YMR226C",2.22740247887488,2.39754675235437,23.4440483162438,23.0479499621636,24.726244357311,23.2685659859292,23.4440483162438,23.0479499621636,24.726244357311,23.2685659859292,4,NA,NA,NA,NA,21.9592814358305,21.8121960706092,20.7633403012267,21.0423808984817,0
"YGR178C","PBP1","PBP1",2.10118741326384,2.27292880748035,24.1194154787637,23.6540345937953,22.3347544729895,23.5011811769739,24.1194154787637,23.6540345937953,22.3347544729895,23.5011811769739,4,NA,NA,NA,NA,22.1034366387713,20.9937297709761,20.7904332197624,21.3170364399572,0
"YOR317W","FAA1","FAA1",2.08524246626033,2.27244797367306,22.9767668762861,23.5071229426329,23.0669556816856,22.9742304150614,22.9767668762861,23.5071229426329,23.0669556816856,22.9742304150614,4,NA,NA,NA,NA,21.8881384434021,20.5635358579602,21.3107265887127,20.4217051605497,0
"YOR142W","LSC1","LSC1",2.27604923121064,2.23162552278784,23.3318332353327,23.4321157067449,23.2958608394595,23.6203084373387,23.3318332353327,23.4321157067449,23.2958608394595,23.6203084373387,4,NA,NA,NA,NA,22.0647207843232,20.6360462097662,20.5855638816847,21.2895904182592,0
"YDL195W","SEC31","SEC31",1.50911374747651,2.19211521544213,22.9398761680163,22.8215482318538,23.195894810917,23.0260749080057,22.9398761680163,22.8215482318538,23.195894810917,23.0260749080057,4,NA,NA,NA,NA,22.0185788201467,21.3129335154396,20.8698065871761,21.7456202061244,0
"YCL040W","GLK1","GLK1",1.84919913738141,1.95462829348953,22.6532693253132,22.6638377688256,24.0752885004191,22.4689640435012,22.6532693253132,22.6638377688256,24.0752885004191,22.4689640435012,4,NA,NA,NA,NA,22.0166354626192,20.3521233310191,21.205457572891,20.8903467220042,0
"YJL052W","TDH1","TDH1",2.71025586479875,1.86861198141646,24.365462753815,24.1785846190915,25.4153198671569,24.367930324809,24.365462753815,24.1785846190915,25.4153198671569,24.367930324809,4,NA,NA,23.526236542329,NA,22.0111075299653,21.0470197894415,23.526236542329,20.9019102439416,1
"YMR307W","GAS1","GAS1",1.38002342701062,1.84571509735507,22.5507937473481,22.4961418482849,22.6835249593429,22.3450814166174,22.5507937473481,22.4961418482849,22.6835249593429,22.3450814166174,4,NA,NA,NA,NA,21.9204993497437,20.5435054487044,21.0679407328667,21.0235027322361,0
"YBL047C","EDE1","EDE1",1.54233049809875,1.81927508863608,22.7827679079175,23.0291288033225,21.9927572025916,22.6734453846986,22.7827679079175,23.0291288033225,21.9927572025916,22.6734453846986,4,NA,NA,NA,NA,21.9725199307621,20.2256744943556,20.9045752448466,21.2060076361708,0
"YDL147W","RPN5","RPN5",1.13737993898999,1.80194318669619,22.992739917665,NA,22.4988706268297,22.9274871881646,22.992739917665,22.0128835857941,22.4988706268297,22.9274871881646,3,NA,NA,NA,NA,21.985273846774,20.7718271108652,21.5646450626663,21.5607155421879,0
"YDR127W","ARO1","ARO1",2.09674540837957,1.75484283865825,23.2243061537421,22.7054383366879,25.0235645274753,23.1807104726045,23.2243061537421,22.7054383366879,25.0235645274753,23.1807104726045,4,NA,NA,NA,NA,22.0699724718823,21.5217416738693,20.7254484019109,21.4298753093292,0
"YFL038C","YPT1","YPT1",1.14584409921979,1.74146149364243,22.9107525092961,NA,22.6115102573925,22.5166032029941,22.9107525092961,21.8548165018386,22.6115102573925,22.5166032029941,3,NA,NA,NA,NA,22.1038058746887,20.8542255431435,21.0977592360981,21.2545154207118,0
"YIL034C","CAP2","CAP2",1.22170014650476,1.68919544500518,22.5395734627112,22.4991383537235,22.2403371582576,22.5693179084785,22.5395734627112,22.4991383537235,22.2403371582576,22.5693179084785,4,NA,NA,NA,NA,22.0505861761955,21.2213979725222,20.7294524640529,20.9601296843811,0
"YFR053C","HXK1","HXK1",1.73719635012781,1.46116507721773,24.4136423896161,23.6099785664684,25.9437125953656,24.016568241027,24.4136423896161,23.6099785664684,25.9437125953656,24.016568241027,4,22.0921338470058,23.237757884896,23.4363160658237,22.2689085942404,22.0921338470058,23.237757884896,23.4363160658237,22.2689085942404,4
"YHR216W;YAR073W;YAR075W","IMD2","IMD2",1.48252510112752,1.42927707886036,22.3262747651621,22.6274065273293,22.3540437932422,22.4911093280956,22.3262747651621,22.6274065273293,22.3540437932422,22.4911093280956,4,NA,NA,NA,NA,22.1254371491507,20.2284753826725,21.0399606099457,20.4748608675501,0
"YER003C","PMI40","PMI40",1.51943971113731,1.41217914509798,22.6288308619242,NA,24.0037601398496,22.2671661569661,22.6288308619242,21.8513104549712,24.0037601398496,22.2671661569661,3,NA,NA,NA,NA,21.8216148155491,21.046877358464,20.7432643529221,21.0615522422267,0
"YEL031W","SPF1","SPF1",2.13752258087202,1.40342544177916,24.7183740023031,NA,23.6645974532969,24.1393052766891,24.7183740023031,21.6962013232245,23.6645974532969,24.1393052766891,3,NA,NA,NA,NA,22.0153267811613,20.6982486606439,21.5386897349627,21.4161225552577,0
"YPL020C","ULP1","ULP1",-6.38492573438517,3.68060706978032,NA,NA,NA,NA,20.8889130779687,21.6995180426574,19.7515223779556,20.9878332000009,0,27.5563274776654,27.2522337534467,26.925922006183,27.1330063988282,27.5563274776654,27.2522337534467,26.925922006183,27.1330063988282,4
"YNL030W;YBR009C","HHF2","HHF2",-1.13831940920779,3.3171290937293,25.9222965730431,25.8151160760724,25.6448519695549,25.864314820321,25.9222965730431,25.8151160760724,25.6448519695549,25.864314820321,4,27.0097727597915,27.1588475637925,26.6275623824341,27.0036743698046,27.0097727597915,27.1588475637925,26.6275623824341,27.0036743698046,4
"YDL130W","RPP1B","RPP1B",-2.73506415314275,2.17763817166623,NA,NA,NA,NA,21.0670889739667,21.5461504634724,19.7045943137457,21.4187982821728,0,NA,24.3368121665472,23.9082071524975,24.2686373693705,22.1632319575133,24.3368121665472,23.9082071524975,24.2686373693705,3
"YLR185W","RPL37A","RPL37A",-2.52790158311952,1.81001891627658,NA,NA,NA,NA,20.7163826535029,22.0985763035344,19.4503108880145,21.2944736989692,0,22.938782014585,23.7959033101066,23.3919179746318,23.5447465771758,22.938782014585,23.7959033101066,23.3919179746318,23.5447465771758,4
"YGL078C","DBP3","DBP3",-1.15617649733924,1.79837648623292,NA,NA,21.562766000905,22.3171652653364,21.0181798958282,21.3654914748438,21.562766000905,22.3171652653364,2,22.5843074420938,22.7099664081669,23.2146754480082,22.3793593280014,22.5843074420938,22.7099664081669,23.2146754480082,22.3793593280014,4
"YDR225W;YBL003C","HTA1","HTA1",-1.24427936310388,1.74522781217436,25.3060864503705,25.6030317938603,24.5896086325806,25.2833382213483,25.3060864503705,25.6030317938603,24.5896086325806,25.2833382213483,4,25.5627310706542,26.6613932129611,26.9497130982679,26.585345168692,25.5627310706542,26.6613932129611,26.9497130982679,26.585345168692,4
"YDR101C","ARX1","ARX1",-2.14435864619863,1.64267127182184,NA,NA,NA,NA,21.0195267752749,21.7382211385756,19.2543548333252,21.5094031176411,0,NA,23.4817304637716,22.9490629487834,23.5221705887599,22.1459764482963,23.4817304637716,22.9490629487834,23.5221705887599,3
"YKL009W","MRT4","MRT4",-1.69616070487329,1.40594243311473,NA,NA,NA,NA,21.2395293798414,21.6575573153211,19.39917328426,21.1163433277121,0,22.3839267858524,22.8479114477556,22.3967855833273,22.5686223096925,22.3839267858524,22.8479114477556,22.3967855833273,22.5686223096925,4
