"Protein.IDs","my_label","Gene.names","difference_YKAF008_YKAF000","log10.pvalue_YKAF008_YKAF000","log2.LFQ.intensity.YKAF008_01","log2.LFQ.intensity.YKAF008_02","log2.LFQ.intensity.YKAF008_03","log2.LFQ.intensity.YKAF008_04","imputed.log2.LFQ.intensity.YKAF008_01","imputed.log2.LFQ.intensity.YKAF008_02","imputed.log2.LFQ.intensity.YKAF008_03","imputed.log2.LFQ.intensity.YKAF008_04","value_count_YKAF008","log2.LFQ.intensity.YKAF000_01","log2.LFQ.intensity.YKAF000_02","log2.LFQ.intensity.YKAF000_03","log2.LFQ.intensity.YKAF000_04","imputed.log2.LFQ.intensity.YKAF000_01","imputed.log2.LFQ.intensity.YKAF000_02","imputed.log2.LFQ.intensity.YKAF000_03","imputed.log2.LFQ.intensity.YKAF000_04","value_count_YKAF000"
"YHR047C","AAP1","AAP1",1.28371990656027,5.09577466022896,33.455620488042,33.3761952635269,33.6153308064987,33.5228571485703,33.455620488042,33.3761952635269,33.6153308064987,33.5228571485703,4,32.0964440780828,32.3195858546693,32.0927949488888,32.3262991987557,32.0964440780828,32.3195858546693,32.0927949488888,32.3262991987557,4
"YOL060C","MAM3","MAM3",1.9302936640867,1.57159623594749,27.9205372232345,27.5894229051399,27.9495461357787,27.7965594266559,27.9205372232345,27.5894229051399,27.9495461357787,27.7965594266559,4,NA,27.2882406135363,NA,NA,25.29061942394,27.2882406135363,25.173832031834,25.782198965152,1
"YEL001C","IRC22","IRC22",1.34649727370887,1.46826615249997,27.0395702157901,27.3004242037121,26.9673024363768,27.5129951432149,27.0395702157901,27.3004242037121,26.9673024363768,27.5129951432149,4,NA,NA,26.8121316610943,26.1577687980224,25.2576391799956,25.2067632651461,26.8121316610943,26.1577687980224,2
"R0020C","REP1","REP1",-4.39298077000874,4.28390426418297,NA,NA,NA,NA,24.3810167913758,24.5892213794186,24.4348806051408,25.6487583381706,0,30.02591021896,28.8941465106361,29.1224056238026,28.5833378407422,30.02591021896,28.8941465106361,29.1224056238026,28.5833378407422,4
"YOL148C","SPT20","SPT20",-2.0871930003468,3.51150075253424,NA,NA,NA,NA,25.1077081853019,24.768807854624,24.3802607440981,24.3291278098574,0,26.7844413509302,26.8908750590838,26.4704326061717,26.7889275790828,26.7844413509302,26.8908750590838,26.4704326061717,26.7889275790828,4
"R0040C","REP2","REP2",-3.68780894689525,3.15666434522596,NA,NA,NA,NA,24.900068048798,25.6383872358493,23.9657833827102,25.2901278733484,0,29.041921371651,28.3550627038976,28.6686130587182,28.4800051940202,29.041921371651,28.3550627038976,28.6686130587182,28.4800051940202,4
"YDR200C","VPS64","VPS64",-1.84982381008276,2.80461712162775,NA,NA,NA,NA,24.2353014884421,25.1656905856064,24.6383459171469,24.5396172132649,0,26.3504500084093,26.5752083386108,26.4969372597551,26.555654838016,26.3504500084093,26.5752083386108,26.4969372597551,26.555654838016,4
"YMR124W","EPO1","EPO1",-1.15299281917526,2.24271806760405,NA,NA,NA,NA,25.1113662059322,25.3838852216088,24.4227534138709,25.0026714701995,0,26.1726841733471,26.3809813750136,26.0056886190044,25.9732934209473,26.1726841733471,26.3809813750136,26.0056886190044,25.9732934209473,4
"YNR028W","CPR8","CPR8",-1.25486626704109,2.21843982889022,NA,NA,NA,NA,24.9939151769185,25.3381780595536,24.3947581396141,24.3881769566244,0,26.2426901804382,NA,25.9828536542449,26.2756158683676,26.2426901804382,25.6333336978244,25.9828536542449,26.2756158683676,3
"YDL229W","SSB1","SSB1",-1.24924097610084,2.14370000121699,30.6769067574812,29.9091347134462,30.7815209304344,30.9028965650843,30.6769067574812,29.9091347134462,30.7815209304344,30.9028965650843,4,31.6452987467309,31.9441581925915,31.6951544279317,31.9828115035953,31.6452987467309,31.9441581925915,31.6951544279317,31.9828115035953,4
"YAL014C","SYN8","SYN8",-1.27118861942458,1.94420097128552,NA,NA,NA,NA,25.1002534112362,25.3414052349593,24.8743962542367,24.3986352948809,0,NA,NA,26.8244452693849,26.4906167376038,25.6629569134507,25.8214257525722,26.8244452693849,26.4906167376038,2
"YOR052C","TMC1","TMC1",-1.70665806492992,1.81272138011886,NA,NA,NA,NA,24.3091852997484,24.6607813442636,24.5641468596406,24.6040157304964,0,26.5105525545642,NA,26.7986001452435,26.4687869698628,26.5105525545642,25.1868218241983,26.7986001452435,26.4687869698628,3
"YDL102W","POL3","POL3",-1.49929799080152,1.73746917841286,NA,NA,NA,NA,24.5651086552189,24.6934296500471,24.9268904560548,24.4580126563692,0,NA,26.4640725556487,26.6180690965074,26.4249437072607,25.1335480214792,26.4640725556487,26.6180690965074,26.4249437072607,3
"YPL022W","RAD1","RAD1",-2.40728567644697,1.67304824919336,NA,NA,NA,NA,24.9491669848294,24.9245789094589,24.4936135268908,24.1489413906308,0,27.2815353162954,27.9174105063275,NA,27.6310369157856,27.2815353162954,27.9174105063275,25.3154607791893,27.6310369157856,3
"YKL064W","MNR2","MNR2",-1.55812139301565,1.66389618525537,NA,NA,NA,NA,25.4896728170442,25.0597332681114,23.9773599357313,24.4170224484078,0,27.1537355519476,26.6956439707239,NA,NA,27.1537355519476,26.6956439707239,25.6435294955206,25.6833650231653,2
"YER146W","LSM5","LSM5",-1.88269286317841,1.58713541609303,NA,NA,NA,NA,25.3360589216389,24.8362483834276,24.1359172261347,25.0145130926577,0,NA,27.2012563173324,27.0252766242898,27.4243030433409,25.2026730916094,27.2012563173324,27.0252766242898,27.4243030433409,3
"YPL153C","RAD53","RAD53",-1.42701080063401,1.49953293334376,NA,NA,26.1166025503876,NA,24.3323781287533,24.491677938801,26.1166025503876,25.2751759867431,1,NA,26.8915705013923,26.7605301216415,26.5421357641816,25.7296414200057,26.8915705013923,26.7605301216415,26.5421357641816,3
