"Protein.IDs","my_label","Gene.names","difference_YKAF020_YKAF000","log10.pvalue_YKAF020_YKAF000","log2.LFQ.intensity.YKAF020_02","log2.LFQ.intensity.YKAF020_03","log2.LFQ.intensity.YKAF020_04","imputed.log2.LFQ.intensity.YKAF020_02","imputed.log2.LFQ.intensity.YKAF020_03","imputed.log2.LFQ.intensity.YKAF020_04","value_count_YKAF020","log2.LFQ.intensity.YKAF000_01","log2.LFQ.intensity.YKAF000_02","log2.LFQ.intensity.YKAF000_03","log2.LFQ.intensity.YKAF000_04","imputed.log2.LFQ.intensity.YKAF000_01","imputed.log2.LFQ.intensity.YKAF000_02","imputed.log2.LFQ.intensity.YKAF000_03","imputed.log2.LFQ.intensity.YKAF000_04","value_count_YKAF000"
"YLR001C","YLR001C","YLR001C",1.90454593505588,4.395571381009,25.5924344530068,25.8169965093125,25.5719002815858,25.5924344530068,25.8169965093125,25.5719002815858,3,NA,NA,NA,NA,23.9880587409407,23.5621328101329,23.56491265046,23.9084870501165,0
"YMR286W","MRPL33","MRPL33",1.85993410987425,3.9602453471787,25.8588250525151,26.0529363096668,25.6640548623541,25.8588250525151,26.0529363096668,25.6640548623541,3,NA,NA,NA,NA,24.0410779047272,24.3188479749688,23.9037348079157,23.731024505606,0
"YBL054W","TOD6","TOD6",2.35488694235488,3.95326903647255,26.1201079644825,26.2115412295165,26.5013938048082,26.1201079644825,26.2115412295165,26.5013938048082,3,NA,NA,NA,NA,23.5859608664853,23.9155261141125,24.3949469615497,23.7947422868425,0
"YHR094C","HXT1","HXT1",2.44414710880797,3.49399726016927,26.4423722896825,26.5002391625487,26.2307033061022,26.4423722896825,26.5002391625487,26.2307033061022,3,NA,NA,NA,NA,24.0183941733258,24.3597376498767,23.4252346172566,23.984464802087,0
"YIL098C","FMC1","FMC1",1.79500437062736,3.45340701787676,25.6862690433414,25.4458486649571,25.196405217792,25.6862690433414,25.4458486649571,25.196405217792,3,NA,NA,NA,NA,23.234041791832,23.77246393395,23.8213432629361,23.7634974302264,0
"YAL033W","POP5","POP5",1.88616742729937,3.41291693173301,25.7324167124402,25.357329970515,25.7876578968278,25.7324167124402,25.357329970515,25.7876578968278,3,NA,NA,NA,NA,23.2669546408524,23.6712275191871,23.9758544026516,24.0444998344889,0
"YGL044C","RNA15","RNA15",1.81596381204188,3.22748774164051,25.4260161823623,25.7488080803136,25.2523781420715,25.4260161823623,25.7488080803136,25.2523781420715,3,NA,NA,NA,NA,23.7990548573413,23.7604023498236,23.3469206130182,23.7327034713127,0
"YLR209C","PNP1","PNP1",1.04076766841195,2.96403581670606,27.9673574118951,27.6385825177592,27.7434248836167,27.9673574118951,27.6385825177592,27.7434248836167,3,26.6984287131537,26.4308882948765,26.8469699575846,26.9931287784321,26.6984287131537,26.4308882948765,26.8469699575846,26.9931287784321,4
"YMR022W","UBC7","UBC7",2.19658977519539,2.82413321155959,26.2646344474005,25.7332187343258,25.8353540313788,26.2646344474005,25.7332187343258,25.8353540313788,3,NA,NA,NA,NA,23.7578754602837,23.8623541619655,23.5338625182366,23.8371583762062,0
"YOL020W","TAT2","TAT2",1.04977636847538,2.73213919090578,25.1564577827941,24.9148814403913,25.160079452044,25.1564577827941,24.9148814403913,25.160079452044,3,NA,NA,NA,NA,24.4271227356819,24.0214333888422,23.8499165503851,23.8109800848284,0
"YJR005W","APL1","APL1",1.53386705273018,2.68863302775874,25.3749431510031,25.8268711906575,25.8978605932838,25.3749431510031,25.8268711906575,25.8978605932838,3,NA,NA,24.0840765176891,24.7505724697575,23.8035330133989,24.0259163681596,24.0840765176891,24.7505724697575,2
"YDR367W","KEI1","KEI1",2.07441935266683,2.34515909843197,28.0592534319037,27.911993800868,27.9378104823387,28.0592534319037,27.911993800868,27.9378104823387,3,26.7084621378462,25.8301397270758,25.5753093388788,25.467155005679,26.7084621378462,25.8301397270758,25.5753093388788,25.467155005679,4
"YJL085W","EXO70","EXO70",1.47995911004094,2.17521510815147,25.8873695669107,25.8434278966814,25.2777454127036,25.8873695669107,25.8434278966814,25.2777454127036,3,24.8869743748666,NA,NA,NA,24.8869743748666,24.0668911184326,23.6004891144872,24.2038661204439,1
"YBR192W","RIM2","RIM2",1.41263707020861,1.76495673160836,24.6594890238874,25.5456010710723,25.3999237999803,24.6594890238874,25.5456010710723,25.3999237999803,3,NA,NA,NA,NA,23.4188613092689,23.6883644432364,23.8906462270671,24.1582649328465,0
"YKL092C","BUD2","BUD2",1.87536853587122,1.68282457893503,25.822355709535,26.1812224868862,26.4197943418918,25.822355709535,26.1812224868862,26.4197943418918,3,NA,25.6118929261682,NA,NA,24.088332746833,25.6118929261682,23.7656457630219,23.5971511382425,1
"YPL120W","VPS30","VPS30",1.45014622903766,1.51875912899443,25.5368851036438,25.7226011860798,25.4820075469314,25.5368851036438,25.7226011860798,25.4820075469314,3,NA,NA,NA,25.2800134672758,23.8114111529631,23.7436855165753,23.6862967292419,25.2800134672758,1
"YPR184W","GDB1","GDB1",-1.88869380988152,8.34571210419993,NA,NA,NA,23.7086405780213,23.6794904931841,23.6662820648977,0,25.56505790482,25.62472095005,25.5555231979167,25.5486907015435,25.56505790482,25.62472095005,25.5555231979167,25.5486907015435,4
"YHR215W;YAR071W","PHO12","PHO12",-2.11751237315946,6.65802724654957,27.6717540892996,27.7056967136178,27.7893629969957,27.6717540892996,27.7056967136178,27.7893629969957,3,29.8043203912785,29.8306837639275,29.9597509177847,29.7643794861978,29.8043203912785,29.8306837639275,29.9597509177847,29.7643794861978,4
"YMR105C","PGM2","PGM2",-1.54835562487856,5.18031926342262,30.1186731607433,30.0154467433731,30.1967147516378,30.1186731607433,30.0154467433731,30.1967147516378,3,31.5498622941699,31.6324850610031,31.819702957677,31.6324850610031,31.5498622941699,31.6324850610031,31.819702957677,31.6324850610031,4
"YOL018C","TLG2","TLG2",-3.15741118167071,4.95979896905516,NA,NA,NA,23.2976817699675,23.4740011962102,23.5911969664292,0,26.7071459302548,26.8050126818395,26.7305263172246,26.2041330408397,26.7071459302548,26.8050126818395,26.7305263172246,26.2041330408397,4
"YFR053C","HXK1","HXK1",-1.26688921701908,4.88203027121091,32.3084536430717,32.329350143827,32.3454344599424,32.3084536430717,32.329350143827,32.3454344599424,3,33.604435845758,33.503439694743,33.6739832770373,33.5966823796594,33.604435845758,33.503439694743,33.6739832770373,33.5966823796594,4
"YJL052W","TDH1","TDH1",-1.77801699334789,4.56017452440688,31.1875413113238,31.3385175881154,31.0650319158476,31.1875413113238,31.3385175881154,31.0650319158476,3,33.2464350003774,32.8715333812364,32.9364912478932,32.8457294309336,33.2464350003774,32.8715333812364,32.9364912478932,32.8457294309336,4
"YGR256W","GND2","GND2",-1.95831098101202,4.55819451557237,NA,NA,NA,23.8419387988474,23.8040022301383,24.0265983063749,0,25.8131353091343,25.9718911719134,25.8693602029431,25.7422430205381,25.8131353091343,25.9718911719134,25.8693602029431,25.7422430205381,4
"YNR034W-A","YNR034W-A","YNR034W-A",-2.20336445847115,4.52314641674348,NA,NA,NA,23.5549536254247,23.8111853861919,23.8948669807292,0,26.010221096779,25.7431423522518,25.8573544152411,26.2174146260736,26.010221096779,25.7431423522518,25.8573544152411,26.2174146260736,4
"YGR248W","SOL4","SOL4",-2.55870934061778,4.41369372857636,NA,NA,NA,24.0070004361714,23.6706713665008,23.6715452189675,0,26.252522516247,26.5942013442781,26.1846123639693,26.335790500163,26.252522516247,26.5942013442781,26.1846123639693,26.335790500163,4
"YML100W","TSL1","TSL1",-1.15812458133187,4.39353066168975,28.513032805101,28.6889252404653,28.5301422071072,28.513032805101,28.6889252404653,28.5301422071072,3,29.8778900464313,29.6416517526507,29.6835644458946,29.7388590839155,29.8778900464313,29.6416517526507,29.6835644458946,29.7388590839155,4
"YJL102W","MEF2","MEF2",-1.06546241195753,4.34591581832115,NA,NA,NA,23.8129438844169,23.8283156474945,23.9642488927281,0,24.745247165246,25.0187767948652,25.0096232831621,24.9622136374094,24.745247165246,25.0187767948652,25.0096232831621,24.9622136374094,4
"YBL015W","ACH1","ACH1",-1.14659288825725,4.11874908989662,28.1655237175517,28.3165681140542,28.3220814952562,28.1655237175517,28.3165681140542,28.3220814952562,3,29.2601088687496,29.4616627276785,29.6083366697363,29.3284943893474,29.2601088687496,29.4616627276785,29.6083366697363,29.3284943893474,4
"YML128C","MSC1","MSC1",-1.18944795805633,4.07224812423742,28.2779936549098,28.444111524421,28.2328818436724,28.2779936549098,28.444111524421,28.2328818436724,3,29.5841446921143,29.595909181164,29.4830653611439,29.3679886284741,29.5841446921143,29.595909181164,29.4830653611439,29.3679886284741,4
"YBR093C","PHO5","PHO5",-1.96543492814217,3.95042762217052,26.0738186123236,26.3608665030482,25.9601156212438,26.0738186123236,26.3608665030482,25.9601156212438,3,27.9614631189875,28.4910986213948,27.9454774148148,27.9901015395258,27.9614631189875,28.4910986213948,27.9454774148148,27.9901015395258,4
"YPL110C","GDE1","GDE1",-1.68066354005611,3.8915281841573,NA,NA,23.4467006781954,23.4313874695365,23.4481294592204,23.4467006781954,1,25.1303770013745,25.2859502014375,25.1166025503876,24.958014549628,25.1303770013745,25.2859502014375,25.1166025503876,24.958014549628,4
"YBR264C","YPT10","YPT10",-2.6451932225398,3.68043864255688,NA,NA,NA,23.5270496631879,23.7952558912225,23.4028403322443,0,26.3472934391839,26.27944678782,26.063404956595,26.1908222220999,26.3472934391839,26.27944678782,26.063404956595,26.1908222220999,4
"YLR258W","GSY2","GSY2",-1.40901217901998,3.66970596323463,27.9196283315773,28.0810108619007,28.0646080037066,27.9196283315773,28.0810108619007,28.0646080037066,3,29.537973782022,29.5613805137064,29.5118648292131,29.1118258540513,29.537973782022,29.5613805137064,29.5118648292131,29.1118258540513,4
"YHR167W","THP2","THP2",-4.37898282109152,3.57586443785525,NA,NA,NA,23.9416209702842,23.679931782242,23.4188765035234,0,28.0037279766802,27.9204236430864,28.1914530360597,28.1208989699391,28.0037279766802,27.9204236430864,28.1914530360597,28.1208989699391,4
"YLR201C","COQ9","COQ9",-2.49558855348279,3.53580587961987,NA,NA,NA,24.0380684118514,24.0871943918323,24.0519885055846,0,26.8934233769603,26.3510568982098,26.3336255835579,26.6405834342274,26.8934233769603,26.3510568982098,26.3336255835579,26.6405834342274,4
"YIL136W","OM45","OM45",-1.79780781795078,3.43533452061705,27.0888144366957,27.0990870730594,27.3279164679863,27.0888144366957,27.0990870730594,27.3279164679863,3,29.010573263839,29.0453367765651,28.9007536029755,28.9223249320788,29.010573263839,29.0453367765651,28.9007536029755,28.9223249320788,4
"YHR123W","EPT1","EPT1",-1.58598369174547,3.38456163484971,NA,NA,NA,23.691039538126,23.5791419193606,24.002516843925,0,25.742808380198,25.2853152900379,25.2583935074264,25.0876819912017,25.742808380198,25.2853152900379,25.2583935074264,25.0876819912017,4
"YLR178C","TFS1","TFS1",-1.13719460289538,3.36263602049486,27.7186222348748,27.8586946533347,27.5672504177966,27.7186222348748,27.8586946533347,27.5672504177966,3,28.9293125953838,28.6904246984511,28.8267802921891,28.9616839002322,28.9293125953838,28.6904246984511,28.8267802921891,28.9616839002322,4
"YOR120W","GCY1","GCY1",-5.81886312681951,3.28112021750998,NA,NA,NA,23.7848298571378,23.6306815968736,23.2304814227941,0,29.2750874322255,29.3695286576586,29.3936208881206,29.4318726983471,29.2750874322255,29.3695286576586,29.3936208881206,29.4318726983471,4
"YDR116C","MRPL1","MRPL1",-3.23059586844091,2.98147420759181,NA,NA,NA,23.2972886117967,23.9399028417433,23.3763958982676,0,26.6383753679217,26.8713828268197,26.964330643138,26.5997444382943,26.6383753679217,26.8713828268197,26.964330643138,26.5997444382943,4
"YIL148W;YKR094C;YLL039C","RPL40A","RPL40A",-1.32431710702739,2.83667362734323,29.4859847476984,29.1657393365956,29.0952937112846,29.4859847476984,29.1657393365956,29.0952937112846,3,30.9162718361493,30.1544841947597,30.7585142197397,30.4640219048991,30.9162718361493,30.1544841947597,30.7585142197397,30.4640219048991,4
