KEGG,General_Function
Aminoacyl-tRNA biosynthesis,RNA pathway
Endocytosis,Other
mRNA surveillance pathway,RNA pathway
Inositol phosphate metabolism,Metabolic pathway
Phosphatidylinositol signaling system,Other
Starch and sucrose metabolism,Metabolic pathway
Carbon metabolism,Metabolic pathway
Glycolysis / Gluconeogenesis,Metabolic pathway
Biosynthesis of secondary metabolites,Synthesis pathway
Galactose metabolism,Metabolic pathway
Glycerolipid metabolism,Metabolic pathway
Biosynthesis of nucleotide sugars,Synthesis pathway
2-Oxocarboxylic acid metabolism,Metabolic pathway
Nucleotide excision repair,Other
Thiamine metabolism,Metabolic pathway
Riboflavin metabolism,Metabolic pathway
MAPK signaling pathway - yeast,Other
Cell cycle - yeast,Other
Meiosis - yeast,Other
Glyoxylate and dicarboxylate metabolism,Metabolic pathway
Pyruvate metabolism,Metabolic pathway
Arginine biosynthesis,Synthesis pathway
Biosynthesis of amino acids,Synthesis pathway
Ribosome,RNA pathway
Selenocompound metabolism,Metabolic pathway
Ubiquitin mediated proteolysis,Other
