"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0003968","RNA-directed 5'-3' RNA polymerase activity","12/34","12/653",4.83720847412074e-17,3.48279010136693e-15,2.80048911659622e-15,"RPB4/RPB10/RPB7/RPB11/RPB2/RPB3/RPO26/RPC10/RPO21/RPB5/RPB8/RPB9",12
"GO:0003899","DNA-directed 5'-3' RNA polymerase activity","12/34","20/653",4.70445079706614e-12,8.46801143471906e-11,6.80907352206942e-11,"RPB4/RPB10/RPB7/RPB11/RPB2/RPB3/RPO26/RPC10/RPO21/RPB5/RPB8/RPB9",12
"GO:0034062","5'-3' RNA polymerase activity","12/34","20/653",4.70445079706614e-12,8.46801143471906e-11,6.80907352206942e-11,"RPB4/RPB10/RPB7/RPB11/RPB2/RPB3/RPO26/RPC10/RPO21/RPB5/RPB8/RPB9",12
"GO:0097747","RNA polymerase activity","12/34","20/653",4.70445079706614e-12,8.46801143471906e-11,6.80907352206942e-11,"RPB4/RPB10/RPB7/RPB11/RPB2/RPB3/RPO26/RPC10/RPO21/RPB5/RPB8/RPB9",12
"GO:0016779","nucleotidyltransferase activity","12/34","24/653",8.86474963875542e-11,1.27652394798078e-09,1.02644469501379e-09,"RPB4/RPB10/RPB7/RPB11/RPB2/RPB3/RPO26/RPC10/RPO21/RPB5/RPB8/RPB9",12
"GO:0003677","DNA binding","17/34","59/653",1.31691852562372e-10,1.58030223074847e-09,1.27071085805798e-09,"RPB4/RPB10/TFG1/RPB7/RPB11/RPB2/RPB3/RPO26/RPC10/RPO21/TFG2/RPB5/RPB8/SPT5/HHF2/HHF1/NET1",17
"GO:0016772","transferase activity, transferring phosphorus-containing groups","13/34","47/653",7.96838133806643e-08,8.1960493762969e-07,6.59039058035569e-07,"RPB4/RPB10/RPB7/RPB11/RPB2/RPB3/RPO26/RPC10/RPO21/RPB5/RPB8/HOG1/RPB9",13
"GO:0140098","catalytic activity, acting on RNA","13/34","52/653",3.058132274297e-07,2.7523190468673e-06,2.21312204060967e-06,"RPB4/RPB10/RPB7/RPB11/RPB2/RPB3/RPO26/RPC10/RPO21/RPB5/RPB8/DBP9/RPB9",13
"GO:0003676","nucleic acid binding","24/34","246/653",6.63564359319799e-05,0.000490984178543522,0.000394797219589089,"RPB4/RPB10/TFG1/RPB7/RPB11/RPB2/RPB3/RPO26/RPC10/RPO21/TFG2/RPB5/RPB8/RPS13/KRE33/SPT5/ERB1/HHF2/HHF1/DBP9/RPL5/RLP7/NET1/RPB9",24
"GO:0016740","transferase activity","14/34","93/653",6.81922470199336e-05,0.000490984178543522,0.000394797219589089,"RPB4/RPB10/RPB7/RPB11/RPB2/RPB3/RPO26/RPC10/RPO21/RPB5/RPB8/KRE33/HOG1/RPB9",14
"GO:0001054","RNA polymerase I activity","5/34","11/653",0.00010502225047206,0.000687418366726212,0.000552748686695054,"RPB10/RPO26/RPC10/RPB5/RPB8",5
"GO:0046983","protein dimerization activity","4/34","14/653",0.00424544730263079,0.0254726838157848,0.0204824211969029,"RPB11/RPB3/HHF2/HHF1",4
"GO:0005515","protein binding","15/34","153/653",0.00504748497144532,0.0279553013803126,0.0224786780104852,"RPB4/TFG1/RPB7/RPB11/RPB3/TFG2/SPT5/SEC7/TAF14/HHF2/HHF1/SEC27/HOG1/RTR1/AHA1",15
"GO:0008047","enzyme activator activity","4/34","16/653",0.00716112193950816,0.0368286271174705,0.0296136621558608,"TFG1/CDC39/NET1/AHA1",4
