"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"R-SCE-674695","RNA Polymerase II Pre-transcription Events","17/18","17/372",1.85475383002755e-28,3.24581920254821e-27,4.88093113165144e-28,"854791/853301/852013/854385/854157/856317/854322/853098/852810/856547/852451/852888/851415/854399/854999/853011/855974",17
"R-SCE-75955","RNA Polymerase II Transcription Elongation","17/18","17/372",1.85475383002755e-28,3.24581920254821e-27,4.88093113165144e-28,"854791/853301/852013/854385/854157/856317/854322/853098/852810/856547/852451/852888/851415/854399/854999/853011/855974",17
"R-SCE-73857","RNA Polymerase II Transcription","17/18","20/372",2.09754371870751e-25,2.44713433849209e-24,3.67990126089036e-25,"854791/853301/852013/854385/854157/856317/854322/853098/852810/856547/852451/852888/851415/854399/854999/853011/855974",17
"R-SCE-113418","Formation of the Early Elongation Complex","15/18","15/372",3.92873956276436e-24,1.96436978138218e-23,2.95393952087546e-24,"854791/853301/852013/854385/854157/856317/854322/853098/852810/856547/852451/852888/851415/854399/854999",15
"R-SCE-6796648","TP53 Regulates Transcription of DNA Repair Genes","15/18","15/372",3.92873956276436e-24,1.96436978138218e-23,2.95393952087546e-24,"854791/853301/852013/854385/854157/856317/854322/853098/852810/856547/852451/852888/851415/854399/854999",15
"R-SCE-72086","mRNA Capping","15/18","15/372",3.92873956276436e-24,1.96436978138218e-23,2.95393952087546e-24,"854791/853301/852013/854385/854157/856317/854322/853098/852810/856547/852451/852888/851415/854399/854999",15
"R-SCE-77075","RNA Pol II CTD phosphorylation and interaction with CE","15/18","15/372",3.92873956276436e-24,1.96436978138218e-23,2.95393952087546e-24,"854791/853301/852013/854385/854157/856317/854322/853098/852810/856547/852451/852888/851415/854399/854999",15
"R-SCE-6807505","RNA polymerase II transcribes snRNA genes","14/18","14/372",3.5162219086741e-22,1.02556472336328e-21,1.54220259152373e-22,"854791/853301/852013/854385/854157/856317/854322/853098/852810/856547/852451/852888/851415/854399",14
"R-SCE-73776","RNA Polymerase II Promoter Escape","14/18","14/372",3.5162219086741e-22,1.02556472336328e-21,1.54220259152373e-22,"854791/853301/852013/854385/854157/856317/854322/853098/852810/856547/852451/852888/851415/854399",14
"R-SCE-73779","RNA Polymerase II Transcription Pre-Initiation And Promoter Opening","14/18","14/372",3.5162219086741e-22,1.02556472336328e-21,1.54220259152373e-22,"854791/853301/852013/854385/854157/856317/854322/853098/852810/856547/852451/852888/851415/854399",14
"R-SCE-75953","RNA Polymerase II Transcription Initiation","14/18","14/372",3.5162219086741e-22,1.02556472336328e-21,1.54220259152373e-22,"854791/853301/852013/854385/854157/856317/854322/853098/852810/856547/852451/852888/851415/854399",14
"R-SCE-76042","RNA Polymerase II Transcription Initiation And Promoter Clearance","14/18","14/372",3.5162219086741e-22,1.02556472336328e-21,1.54220259152373e-22,"854791/853301/852013/854385/854157/856317/854322/853098/852810/856547/852451/852888/851415/854399",14
"R-SCE-212436","Generic Transcription Pathway","15/18","18/372",3.1304832060558e-21,7.8262080151395e-21,1.17687338573526e-21,"854791/853301/852013/854385/854157/856317/854322/853098/852810/856547/852451/852888/851415/854399/854999",15
"R-SCE-3700989","Transcriptional Regulation by TP53","15/18","18/372",3.1304832060558e-21,7.8262080151395e-21,1.17687338573526e-21,"854791/853301/852013/854385/854157/856317/854322/853098/852810/856547/852451/852888/851415/854399/854999",15
"R-SCE-74160","Gene expression (Transcription)","17/18","35/372",8.01304786059766e-19,1.86971116747279e-18,2.81159574056058e-19,"854791/853301/852013/854385/854157/856317/854322/853098/852810/856547/852451/852888/851415/854399/854999/853011/855974",17
"R-SCE-6781823","Formation of TC-NER Pre-Incision Complex","12/18","12/372",1.5147883982568e-18,3.11868199641106e-18,4.68974736302415e-19,"854791/853301/852013/854385/854157/856317/854322/852810/856547/852451/851415/854399",12
"R-SCE-6782135","Dual incision in TC-NER","12/18","12/372",1.5147883982568e-18,3.11868199641106e-18,4.68974736302415e-19,"854791/853301/852013/854385/854157/856317/854322/852810/856547/852451/851415/854399",12
"R-SCE-9018519","Estrogen-dependent gene expression","14/18","20/372",1.27927968138908e-17,2.48748826936766e-17,3.74058386371076e-18,"854791/853301/852013/854385/854157/856317/854322/853098/852810/856547/852451/852888/851415/854399",14
"R-SCE-5696398","Nucleotide Excision Repair","12/18","13/372",1.93892914976871e-17,3.23154858294785e-17,4.85947155330503e-18,"854791/853301/852013/854385/854157/856317/854322/852810/856547/852451/851415/854399",12
"R-SCE-6781827","Transcription-Coupled Nucleotide Excision Repair (TC-NER)","12/18","13/372",1.93892914976871e-17,3.23154858294785e-17,4.85947155330503e-18,"854791/853301/852013/854385/854157/856317/854322/852810/856547/852451/851415/854399",12
"R-SCE-6782210","Gap-filling DNA repair synthesis and ligation in TC-NER","12/18","13/372",1.93892914976871e-17,3.23154858294785e-17,4.85947155330503e-18,"854791/853301/852013/854385/854157/856317/854322/852810/856547/852451/851415/854399",12
"R-SCE-8939211","ESR-mediated signaling","14/18","23/372",2.61213116172505e-16,4.15566321183531e-16,6.24911761178242e-17,"854791/853301/852013/854385/854157/856317/854322/853098/852810/856547/852451/852888/851415/854399",14
"R-SCE-9006931","Signaling by Nuclear Receptors","14/18","26/372",2.98899536855767e-15,4.54847121302255e-15,6.83980633537225e-16,"854791/853301/852013/854385/854157/856317/854322/853098/852810/856547/852451/852888/851415/854399",14
"R-SCE-73894","DNA Repair","12/18","19/372",6.84207263605366e-14,9.97802259424492e-14,1.50045452545036e-14,"854791/853301/852013/854385/854157/856317/854322/852810/856547/852451/851415/854399",12
"R-SCE-162582","Signal Transduction","14/18","38/372",2.62322063152642e-12,3.67250888413699e-12,5.52256975058195e-13,"854791/853301/852013/854385/854157/856317/854322/853098/852810/856547/852451/852888/851415/854399",14
"R-SCE-8953854","Metabolism of RNA","15/18","123/372",1.01164464753128e-05,1.36182933321519e-05,2.04786365897021e-06,"854791/853301/852013/854385/854157/856317/854322/853098/852810/856547/852451/852888/851415/854399/854999",15
"R-SCE-73762","RNA Polymerase I Transcription Initiation","5/18","10/372",3.21523348472063e-05,4.16789525797119e-05,6.26751166612209e-06,"854385/856317/856547/852451/854399",5
"R-SCE-73772","RNA Polymerase I Promoter Escape","5/18","16/372",0.000464688519854848,0.000542136606497323,8.15243017289208e-05,"854385/856317/856547/852451/854399",5
"R-SCE-73854","RNA Polymerase I Promoter Clearance","5/18","16/372",0.000464688519854848,0.000542136606497323,8.15243017289208e-05,"854385/856317/856547/852451/854399",5
"R-SCE-73864","RNA Polymerase I Transcription","5/18","16/372",0.000464688519854848,0.000542136606497323,8.15243017289208e-05,"854385/856317/856547/852451/854399",5
