"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006412","translation","69/120","200/544",1.27350383751883e-07,1.78036195881609e-05,1.54195239604325e-05,"SUP35/DHH1/GCD6/TIF34/TIF5/SUP45/RPL13B/TEF1/TEF2/RPS12/NIP1/PAB1/SIS1/PRT1/RPL38/RPL37A/RPS19A/RPL32/RPS27A/RPS27B/RPS17A/RPS17B/RPL7A/RBG2/RPS21A/RPS21B/RPL6B/DBP5/RPS20/TEF4/NPL3/RPS4A/RPS4B/RPL1A/RPL1B/TIF4631/RPL35A/RPL35B/RPL11A/RPL11B/RPL3/CDC33/GCN1/RPS1A/RLI1/RPS15/RPL8B/RPL36B/GCN20/RPP2A/GUS1/RPL27A/RPL27B/ASC1/DED81/SUI2/GCD2/VAS1/YEF3/HEF3/RPL5/RPS26B/ZUO1/RPP1B/RPL8A/FUN12/RPL37B/NEW1/GCD11",69
"GO:0043043","peptide biosynthetic process","69/120","200/544",1.27350383751883e-07,1.78036195881609e-05,1.54195239604325e-05,"SUP35/DHH1/GCD6/TIF34/TIF5/SUP45/RPL13B/TEF1/TEF2/RPS12/NIP1/PAB1/SIS1/PRT1/RPL38/RPL37A/RPS19A/RPL32/RPS27A/RPS27B/RPS17A/RPS17B/RPL7A/RBG2/RPS21A/RPS21B/RPL6B/DBP5/RPS20/TEF4/NPL3/RPS4A/RPS4B/RPL1A/RPL1B/TIF4631/RPL35A/RPL35B/RPL11A/RPL11B/RPL3/CDC33/GCN1/RPS1A/RLI1/RPS15/RPL8B/RPL36B/GCN20/RPP2A/GUS1/RPL27A/RPL27B/ASC1/DED81/SUI2/GCD2/VAS1/YEF3/HEF3/RPL5/RPS26B/ZUO1/RPP1B/RPL8A/FUN12/RPL37B/NEW1/GCD11",69
"GO:0009059","macromolecule biosynthetic process","82/120","258/544",1.50241515511907e-07,1.78036195881609e-05,1.54195239604325e-05,"SUP35/DHH1/RPO21/MBF1/GCD6/TIF34/TIF5/SUP45/RVB1/RPL13B/TEF1/TEF2/RPS12/NIP1/SEC13/HOG1/PAB1/SIS1/PRT1/RAD52/RPL38/RPL37A/RPS19A/RPL32/RPS27A/RPS27B/RPS17A/RPS17B/RPL7A/SPT5/RBG2/RPS21A/RPS21B/RPL6B/DBP5/SEC53/RPS20/TEF4/NPL3/RPS4A/RPS4B/RVB2/RPL1A/RPL1B/TIF4631/RPL35A/RPL35B/RPL11A/RPL11B/RPL3/CDC33/GCN1/RPS1A/RLI1/RPS15/SPT16/RPL8B/RPL36B/GCN20/RPP2A/GUS1/RPL27A/RPL27B/ASC1/DED81/SUI2/GCD2/VAS1/YEF3/HEF3/RPL5/RPS26B/UTP10/ZUO1/RPP1B/CAD1/RPL8A/FUN12/RPL37B/SCP160/NEW1/GCD11",82
"GO:0034645","cellular macromolecule biosynthetic process","82/120","258/544",1.50241515511907e-07,1.78036195881609e-05,1.54195239604325e-05,"SUP35/DHH1/RPO21/MBF1/GCD6/TIF34/TIF5/SUP45/RVB1/RPL13B/TEF1/TEF2/RPS12/NIP1/SEC13/HOG1/PAB1/SIS1/PRT1/RAD52/RPL38/RPL37A/RPS19A/RPL32/RPS27A/RPS27B/RPS17A/RPS17B/RPL7A/SPT5/RBG2/RPS21A/RPS21B/RPL6B/DBP5/SEC53/RPS20/TEF4/NPL3/RPS4A/RPS4B/RVB2/RPL1A/RPL1B/TIF4631/RPL35A/RPL35B/RPL11A/RPL11B/RPL3/CDC33/GCN1/RPS1A/RLI1/RPS15/SPT16/RPL8B/RPL36B/GCN20/RPP2A/GUS1/RPL27A/RPL27B/ASC1/DED81/SUI2/GCD2/VAS1/YEF3/HEF3/RPL5/RPS26B/UTP10/ZUO1/RPP1B/CAD1/RPL8A/FUN12/RPL37B/SCP160/NEW1/GCD11",82
"GO:0006518","peptide metabolic process","69/120","204/544",3.61106396948705e-07,3.42328864307373e-05,2.96487357494726e-05,"SUP35/DHH1/GCD6/TIF34/TIF5/SUP45/RPL13B/TEF1/TEF2/RPS12/NIP1/PAB1/SIS1/PRT1/RPL38/RPL37A/RPS19A/RPL32/RPS27A/RPS27B/RPS17A/RPS17B/RPL7A/RBG2/RPS21A/RPS21B/RPL6B/DBP5/RPS20/TEF4/NPL3/RPS4A/RPS4B/RPL1A/RPL1B/TIF4631/RPL35A/RPL35B/RPL11A/RPL11B/RPL3/CDC33/GCN1/RPS1A/RLI1/RPS15/RPL8B/RPL36B/GCN20/RPP2A/GUS1/RPL27A/RPL27B/ASC1/DED81/SUI2/GCD2/VAS1/YEF3/HEF3/RPL5/RPS26B/ZUO1/RPP1B/RPL8A/FUN12/RPL37B/NEW1/GCD11",69
"GO:0043604","amide biosynthetic process","70/120","209/544",4.35155694298474e-07,3.43772998495794e-05,2.97738106625271e-05,"SUP35/DHH1/GCD6/TIF34/TIF5/SUP45/RPL13B/TEF1/TEF2/RPS12/NIP1/PAB1/SIS1/PRT1/RPL38/RPL37A/RPS19A/RPL32/RPS27A/RPS27B/RPS17A/RPS17B/RPL7A/RBG2/RPS21A/RPS21B/RPL6B/DBP5/RPS20/TEF4/NPL3/RPS4A/RPS4B/RPL1A/RPL1B/TIF4631/RPL35A/RPL35B/RPL11A/RPL11B/RPL3/CDC33/GCN1/RPS1A/RLI1/RPS15/RPL8B/RPL36B/GCN20/RPP2A/GUS1/RPL27A/RPL27B/ASC1/DED81/ACC1/SUI2/GCD2/VAS1/YEF3/HEF3/RPL5/RPS26B/ZUO1/RPP1B/RPL8A/FUN12/RPL37B/NEW1/GCD11",70
"GO:0044271","cellular nitrogen compound biosynthetic process","87/120","288/544",6.71746586278611e-07,4.54868402708659e-05,3.93956644584448e-05,"PRS3/SUP35/DHH1/RPO21/MBF1/GCD6/TIF34/TIF5/SUP45/RVB1/RPL13B/TEF1/TEF2/RPS12/NIP1/SEC13/HOG1/PAB1/SIS1/PRT1/RAD52/RPL38/RPL37A/ATP2/RPS19A/RPL32/RPS27A/RPS27B/RPS17A/RPS17B/RPL7A/SPT5/RBG2/RPS21A/RPS21B/RPL6B/DBP5/SEC53/RPS20/TEF4/NPL3/RPS4A/RPS4B/RVB2/RPL1A/RPL1B/TIF4631/RPL35A/RPL35B/RPL11A/RPL11B/RPL3/CDC33/GCN1/RPS1A/RLI1/RPS15/SPT16/RPL8B/RPL36B/GCN20/RPP2A/GUS1/RPL27A/RPL27B/ASC1/DED81/ACC1/SUI2/GCD2/VAS1/YEF3/HEF3/RPL5/RPS26B/UTP10/ZUO1/RPP1B/CAD1/RPL8A/FUN12/RPL37B/ADE6/SCP160/NEW1/TRP5/GCD11",87
"GO:0010467","gene expression","86/120","285/544",1.00694395166363e-06,5.96614291360698e-05,5.16721238353703e-05,"SUP35/DHH1/RPO21/GAR1/MBF1/GCD6/TIF34/TIF5/SUP45/RVB1/RPL13B/TEF1/TEF2/RPS12/NIP1/SEC13/HOG1/NOP12/PAB1/SIS1/PRT1/RPL38/RPL37A/RPS19A/RPL32/RPS27A/RPS27B/RPS17A/RPS17B/RPL7A/NUG1/DYS1/SPT5/RBG2/RPS21A/RPS21B/DBP3/RPL6B/DBP5/RPS20/TEF4/NPL3/RPS4A/RPS4B/RVB2/RPL1A/RPL1B/TIF4631/RPL35A/RPL35B/RPL11A/RPL11B/RPL3/CDC33/GCN1/RPS1A/RLI1/RPS15/SPT16/RPL8B/HSP60/RPL36B/GCN20/RPP2A/GUS1/RPL27A/RPL27B/ASC1/DED81/SUI2/GCD2/VAS1/YEF3/HEF3/RPL5/RPS26B/UTP10/ZUO1/RPP1B/CAD1/RPL8A/FUN12/RPL37B/SCP160/NEW1/GCD11",86
"GO:0044267","cellular protein metabolic process","80/120","259/544",1.62891630054901e-06,8.40390165849221e-05,7.27852908463682e-05,"PRE9/SUP35/DHH1/RPN7/RPN1/GCD6/TIF34/TIF5/SUP45/RVB1/RPL13B/TEF1/TEF2/RPS12/NIP1/SEC13/HOG1/PAB1/SIS1/PRT1/RPL38/RPL37A/RPS19A/RPL32/RPS27A/RPS27B/RPS17A/RPS17B/RPL7A/DYS1/RBG2/RPS21A/RPS21B/RPL6B/DBP5/SEC53/UBP3/RPS20/TEF4/NPL3/RPS4A/RPS4B/RVB2/RPL1A/RPL1B/TIF4631/RPL35A/RPL35B/RPL11A/RPL11B/RPL3/CDC33/GCN1/RPS1A/RLI1/RPS15/RPL8B/RPL36B/GCN20/RPP2A/GUS1/RPL27A/RPL27B/ASC1/DED81/DEF1/SUI2/GCD2/VAS1/YEF3/HEF3/RPL5/RPS26B/ZUO1/RPP1B/RPL8A/FUN12/RPL37B/NEW1/GCD11",80
"GO:0019538","protein metabolic process","81/120","264/544",1.77297503343717e-06,8.40390165849221e-05,7.27852908463682e-05,"PRE9/SUP35/DHH1/RPN7/RPN1/GCD6/TIF34/TIF5/SUP45/RVB1/RPL13B/TEF1/TEF2/RPS12/NIP1/SEC13/HOG1/PAB1/SIS1/PRT1/RPL38/RPL37A/RPS19A/RPL32/RPS27A/RPS27B/RPS17A/RPS17B/RPL7A/DYS1/RBG2/RPS21A/RPS21B/RPL6B/DBP5/SEC53/UBP3/RPS20/TEF4/NPL3/RPS4A/RPS4B/RVB2/RPL1A/RPL1B/TIF4631/RPL35A/RPL35B/RPL11A/RPL11B/RPL3/CDC33/GCN1/RPS1A/RLI1/RPS15/RPL8B/HSP60/RPL36B/GCN20/RPP2A/GUS1/RPL27A/RPL27B/ASC1/DED81/DEF1/SUI2/GCD2/VAS1/YEF3/HEF3/RPL5/RPS26B/ZUO1/RPP1B/RPL8A/FUN12/RPL37B/NEW1/GCD11",81
