"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0022626","cytosolic ribosome","105/117","120/315",2.578724986782e-52,1.31514974325882e-50,8.95767626987432e-51,"RPS25B/RPL37A/RPL24B/RPS3/RPS20/RPL6A/RPL13B/RPS16A/RPS16B/RPS14A/RPS14B/RPL36B/RPS4A/RPS4B/RPS5/RPS1A/RPS18B/RPS18A/RPS29A/RPL19B/RPL19A/RPS19A/RPL24A/RPS28A/RPS28B/RPS15/RPS17A/RPS17B/RPL1A/RPL1B/RPL8B/RPS26A/RPS26B/RPS2/RPS1B/RPS29B/RPS13/RPL34A/RPL28/RPL42A/RPL42B/RPL3/RPL11A/RPL11B/RPL15A/RPS7A/RPS12/RPL25/RPL33B/RPL16A/RPL22A/RPL22B/RPL4B/RPL4A/RPS24A/RPS24B/RPL35A/RPL35B/RPL17A/RPL17B/RPL10/RPP0/RPL2A/RPL2B/RPL12B/RPL12A/RPL21A/RPS10A/RPS10B/RPL6B/RPS22B/RPS22A/RPS11B/RPS11A/RPL16B/RPL18B/RPL18A/RPL31A/ASC1/RPL7A/RPL27A/RPL27B/RPS7B/RPL9B/RPS0A/RPL26B/LSG1/RPL23A/RPL23B/RPS23B/RPS23A/RPS8A/RPS8B/RPL5/RPS6A/RPS6B/RPP2A/RPS9A/RPS21A/RPS21B/RPS27A/RPS27B/RPL32/RPL38/RPL14A",105
"GO:0044391","ribosomal subunit","105/117","121/315",1.83138449669784e-51,4.6700304665795e-50,3.18082570479099e-50,"RPS25B/RPL37A/RPL24B/RPS3/RPS20/RPL6A/RPL13B/RPS16A/RPS16B/RPS14A/RPS14B/RPL36B/RPS4A/RPS4B/RPS5/RPS1A/RPS18B/RPS18A/RPS29A/RPL19B/RPL19A/RPS19A/RPL24A/RPS28A/RPS28B/RPS15/RPS17A/RPS17B/RPL1A/RPL1B/RPL8B/RPS26A/RPS26B/RPS2/RPS1B/RPS29B/RPS13/RPL34A/RPL28/RPL42A/RPL42B/RPL3/RPL11A/RPL11B/RPL15A/RPS7A/RPS12/RPL25/RPL33B/RPL16A/RPL22A/RPL22B/RPL4B/RPL4A/RPS24A/RPS24B/RPL35A/RPL35B/RPL17A/RPL17B/RPL10/RPP0/RPL2A/RPL2B/RPL12B/RPL12A/RPL21A/RPS10A/RPS10B/RPL6B/RPS22B/RPS22A/RPS11B/RPS11A/RPL16B/RPL18B/RPL18A/RPL31A/ASC1/RPL7A/RPL27A/RPL27B/RPS7B/RPL9B/RPS0A/RPL26B/LSG1/RPL23A/RPL23B/RPS23B/RPS23A/RPS8A/RPS8B/RPL5/RPS6A/RPS6B/RPP2A/RPS9A/RPS21A/RPS21B/RPS27A/RPS27B/RPL32/RPL38/RPL14A",105
"GO:0005840","ribosome","105/117","129/315",2.26799835051451e-45,3.85559719587466e-44,2.62610335322732e-44,"RPS25B/RPL37A/RPL24B/RPS3/RPS20/RPL6A/RPL13B/RPS16A/RPS16B/RPS14A/RPS14B/RPL36B/RPS4A/RPS4B/RPS5/RPS1A/RPS18B/RPS18A/RPS29A/RPL19B/RPL19A/RPS19A/RPL24A/RPS28A/RPS28B/RPS15/RPS17A/RPS17B/RPL1A/RPL1B/RPL8B/RPS26A/RPS26B/RPS2/RPS1B/RPS29B/RPS13/RPL34A/RPL28/RPL42A/RPL42B/RPL3/RPL11A/RPL11B/RPL15A/RPS7A/RPS12/RPL25/RPL33B/RPL16A/RPL22A/RPL22B/RPL4B/RPL4A/RPS24A/RPS24B/RPL35A/RPL35B/RPL17A/RPL17B/RPL10/RPP0/RPL2A/RPL2B/RPL12B/RPL12A/RPL21A/RPS10A/RPS10B/RPL6B/RPS22B/RPS22A/RPS11B/RPS11A/RPL16B/RPL18B/RPL18A/RPL31A/ASC1/RPL7A/RPL27A/RPL27B/RPS7B/RPL9B/RPS0A/RPL26B/LSG1/RPL23A/RPL23B/RPS23B/RPS23A/RPS8A/RPS8B/RPL5/RPS6A/RPS6B/RPP2A/RPS9A/RPS21A/RPS21B/RPS27A/RPS27B/RPL32/RPL38/RPL14A",105
"GO:1990904","ribonucleoprotein complex","112/117","163/315",5.08247702526078e-38,6.48015820720749e-37,4.41373004825278e-37,"DBP2/RPS25B/RPL37A/RPL24B/RPS3/MRT4/RPS20/RPL6A/RPL13B/RPS16A/RPS16B/RPS14A/RPS14B/RPL36B/RPS4A/RPS4B/RPS5/RPS1A/RPS18B/RPS18A/RPS29A/RPL19B/RPL19A/RPS19A/RPL24A/RPS28A/RPS28B/RPS15/RPS17A/RPS17B/RPL1A/RPL1B/RPL8B/RPS26A/RPS26B/RPS2/RPS1B/RPS29B/RPS13/RPL34A/RPL28/NOG1/RPL42A/RPL42B/RPL3/RPL11A/RPL11B/RPL15A/RPS7A/RPS12/RPL25/RPL33B/RPL16A/RPL22A/RPL22B/RPL4B/RPL4A/RPS24A/RPS24B/RPL35A/RPL35B/RPL17A/RPL17B/RPL10/RPP0/RPL2A/RPL2B/RPL12B/RPL12A/RPL21A/RPS10A/RPS10B/RPL6B/RPS22B/RPS22A/RPS11B/RPS11A/RPL16B/TSR1/RPL18B/RPL18A/RPL31A/ASC1/RPL7A/RPL27A/RPL27B/RPS7B/STM1/RPL9B/RPS0A/RPL26B/LSG1/RIO2/RPL23A/RPL23B/RPS23B/RPS23A/RPS8A/RPS8B/RPL5/RPS6A/RPS6B/RPP2A/RPS9A/RPS21A/RPS21B/RPS27A/RPS27B/RPL32/RPL38/PNO1/RPL14A",112
"GO:0032991","protein-containing complex","116/117","212/315",1.7655585831581e-25,1.80086975482126e-24,1.2265985946151e-24,"DBP2/RPS25B/RPL37A/RPL24B/RPS3/MRT4/RPS20/RPL6A/RPL13B/YRA1/RPS16A/RPS16B/RPS14A/RPS14B/RPL36B/RPS4A/RPS4B/RPS5/RPS1A/RPS18B/RPS18A/RPS29A/RPL19B/RPL19A/RPS19A/RPL24A/RPS28A/RPS28B/RPS15/RPS17A/RPS17B/RPL1A/RPL1B/RPL8B/RPS26A/RPS26B/RPS2/RPS1B/RPS29B/RPS13/RPL34A/RPL28/NOG1/RPL42A/RPL42B/RPL3/RPL11A/RPL11B/RPL15A/RPS7A/RPS12/RPL25/RPL33B/RPL16A/RPL22A/RPL22B/RPL4B/RPL4A/RPS24A/RPS24B/RPL35A/RPL35B/RPL17A/RPL17B/RPL10/RPP0/RPL2A/RPL2B/RPL12B/RPL12A/RPL21A/RPS10A/RPS10B/RPL6B/RPS22B/RPS22A/RPS11B/RPS11A/RPL16B/TSR1/RPL18B/RPL18A/RPL31A/ASC1/RPL7A/RPL27A/RPL27B/RPS7B/STM1/RPL9B/RPS0A/VMA1/RPL26B/LSG1/RIO2/RPL23A/RPL23B/RPS23B/RPS23A/RPS8A/RPS8B/RPL5/CPA2/RPS6A/RPS6B/RPP2A/RPS9A/RPS21A/RPS21B/RPS27A/RPS27B/RPL32/RPL38/FAS1/PNO1/RPL14A",116
"GO:0015934","large ribosomal subunit","55/117","61/315",8.17439199697035e-22,5.95562845493554e-21,4.05646520150408e-21,"RPL37A/RPL24B/RPL6A/RPL13B/RPL36B/RPL19B/RPL19A/RPL24A/RPL1A/RPL1B/RPL8B/RPL34A/RPL28/RPL42A/RPL42B/RPL3/RPL11A/RPL11B/RPL15A/RPL25/RPL33B/RPL16A/RPL22A/RPL22B/RPL4B/RPL4A/RPL35A/RPL35B/RPL17A/RPL17B/RPL10/RPP0/RPL2A/RPL2B/RPL12B/RPL12A/RPL21A/RPL6B/RPL16B/RPL18B/RPL18A/RPL31A/RPL7A/RPL27A/RPL27B/RPL9B/RPL26B/LSG1/RPL23A/RPL23B/RPL5/RPP2A/RPL32/RPL38/RPL14A",55
"GO:0022625","cytosolic large ribosomal subunit","55/117","61/315",8.17439199697035e-22,5.95562845493554e-21,4.05646520150408e-21,"RPL37A/RPL24B/RPL6A/RPL13B/RPL36B/RPL19B/RPL19A/RPL24A/RPL1A/RPL1B/RPL8B/RPL34A/RPL28/RPL42A/RPL42B/RPL3/RPL11A/RPL11B/RPL15A/RPL25/RPL33B/RPL16A/RPL22A/RPL22B/RPL4B/RPL4A/RPL35A/RPL35B/RPL17A/RPL17B/RPL10/RPP0/RPL2A/RPL2B/RPL12B/RPL12A/RPL21A/RPL6B/RPL16B/RPL18B/RPL18A/RPL31A/RPL7A/RPL27A/RPL27B/RPL9B/RPL26B/LSG1/RPL23A/RPL23B/RPL5/RPP2A/RPL32/RPL38/RPL14A",55
"GO:0005829","cytosol","109/117","196/315",1.67637955804336e-20,1.06869196825264e-19,7.27901650203036e-20,"RPS25B/RPL37A/RPL24B/RPS3/RPS20/RPL6A/RPL13B/RPS16A/RPS16B/RPS14A/RPS14B/RPL36B/RPS4A/RPS4B/RPS5/RPS1A/RPS18B/RPS18A/RPS29A/RPL19B/RPL19A/RPS19A/RPL24A/RPS28A/RPS28B/RPS15/RPS17A/RPS17B/RPL1A/RPL1B/RPL8B/RPS26A/RPS26B/RPS2/RPS1B/RPS29B/RPS13/RPL34A/RPL28/RPL42A/RPL42B/RPL3/RPL11A/RPL11B/RPL15A/RPS7A/RPS12/RPL25/RPL33B/RPL16A/RPL22A/RPL22B/RPL4B/RPL4A/RPS24A/RPS24B/RPL35A/RPL35B/RPL17A/RPL17B/RPL10/RPP0/RPL2A/RPL2B/RPL12B/RPL12A/RPL21A/RPS10A/RPS10B/RPL6B/RPS22B/RPS22A/RPS11B/RPS11A/RPL16B/RPL18B/RPL18A/RPL31A/ASC1/RPL7A/RPL27A/RPL27B/RPS7B/RPL9B/RPS0A/RPL26B/LSG1/RIO2/RPL23A/RPL23B/RPS23B/RPS23A/RPS8A/RPS8B/RPL5/URA2/CPA2/RPS6A/RPS6B/RPP2A/RPS9A/RPS21A/RPS21B/RPS27A/RPS27B/RPL32/RPL38/FAS1/RPL14A",109
"GO:0022627","cytosolic small ribosomal subunit","50/117","55/315",6.66990652740086e-20,3.66769418174256e-19,2.49811987610949e-19,"RPS25B/RPS3/RPS20/RPS16A/RPS16B/RPS14A/RPS14B/RPS4A/RPS4B/RPS5/RPS1A/RPS18B/RPS18A/RPS29A/RPS19A/RPS28A/RPS28B/RPS15/RPS17A/RPS17B/RPS26A/RPS26B/RPS2/RPS1B/RPS29B/RPS13/RPS7A/RPS12/RPS24A/RPS24B/RPS10A/RPS10B/RPS22B/RPS22A/RPS11B/RPS11A/ASC1/RPS7B/RPS0A/RPS23B/RPS23A/RPS8A/RPS8B/RPS6A/RPS6B/RPS9A/RPS21A/RPS21B/RPS27A/RPS27B",50
"GO:0043228","non-membrane-bounded organelle","111/117","206/315",7.91071294101337e-20,3.66769418174256e-19,2.49811987610949e-19,"RPS25B/RPL37A/RPL24B/RPS3/MRT4/RPS20/RPL6A/RPL13B/RPS16A/RPS16B/RPS14A/RPS14B/RPL36B/RPS4A/RPS4B/RPS5/RPS1A/RPS18B/RPS18A/RPS29A/RPL19B/RPL19A/RPS19A/RPL24A/RPS28A/RPS28B/RPS15/RPS17A/RPS17B/RPL1A/RPL1B/RPL8B/RPS26A/RPS26B/RPS2/RPS1B/RPS29B/RPS13/RPL34A/RPL28/NOG1/RPL42A/RPL42B/RPL3/RPL11A/RPL11B/RPL15A/RPS7A/RPS12/RPL25/RPL33B/RPL16A/RPL22A/RPL22B/RPL4B/RPL4A/RPS24A/RPS24B/RPL35A/RPL35B/RPL17A/RPL17B/RPL10/RPP0/RPL2A/RPL2B/RPL12B/RPL12A/RPL21A/RPS10A/RPS10B/RPL6B/RPS22B/RPS22A/RPS11B/RPS11A/RPL16B/TSR1/RPL18B/RPL18A/RPL31A/ASC1/RPL7A/RPL27A/RPL27B/RPS7B/RPL9B/RPS0A/RPL26B/LSG1/RIO2/RPL23A/RPL23B/RPS23B/RPS23A/RPS8A/RPS8B/RPL5/RPS6A/RPS6B/RPP2A/RPS9A/RPS21A/RPS21B/RPS27A/RPS27B/RPL32/RPL38/FAS1/PNO1/RPL14A",111
