"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0005759","mitochondrial matrix","15/22","179/2858",5.87059963838889e-14,1.35023791682944e-12,4.94366285338012e-13,"HSP10/MRPL19/JAC1/MRP49/RSM26/RSM22/MRPS35/MRPS12/MSY1/MRPL31/MSW1/MZM1/SDH5/GRX5/MAM33",15
"GO:0000313","organellar ribosome","7/22","74/2858",7.32608053521415e-07,5.61666174366418e-06,2.05644365900748e-06,"MRPL19/MRP49/RSM26/RSM22/MRPS35/MRPS12/MRPL31",7
"GO:0005761","mitochondrial ribosome","7/22","74/2858",7.32608053521415e-07,5.61666174366418e-06,2.05644365900748e-06,"MRPL19/MRP49/RSM26/RSM22/MRPS35/MRPS12/MRPL31",7
"GO:0098798","mitochondrial protein-containing complex","7/22","149/2858",8.00610695491831e-05,0.000315435384326772,0.000115491216229482,"MRPL19/MRP49/RSM26/RSM22/MRPS35/MRPS12/MRPL31",7
"GO:0000314","organellar small ribosomal subunit","4/22","32/2858",8.22874915635056e-05,0.000315435384326772,0.000115491216229482,"RSM26/RSM22/MRPS35/MRPS12",4
"GO:0005763","mitochondrial small ribosomal subunit","4/22","32/2858",8.22874915635056e-05,0.000315435384326772,0.000115491216229482,"RSM26/RSM22/MRPS35/MRPS12",4
"GO:0044391","ribosomal subunit","7/22","200/2858",0.000510584539894832,0.00167763491679731,0.000614237040474986,"MRPL19/MRP49/RSM26/RSM22/MRPS35/MRPS12/MRPL31",7
"GO:0005840","ribosome","7/22","217/2858",0.000839508710164125,0.00241358754172186,0.000883693379120131,"MRPL19/MRP49/RSM26/RSM22/MRPS35/MRPS12/MRPL31",7
"GO:0000315","organellar large ribosomal subunit","3/22","40/2858",0.00325375259130666,0.00748363096000532,0.00274000218215298,"MRPL19/MRP49/MRPL31",3
"GO:0005762","mitochondrial large ribosomal subunit","3/22","40/2858",0.00325375259130666,0.00748363096000532,0.00274000218215298,"MRPL19/MRP49/MRPL31",3
"GO:0015935","small ribosomal subunit","4/22","91/2858",0.00453254502056144,0.00947713958844665,0.00346989092483173,"RSM26/RSM22/MRPS35/MRPS12",4
