"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0043328","protein transport to vacuole involved in ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway","6/21","17/2809",9.40692767540346e-10,2.64334667678837e-07,2.42599713734089e-07,"COS8/COS3/COS2/COS1/COS5/COS7",6
"GO:0043162","ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway","6/21","24/2809",9.9055990182948e-09,1.39173666207042e-06,1.27730092604328e-06,"COS8/COS3/COS2/COS1/COS5/COS7",6
"GO:0032511","late endosome to vacuole transport via multivesicular body sorting pathway","6/21","32/2809",6.42719322020956e-08,5.31144352102159e-06,4.87470935624757e-06,"COS8/COS3/COS2/COS1/COS5/COS7",6
"GO:0032509","endosome transport via multivesicular body sorting pathway","6/21","34/2809",9.4509671192555e-08,5.31144352102159e-06,4.87470935624757e-06,"COS8/COS3/COS2/COS1/COS5/COS7",6
"GO:0071985","multivesicular body sorting pathway","6/21","34/2809",9.4509671192555e-08,5.31144352102159e-06,4.87470935624757e-06,"COS8/COS3/COS2/COS1/COS5/COS7",6
"GO:0045324","late endosome to vacuole transport","6/21","40/2809",2.62345808417818e-07,1.22865286942345e-05,1.12762672039238e-05,"COS8/COS3/COS2/COS1/COS5/COS7",6
"GO:0072666","establishment of protein localization to vacuole","6/21","68/2809",6.56866322543197e-06,0.000263684909478055,0.000242003381989599,"COS8/COS3/COS2/COS1/COS5/COS7",6
"GO:0044265","cellular macromolecule catabolic process","10/21","272/2809",8.28080059590793e-06,0.000290863120931266,0.000266946861315453,"ESL1/GBP2/DOM34/PMT3/COS8/COS3/COS2/COS1/COS5/COS7",10
"GO:0072665","protein localization to vacuole","6/21","73/2809",9.98078359064619e-06,0.000311622243219064,0.000285999061954189,"COS8/COS3/COS2/COS1/COS5/COS7",6
"GO:0009057","macromolecule catabolic process","10/21","286/2809",1.30623331224336e-05,0.000367051560740383,0.000336870696315392,"ESL1/GBP2/DOM34/PMT3/COS8/COS3/COS2/COS1/COS5/COS7",10
"GO:0016197","endosomal transport","6/21","78/2809",1.47122284909832e-05,0.000375830564178752,0.000344927845003911,"COS8/COS3/COS2/COS1/COS5/COS7",6
"GO:0044248","cellular catabolic process","12/21","500/2809",5.52055240549893e-05,0.00125752270438353,0.00115412272925253,"ESL1/GBP2/DOM34/GAD1/PMT3/CTT1/COS8/COS3/COS2/COS1/COS5/COS7",12
"GO:0007034","vacuolar transport","6/21","99/2809",5.81772069643624e-05,0.00125752270438353,0.00115412272925253,"COS8/COS3/COS2/COS1/COS5/COS7",6
"GO:1901575","organic substance catabolic process","11/21","441/2809",9.9891237055019e-05,0.00200495982946145,0.00184010173522403,"ESL1/GBP2/DOM34/GAD1/PMT3/COS8/COS3/COS2/COS1/COS5/COS7",11
"GO:0051603","proteolysis involved in cellular protein catabolic process","7/21","162/2809",0.000109101897033799,0.00204384220443317,0.00187578700163374,"PMT3/COS8/COS3/COS2/COS1/COS5/COS7",7
"GO:0044257","cellular protein catabolic process","7/21","171/2809",0.000153970517400335,0.00270410721184339,0.00248176162915014,"PMT3/COS8/COS3/COS2/COS1/COS5/COS7",7
"GO:0030163","protein catabolic process","7/21","176/2809",0.000184798882305229,0.00305461681928054,0.00280345053651895,"PMT3/COS8/COS3/COS2/COS1/COS5/COS7",7
"GO:1901565","organonitrogen compound catabolic process","8/21","252/2809",0.000271736031044567,0.00424210137352907,0.00389329401204204,"GAD1/PMT3/COS8/COS3/COS2/COS1/COS5/COS7",8
"GO:0006511","ubiquitin-dependent protein catabolic process","6/21","137/2809",0.000356816044798044,0.00527712150464476,0.00484320947232803,"COS8/COS3/COS2/COS1/COS5/COS7",6
"GO:0019941","modification-dependent protein catabolic process","6/21","143/2809",0.000450678286426423,0.00633202992429125,0.00581137790391967,"COS8/COS3/COS2/COS1/COS5/COS7",6
"GO:0006508","proteolysis","7/21","223/2809",0.000801116289005411,0.0107196989147867,0.00983827021585592,"PMT3/COS8/COS3/COS2/COS1/COS5/COS7",7
"GO:0043632","modification-dependent macromolecule catabolic process","6/21","161/2809",0.000853057088201956,0.0108958655356704,0.00999995151241528,"COS8/COS3/COS2/COS1/COS5/COS7",6
"GO:0006979","response to oxidative stress","4/21","86/2809",0.00329142190348519,0.0402125893425799,0.0369061037232893,"GBP2/NQM1/GAD1/CTT1",4
