"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000313","organellar ribosome","27/105","67/3080",1.03821947144802e-23,7.52709116799815e-22,6.39324621891676e-22,"MRPL16/MRPL24/MRPS9/MRPL49/RSM28/MRPL22/MRPS5/NAM9/MRPL6/RSM27/MRPL10/RSM10/MRP21/MRP51/RSM23/MRPS16/MRPS17/MRPL38/PET123/RSM7/RSM24/MRPL20/VAR1/MRPL39/MRPL23/MRP17/MRPS35",27
"GO:0005761","mitochondrial ribosome","27/105","67/3080",1.03821947144802e-23,7.52709116799815e-22,6.39324621891676e-22,"MRPL16/MRPL24/MRPS9/MRPL49/RSM28/MRPL22/MRPS5/NAM9/MRPL6/RSM27/MRPL10/RSM10/MRP21/MRP51/RSM23/MRPS16/MRPS17/MRPL38/PET123/RSM7/RSM24/MRPL20/VAR1/MRPL39/MRPL23/MRP17/MRPS35",27
"GO:0098798","mitochondrial protein-containing complex","32/105","142/3080",3.079855602439e-19,1.48859687451218e-17,1.26436177363285e-17,"MRPL16/MRPL24/ATP17/MRPS9/MRPL49/RSM28/MRPL22/MRPS5/NAM9/MRPL6/COX13/RSM27/MRPL10/RSM10/MRP21/ATP18/MRP51/COX4/RSM23/MRPS16/MRPS17/MRPL38/PET123/RSM7/QCR8/RSM24/MRPL20/VAR1/MRPL39/MRPL23/MRP17/MRPS35",32
"GO:0000314","organellar small ribosomal subunit","17/105","31/3080",5.43968909486688e-18,1.5775098375114e-16,1.33988131389353e-16,"MRPS9/RSM28/MRPS5/NAM9/RSM27/RSM10/MRP21/MRP51/RSM23/MRPS16/MRPS17/PET123/RSM7/RSM24/VAR1/MRP17/MRPS35",17
"GO:0005763","mitochondrial small ribosomal subunit","17/105","31/3080",5.43968909486688e-18,1.5775098375114e-16,1.33988131389353e-16,"MRPS9/RSM28/MRPS5/NAM9/RSM27/RSM10/MRP21/MRP51/RSM23/MRPS16/MRPS17/PET123/RSM7/RSM24/VAR1/MRP17/MRPS35",17
"GO:0005759","mitochondrial matrix","30/105","173/3080",1.1868384822204e-14,2.8681929986993e-13,2.43614214771555e-13,"IDP1/MRPL16/MRPL24/MRPS9/MRPL49/RSM28/MRPL22/MRPS5/NAM9/MRPL6/RSM27/MRPL10/RSM10/MRP21/YHM2/MRP51/RSM23/MRPS16/MRPS17/ARG5,6/MRPL38/PET123/RSM7/RSM24/MRPL20/VAR1/MRPL39/MRPL23/MRP17/MRPS35",30
"GO:0005840","ribosome","29/105","211/3080",1.78175209373255e-11,3.69077219416028e-10,3.13481195438659e-10,"MRPL16/MRPL24/TEF4/MRPS9/MRPL49/RSM28/MRPL22/MRPS5/NAM9/MRPL6/RSM27/MRPL10/RSM10/MRP21/ANB1/MRP51/RSM23/MRPS16/MRPS17/MRPL38/PET123/RSM7/RSM24/MRPL20/VAR1/MRPL39/MRPL23/MRP17/MRPS35",29
"GO:0044391","ribosomal subunit","27/105","193/3080",6.94234489373256e-11,1.25830001198903e-09,1.06875572706146e-09,"MRPL16/MRPL24/MRPS9/MRPL49/RSM28/MRPL22/MRPS5/NAM9/MRPL6/RSM27/MRPL10/RSM10/MRP21/MRP51/RSM23/MRPS16/MRPS17/MRPL38/PET123/RSM7/RSM24/MRPL20/VAR1/MRPL39/MRPL23/MRP17/MRPS35",27
"GO:0015935","small ribosomal subunit","17/105","90/3080",3.72422294072476e-09,6.00013696005655e-08,5.09630507678125e-08,"MRPS9/RSM28/MRPS5/NAM9/RSM27/RSM10/MRP21/MRP51/RSM23/MRPS16/MRPS17/PET123/RSM7/RSM24/VAR1/MRP17/MRPS35",17
"GO:0000315","organellar large ribosomal subunit","10/105","33/3080",6.63710576785027e-08,8.7489121485299e-07,7.4310179410381e-07,"MRPL16/MRPL24/MRPL49/MRPL22/MRPL6/MRPL10/MRPL38/MRPL20/MRPL39/MRPL23",10
"GO:0005762","mitochondrial large ribosomal subunit","10/105","33/3080",6.63710576785027e-08,8.7489121485299e-07,7.4310179410381e-07,"MRPL16/MRPL24/MRPL49/MRPL22/MRPL6/MRPL10/MRPL38/MRPL20/MRPL39/MRPL23",10
"GO:0005743","mitochondrial inner membrane","17/105","132/3080",1.31831556888024e-06,1.59296464573029e-05,1.35300808385078e-05,"MSS51/ATP17/OAC1/COX13/GGC1/CTP1/ATM1/ATP18/YHM2/MDL1/COX4/ICP55/RIM2/QCR8/YMC1/ODC2/YMC2",17
