#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
101377	853718	850346	33997	30970	YKL139W	YCL011C	CTK1	GBP2	cyclin-dependent serine/threonine protein kinase CTK1|L000000432	RLF6|L000002609|L000003049	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q03957	-	NP_012783	P25555	-	NP_009916	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
103012	851313	850346	31832	30970	YDL213C	YCL011C	NOP6	GBP2	-	RLF6|L000002609|L000003049	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q07623	-	NP_010068	P25555	-	NP_009916	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
103528	850346	855583	30970	35687	YCL011C	YNL139C	GBP2	THO2	RLF6|L000002609|L000003049	LDB5|RLR1|ZRG13|L000002589	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P25555	-	NP_009916	P53552	-	NP_014260	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
103529	850346	851152	30970	31691	YCL011C	YLR432W	GBP2	IMD3	RLF6|L000002609|L000003049	IMP dehydrogenase IMD3	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P25555	-	NP_009916	P50095	-	NP_013536	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
103530	850346	851475	30970	31977	YCL011C	YDL084W	GBP2	SUB2	RLF6|L000002609|L000003049	ATP-dependent RNA helicase SUB2|L000004574	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P25555	-	NP_009916	Q07478	-	NP_010199	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
103531	850346	856572	30970	36601	YCL011C	YHR167W	GBP2	THP2	RLF6|L000002609|L000003049	-	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P25555	-	NP_009916	O13539	-	NP_012037	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
103532	850346	855468	30970	35586	YCL011C	YNL253W	GBP2	TEX1	RLF6|L000002609|L000003049	-	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P25555	-	NP_009916	P53851	-	NP_014146	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
103533	850346	851716	30970	32192	YCL011C	YDR138W	GBP2	HPR1	RLF6|L000002609|L000003049	TRF1|L000000808	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P25555	-	NP_009916	P17629	-	NP_010422	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
103534	850346	854940	30970	35104	YCL011C	YML062C	GBP2	MFT1	RLF6|L000002609|L000003049	MFT52|L000001099	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P25555	-	NP_009916	P33441	-	NP_013649	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
103554	850346	851988	30970	32441	YCL011C	YDR381W	GBP2	YRA1	RLF6|L000002609|L000003049	SHE11|RNA-binding protein YRA1|L000002959|L000002873	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P25555	-	NP_009916	Q12159	-	NP_010669	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
