"my_label","Protein.IDs","Gene.names","Peptides","Razor...unique.peptides","Unique.peptides","Sequence.coverage....","Mol..weight..kDa.","Sequence.length","log2.LFQ.intensity.YKAF000_01","log2.LFQ.intensity.YKAF000_02","log2.LFQ.intensity.YKAF000_03","log2.LFQ.intensity.YKAF000_04","log2.LFQ.intensity.YKAF020_02","log2.LFQ.intensity.YKAF020_03","log2.LFQ.intensity.YKAF020_04","imputed.log2.LFQ.intensity.YKAF000_01","imputed.log2.LFQ.intensity.YKAF000_02","imputed.log2.LFQ.intensity.YKAF000_03","imputed.log2.LFQ.intensity.YKAF000_04","imputed.log2.LFQ.intensity.YKAF020_02","imputed.log2.LFQ.intensity.YKAF020_03","imputed.log2.LFQ.intensity.YKAF020_04","mean2_naimp_meas_YKAF000","mean2_naimp_meas_YKAF020","value_count_YKAF000","value_count_YKAF020","pvalue_YKAF020_YKAF000","log10.pvalue_YKAF020_YKAF000","difference_YKAF020_YKAF000","enriched_YKAF020_YKAF000"
"BI3","Q0115","BI3",2,2,2,3.1,61.172,517,NA,NA,NA,24.5962789461677,25.5230385553062,NA,24.651792303055,23.4847806077664,23.8532663140771,23.7124000715852,24.5962789461677,25.5230385553062,23.6240037970167,24.651792303055,23.9116814848991,24.5996115517926,1,2,0.340251730516381,0.468199657302279,0.687930066893529,FALSE
"BI4","Q0120","BI4",3,3,3,4.7,74.579,638,28.6006307779676,27.848940648801,NA,28.0047461290403,NA,28.0054423458266,28.1671999057743,28.6006307779676,27.848940648801,23.8972123535618,28.0047461290403,23.7767639070759,28.0054423458266,28.1671999057743,27.0878824773427,26.6498020528923,3,2,0.819150745374522,0.0866361692285341,-0.43808042445043,FALSE
"VAR1","Q0140","VAR1",7,7,7,22.4,47.123,398,26.3929334150058,26.3642273838206,26.6311757232174,26.7332445985778,26.0259524487127,26.4448540131388,26.439997221856,26.3929334150058,26.3642273838206,26.6311757232174,26.7332445985778,26.0259524487127,26.4448540131388,26.439997221856,26.5303952801554,26.3036012279025,4,3,0.249684217489342,0.602608908485309,-0.226794052252863,FALSE
"REP1","R0020C","REP1",8,8,8,26.3,43.231,373,28.8771294553181,28.5719581293791,28.6323550474816,28.3558188554082,27.7614181291689,27.6311063211709,27.7750499947566,28.8771294553181,28.5719581293791,28.6323550474816,28.3558188554082,27.7614181291689,27.6311063211709,27.7750499947566,28.6093153718967,27.7225248150321,4,3,0.00160706705942549,2.79396600069103,-0.886790556864618,FALSE
"REP2","R0040C","REP2",5,5,5,27,33.196,296,28.239270306342,28.5888870189055,28.4566586588935,28.6611893128772,28.5595765866373,28.2726648072818,28.3187673775934,28.239270306342,28.5888870189055,28.4566586588935,28.6611893128772,28.5595765866373,28.2726648072818,28.3187673775934,28.4865013242545,28.3836695905042,4,3,0.460603753078808,0.336672527651041,-0.102831733750371,FALSE
"TFC3","YAL001C","TFC3",6,6,6,5.9,132.11,1160,25.7969925476373,25.5947423780611,26.2152311072213,26.0834070959805,25.9164313040871,26.1557439354791,25.5953685848559,25.7969925476373,25.5947423780611,26.2152311072213,26.0834070959805,25.9164313040871,26.1557439354791,25.5953685848559,25.922593282225,25.8891812748074,4,3,0.882928994412738,0.0540742211955639,-0.0334120074176774,FALSE
"EFB1","YAL003W","EFB1",14,14,14,71.8,22.627,206,34.1745937523183,34.2598928769112,34.317969992965,34.2619252862821,34.7442472806897,34.7126208576871,34.5020765648916,34.1745937523183,34.2598928769112,34.317969992965,34.2619252862821,34.7442472806897,34.7126208576871,34.5020765648916,34.2535954771191,34.6529815677561,4,3,0.022350417529527,1.65071435937429,0.399386090636995,FALSE
"SSA1","YAL005C","SSA1",38,10,10,77.4,69.656,642,32.6225704887423,32.7885775944353,32.9411347910371,33.0161112429661,32.9384906796861,32.9480634963558,32.9254976216996,32.6225704887423,32.7885775944353,32.9411347910371,33.0161112429661,32.9384906796861,32.9480634963558,32.9254976216996,32.8420985292952,32.9373505992472,4,3,0.354681066036361,0.450161994881334,0.095252069951961,FALSE
"ERP2","YAL007C","ERP2",3,2,2,13.5,24.063,215,27.5811840283876,27.571090168835,27.5834095791396,27.5083930006017,27.2118753757779,27.464041386167,27.3301412650501,27.5811840283876,27.571090168835,27.5834095791396,27.5083930006017,27.2118753757779,27.464041386167,27.3301412650501,27.561019194241,27.335352675665,4,3,0.0826722457567613,1.08264026478517,-0.225666518575938,FALSE
"CYS3","YAL012W","CYS3",13,13,13,60.7,42.542,394,33.5300863799368,33.5545355141147,33.5692123222337,33.6317915201234,33.7180424145455,33.5029657086884,33.5694386983586,33.5300863799368,33.5545355141147,33.5692123222337,33.6317915201234,33.7180424145455,33.5029657086884,33.5694386983586,33.5714064341022,33.5968156071975,4,3,0.735343317665125,0.133509849819346,0.0254091730953263,FALSE
