"my_label","Protein.IDs","Gene.names","Peptides","Razor...unique.peptides","Unique.peptides","Sequence.coverage....","Mol..weight..kDa.","Sequence.length","log2.LFQ.intensity.IP_01","log2.LFQ.intensity.IP_02","log2.LFQ.intensity.IP_03","log2.LFQ.intensity.IP_04","log2.LFQ.intensity.RNase_01","log2.LFQ.intensity.RNase_02","log2.LFQ.intensity.RNase_03","log2.LFQ.intensity.WT_01","log2.LFQ.intensity.WT_02","log2.LFQ.intensity.WT_03","log2.LFQ.intensity.WT_04","imputed.log2.LFQ.intensity.IP_01","imputed.log2.LFQ.intensity.IP_02","imputed.log2.LFQ.intensity.IP_03","imputed.log2.LFQ.intensity.IP_04","imputed.log2.LFQ.intensity.RNase_01","imputed.log2.LFQ.intensity.RNase_02","imputed.log2.LFQ.intensity.RNase_03","imputed.log2.LFQ.intensity.WT_01","imputed.log2.LFQ.intensity.WT_02","imputed.log2.LFQ.intensity.WT_03","imputed.log2.LFQ.intensity.WT_04","mean2_naimp_meas_IP","mean2_naimp_meas_RNase","mean2_naimp_meas_WT","value_count_IP","value_count_RNase","value_count_WT","pvalue_IP_RNase","pvalue_RNase_WT","log10.pvalue_IP_RNase","log10.pvalue_RNase_WT","difference_IP_RNase","difference_RNase_WT","enriched_IP_RNase","enriched_RNase_WT"
"RNaseA","RNaseA","RNaseA",8,8,8,74.7,16.461,150,31.433803684181,28.2862587380253,29.063554106649,28.350517453218,35.2386270376784,35.7347915688426,35.4596563433717,34.8466076248428,35.6168375091383,35.9549764124644,35.0851997634258,31.433803684181,28.2862587380253,29.063554106649,28.350517453218,35.2386270376784,35.7347915688426,35.4596563433717,34.8466076248428,35.6168375091383,35.9549764124644,35.0851997634258,29.2835334955183,35.4776916499643,35.3759053274678,4,3,4,0.00285142246111755,0.740768087859153,2.54493843371122,0.130317735242427,-6.19415815444594,0.101786322496437,FALSE,FALSE
"EFB1","YAL003W","EFB1",3,3,3,26.7,22.627,206,NA,NA,NA,NA,23.1229575050413,23.1317747107038,23.4490962396614,NA,NA,NA,22.8292930395406,23.7262137861432,21.4388242470141,21.5456986468333,21.6378164391076,23.1229575050413,23.1317747107038,23.4490962396614,21.5516901069594,21.4991265529831,21.4971173720241,22.8292930395406,22.0871382797745,23.2346094851355,21.8443067678768,0,3,1,0.125636174038201,0.0193522885226263,0.900885297515469,1.71326766971592,-1.14747120536098,1.39030271725872,FALSE,TRUE
"SSA1","YAL005C","SSA1",21,6,6,51.9,69.656,642,NA,25.7699153058454,25.3010350529749,25.3995978997709,24.5594671851959,24.9394816509674,24.7008113644647,25.4975921545081,25.3015584322808,25.5804366222485,24.7810675010444,23.8150789536336,25.7699153058454,25.3010350529749,25.3995978997709,24.5594671851959,24.9394816509674,24.7008113644647,25.4975921545081,25.3015584322808,25.5804366222485,24.7810675010444,25.0714068030562,24.7332534002094,25.2901636775204,3,3,4,0.49654941211851,0.0489147486231025,0.304037527948763,1.31056017400752,0.338153402846832,-0.556910277311076,FALSE,FALSE
"CDC19","YAL038W","CDC19",14,14,14,41,54.544,500,28.1293258645577,30.4131662113482,28.5273109087986,28.416834372437,27.0281256115827,27.7400179786019,27.2486193333152,27.1540253952516,27.6167378414275,27.9633938102513,26.9840279384423,28.1293258645577,30.4131662113482,28.5273109087986,28.416834372437,27.0281256115827,27.7400179786019,27.2486193333152,27.1540253952516,27.6167378414275,27.9633938102513,26.9840279384423,28.8716593392854,27.3389209744999,27.4295462463432,4,3,4,0.0538801896586381,0.779455038567334,1.2685708842268,0.108208931232381,1.53273836478545,-0.0906252718432512,FALSE,FALSE
"PTA1","YAL043C","PTA1",5,5,5,8.3,88.472,785,NA,23.9069236158996,23.9564201176651,24.3338814516261,22.9389793822788,23.1734850032544,22.952088549835,NA,NA,NA,NA,23.8622536307754,23.9069236158996,23.9564201176651,24.3338814516261,22.9389793822788,23.1734850032544,22.952088549835,21.636300921258,21.3976677119689,21.2927605764798,20.5495780798156,24.0148697039916,23.0215176451227,21.2190768223806,3,3,0,0.000717934962626947,0.0027576932791769,3.14391489649804,2.55945403930904,0.993352058868822,1.80244082274218,FALSE,TRUE
"HTB1","YDR224C;YBL002W","HTB1",4,4,4,41.2,14.252,131,25.4063939514105,25.7528961235438,25.8084047152221,25.7472464586847,27.2746210042471,27.0571370211022,26.9942083976106,26.3722550531914,26.0442270050825,25.5289805568788,25.8633934308538,25.4063939514105,25.7528961235438,25.8084047152221,25.7472464586847,27.2746210042471,27.0571370211022,26.9942083976106,26.3722550531914,26.0442270050825,25.5289805568788,25.8633934308538,25.6787353122153,27.10865547432,25.9522140115016,4,3,4,9.88300564058291e-05,0.00345561621008418,4.00511095676771,2.46147449741367,-1.42992016210469,1.15644146281836,FALSE,TRUE
"RPL19A","YBR084C-A;YBL027W","RPL19A",6,6,6,37.6,21.704,189,24.4268160177476,22.7255892650787,NA,22.7104920069432,28.3794370031837,26.726893956602,26.8705600080997,28.4455329767631,26.3637596705298,25.2296403042582,27.6260309327897,24.4268160177476,22.7255892650787,21.8388484087355,22.7104920069432,28.3794370031837,26.726893956602,26.8705600080997,28.4455329767631,26.3637596705298,25.2296403042582,27.6260309327897,22.9254364246262,27.3256303226285,26.9162409710852,3,3,4,0.00235900023709164,0.662331121749004,2.62727201546558,0.178924837756512,-4.40019389800223,0.409389351543282,FALSE,FALSE
"RPS8B","YER102W;YBL072C","RPS8B",4,4,4,39.5,22.489,200,NA,25.6804859395814,24.559933906876,24.4434160821126,26.3349896891716,26.3388533313485,26.4750489863823,26.7199932767636,26.3160846892326,25.4148684304269,26.1631929761542,23.8294174795095,25.6804859395814,24.559933906876,24.4434160821126,26.3349896891716,26.3388533313485,26.4750489863823,26.7199932767636,26.3160846892326,25.4148684304269,26.1631929761542,24.6283133520199,26.3829640023008,26.1535348431443,3,3,4,0.0190810854120129,0.464779737500073,1.71939692444113,0.332752813672211,-1.75465065028091,0.229429159156489,FALSE,FALSE
"ILS1","YBL076C","ILS1",5,5,5,5.7,122.98,1072,NA,24.9346310435584,23.105111797328,NA,NA,NA,NA,NA,NA,NA,NA,23.7608793579196,24.9346310435584,23.105111797328,21.3800433113864,20.9649920947931,20.8569549545518,21.2873976683905,21.4517701540314,21.6624631077696,21.5682630809166,20.6106589062026,23.2951663775481,21.0364482392451,21.3232888122301,2,0,0,0.0536016569360402,0.348755281888632,1.27082178517557,0.457479206291203,2.25871813830296,-0.286840572984918,FALSE,NA
"RPL23B","YER117W;YBL087C","RPL23B",5,5,5,43.8,14.473,137,NA,23.008093460754,23.0195235402299,22.8098034484365,26.2756513865438,25.5302612978508,25.6494917029882,25.0638575022734,24.4989923270315,24.9201169320141,25.4372372357789,23.7625900660325,23.008093460754,23.0195235402299,22.8098034484365,26.2756513865438,25.5302612978508,25.6494917029882,25.0638575022734,24.4989923270315,24.9201169320141,25.4372372357789,23.1500026288632,25.8184681291276,24.9800509992745,3,3,4,0.000552205368706742,0.0452523123006582,3.25789937533461,1.3443592243315,-2.6684655002644,0.838417129853163,FALSE,FALSE
