#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
97748	853318	852255	33632	32672	YJL124C	YBL026W	LSM1	LSM2	SPB8|L000004427	SMX5|SNP3|Sm-like protein LSM2|L000003168	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P47017	-	NP_012411	P38203	-	NP_009527	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
97756	856889	852255	36895	32672	YER146W	YBL026W	LSM5	LSM2	RNA-binding protein LSM5|L000004684	SMX5|SNP3|Sm-like protein LSM2|L000003168	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P40089	-	NP_011073	P38203	-	NP_009527	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
97765	855575	852255	35681	32672	YNL147W	YBL026W	LSM7	LSM2	Sm-like protein LSM7|L000004686	SMX5|SNP3|Sm-like protein LSM2|L000003168	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P53905	-	NP_014252	P38203	-	NP_009527	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
98422	852983	852255	33334	32672	YGR091W	YBL026W	PRP31	LSM2	L000002947	SMX5|SNP3|Sm-like protein LSM2|L000003168	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P49704	-	NP_011605	P38203	-	NP_009527	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
98474	856570	852255	36599	32672	YHR165C	YBL026W	PRP8	LSM2	DBF3|DNA39|RNA8|SLT21|USA2|U4/U6-U5 snRNP complex component PRP8|L000001500|L000003226	SMX5|SNP3|Sm-like protein LSM2|L000003168	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P33334	-	NP_012035	P38203	-	NP_009527	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
102650	853479	852255	33776	32672	YJR022W	YBL026W	LSM8	LSM2	L000004687	SMX5|SNP3|Sm-like protein LSM2|L000003168	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P47093	-	NP_012556	P38203	-	NP_009527	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
102651	852255	853479	32672	33776	YBL026W	YJR022W	LSM2	LSM8	SMX5|SNP3|Sm-like protein LSM2|L000003168	L000004687	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P38203	-	NP_009527	P47093	-	NP_012556	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
103173	852255	853318	32672	33632	YBL026W	YJL124C	LSM2	LSM1	SMX5|SNP3|Sm-like protein LSM2|L000003168	SPB8|L000004427	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P38203	-	NP_009527	P47017	-	NP_012411	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
103177	852255	855575	32672	35681	YBL026W	YNL147W	LSM2	LSM7	SMX5|SNP3|Sm-like protein LSM2|L000003168	Sm-like protein LSM7|L000004686	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P38203	-	NP_009527	P53905	-	NP_014252	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
103178	852255	856848	32672	36857	YBL026W	YER112W	LSM2	LSM4	SMX5|SNP3|Sm-like protein LSM2|L000003168	SDB23|USS1|L000002447	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P38203	-	NP_009527	P40070	-	NP_011037	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
103179	852255	851394	32672	31903	YBL026W	YDL160C	LSM2	DHH1	SMX5|SNP3|Sm-like protein LSM2|L000003168	DExD/H-box ATP-dependent RNA helicase DHH1|L000000504	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P38203	-	NP_009527	P39517	-	NP_010121	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
103180	852255	851461	32672	31965	YBL026W	YDL097C	LSM2	RPN6	SMX5|SNP3|Sm-like protein LSM2|L000003168	NAS4|proteasome regulatory particle lid subunit RPN6|L000004306	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P38203	-	NP_009527	Q12377	-	NP_010186	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
103181	852255	850440	32672	31052	YBL026W	YCR077C	LSM2	PAT1	SMX5|SNP3|Sm-like protein LSM2|L000003168	MRT1|L000001183|L000003214	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P38203	-	NP_009527	P25644	-	NP_010002	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
103182	852255	855310	32672	35446	YBL026W	YMR268C	LSM2	PRP24	SMX5|SNP3|Sm-like protein LSM2|L000003168	L000002842	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P38203	-	NP_009527	P49960	-	NP_013995	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
