#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
113554	854977	851470	35138	31972	YML031W	YDL088C	NDC1	ASM4	L000001237	NUP59|FG-nucleoporin ASM4|L000002642	Two-hybrid	physical	Uetz P (2000)	PUBMED:10688190	559292	559292	High Throughput	-	-	-	-	BIOGRID	P32500	-	NP_013681	Q05166	-	NP_010195	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
113555	854977	855184	35138	35328	YML031W	YMR153W	NDC1	NUP53	L000001237	FG-nucleoporin NUP53	Two-hybrid	physical	Uetz P (2000)	PUBMED:10688190	559292	559292	High Throughput	-	-	-	-	BIOGRID	P32500	-	NP_013681	Q03790	-	NP_013873	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
152578	855066	854977	35221	35138	YMR047C	YML031W	NUP116	NDC1	NSP116|FG-nucleoporin NUP116|L000001293	L000001237	Co-purification	physical	Rout MP (2000)	PUBMED:10684247	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q02630	-	NP_013762	P32500	-	NP_013681	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
153511	855159	854977	35306	35138	YMR129W	YML031W	POM152	NDC1	L000001464	L000001237	Co-fractionation	physical	Chial HJ (1998)	PUBMED:9864355	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P39685	-	NP_013848	P32500	-	NP_013681	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
154348	854977	855306	35138	35442	YML031W	YMR264W	NDC1	CUE1	L000001237	KIS4|L000003518	Dosage Rescue	genetic	McBratney S (2002)	PUBMED:12399372	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P32500	-	NP_013681	P38428	-	NP_013991	APO:0000148	cold sensitivity	phenotype	-	-	wild type	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
156451	854977	853928	35138	34185	YML031W	YKR054C	NDC1	DYN1	L000001237	DHC1|PAC6|dynein heavy chain|L000000538	Phenotypic Enhancement	genetic	Yeh E (2000)	PUBMED:11071919	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P32500	-	NP_013681	P36022	-	NP_012980	APO:0000050|APO:0000208	cellular morphology|chromosome segregation	phenotype|phenotype	-|-	-|-	-|-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
157991	853631	854977	33919	35138	YKL204W	YML031W	EAP1	NDC1	-	L000001237	Synthetic Lethality	genetic	Chial HJ (2000)	PUBMED:11114520	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P36041	-	NP_012718	P32500	-	NP_013681	APO:0000112	inviable	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
159372	854977	855306	35138	35442	YML031W	YMR264W	NDC1	CUE1	L000001237	KIS4|L000003518	Synthetic Rescue	genetic	McBratney S (2002)	PUBMED:12399372	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P32500	-	NP_013681	P38428	-	NP_013991	APO:0000148	cold sensitivity	phenotype	-	-	wild type	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
159774	854977	855159	35138	35306	YML031W	YMR129W	NDC1	POM152	L000001237	L000001464	Synthetic Rescue	genetic	Chial HJ (1998)	PUBMED:9864355	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P32500	-	NP_013681	P39685	-	NP_013848	APO:0000066|APO:0000148	cellular processes|cold sensitivity	phenotype|phenotype	-|-	-|-	wild type|wild type	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
160401	854977	856837	35138	36846	YML031W	YER100W	NDC1	UBC6	L000001237	DOA2|E2 ubiquitin-conjugating protein UBC6|L000002409	Synthetic Rescue	genetic	McBratney S (2002)	PUBMED:12399372	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P32500	-	NP_013681	P33296	-	NP_011026	APO:0000148	cold sensitivity	phenotype	-	-	wild type	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
160404	854977	855036	35138	35193	YML031W	YMR022W	NDC1	UBC7	L000001237	DER2|QRI8|E2 ubiquitin-conjugating protein UBC7|L000001552	Synthetic Rescue	genetic	McBratney S (2002)	PUBMED:12399372	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P32500	-	NP_013681	Q02159	-	NP_013735	APO:0000148	cold sensitivity	phenotype	-	-	wild type	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
162078	854977	850552	35138	31150	YML031W	YFR002W	NDC1	NIC96	L000001237	linker nucleoporin NIC96|L000001250	Synthetic Growth Defect	genetic	Lau CK (2004)	PUBMED:15075274	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P32500	-	NP_013681	P34077	-	NP_116657	APO:0000106	vegetative growth	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
185157	855267	854977	35405	35138	YMR227C	YML031W	TAF7	NDC1	TAF67|TafII67|L000003463	L000001237	Affinity Capture-MS	physical	Krogan NJ (2006)	PUBMED:16554755	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q05021	-	NP_013954	P32500	-	NP_013681	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
185558	855412	854977	35535	35138	YNL304W	YML031W	YPT11	NDC1	Rab family GTPase YPT11	L000001237	Affinity Capture-MS	physical	Krogan NJ (2006)	PUBMED:16554755	559292	559292	High Throughput	-	-	-	-	BIOGRID	P48559	-	NP_014095	P32500	-	NP_013681	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
186181	855926	854977	36006	35138	YPL177C	YML031W	CUP9	NDC1	L000000442	L000001237	Affinity Capture-MS	physical	Krogan NJ (2006)	PUBMED:16554755	559292	559292	High Throughput	-	-	-	-	BIOGRID	P41817	-	NP_015148	P32500	-	NP_013681	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
199784	853522	854977	33816	35138	YJR059W	YML031W	PTK2	NDC1	STK2|protein kinase PTK2|L000003492	L000001237	Biochemical Activity	physical	Ptacek J (2005)	PUBMED:16319894	559292	559292	High Throughput	-	Phosphorylation	32P incorporation on protein chip	-	BIOGRID	P47116	-	NP_012593	P32500	-	NP_013681	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
202676	854977	852805	35138	33175	YML031W	YGL075C	NDC1	MPS2	L000001237	MMC1|L000004546|L000004250	Dosage Rescue	genetic	Araki Y (2006)	PUBMED:16436507	559292	559292	Low Throughput	-	-	Dosage suppressor of ndc1-39	-	BIOGRID	P32500	-	NP_013681	P53159	-	NP_011440	APO:0000147	heat sensitivity	phenotype	-	-	partial rescue	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
202677	854977	851180	35138	31716	YML031W	YLR457C	NDC1	NBP1	L000001237	L000001234	Dosage Rescue	genetic	Araki Y (2006)	PUBMED:16436507	559292	559292	Low Throughput	-	-	Dosage suppressor of ndc1-39	-	BIOGRID	P32500	-	NP_013681	P52919	-	NP_013562	APO:0000147	heat sensitivity	phenotype	-	-	partial rescue	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
202682	854977	851180	35138	31716	YML031W	YLR457C	NDC1	NBP1	L000001237	L000001234	Two-hybrid	physical	Araki Y (2006)	PUBMED:16436507	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P32500	-	NP_013681	P52919	-	NP_013562	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
204571	854977	850705	35138	31292	YML031W	YLR018C	NDC1	POM34	L000001237	-	Phenotypic Suppression	genetic	Madrid AS (2006)	PUBMED:16682526	559292	559292	Low Throughput	-	-	increased growth of GAL-NDC1 when pom34 is deleted	-	BIOGRID	P32500	-	NP_013681	Q12445	-	NP_013118	APO:0000111	viability	phenotype	-	-	partial rescue	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
237655	854977	855184	35138	35328	YML031W	YMR153W	NDC1	NUP53	L000001237	FG-nucleoporin NUP53	Two-hybrid	physical	Ito T (2001)	PUBMED:11283351	559292	559292	High Throughput	-	-	-	-	BIOGRID	P32500	-	NP_013681	Q03790	-	NP_013873	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
