#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
97074	855253	856732	35391	36745	YMR213W	YER013W	CEF1	PRP22	NTC85|L000004270	DEAH-box ATP-dependent RNA helicase PRP22|L000001508	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q03654	-	NP_013940	P24384	-	NP_010929	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
133900	855253	856732	35391	36745	YMR213W	YER013W	CEF1	PRP22	NTC85|L000004270	DEAH-box ATP-dependent RNA helicase PRP22|L000001508	Affinity Capture-MS	physical	Ohi MD (2002)	PUBMED:11884590	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q03654	-	NP_013940	P24384	-	NP_010929	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
134854	850623	856732	31217	36745	YLL036C	YER013W	PRP19	PRP22	PSO4|E3 ubiquitin-protein ligase PRP19|L000001506	DEAH-box ATP-dependent RNA helicase PRP22|L000001508	Affinity Capture-MS	physical	Ohi MD (2002)	PUBMED:11884590	559292	559292	High Throughput	-	-	-	-	BIOGRID	P32523	-	NP_013064	P24384	-	NP_010929	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
142307	853961	856732	34217	36745	YKR086W	YER013W	PRP16	PRP22	PRP23|RNA16|DEAH-box RNA helicase PRP16|L000001504	DEAH-box ATP-dependent RNA helicase PRP22|L000001508	Two-hybrid	physical	van Nues RW (2001)	PUBMED:11290703	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P15938	-	NP_013012	P24384	-	NP_010929	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
142324	856732	850808	36745	31389	YER013W	YLR117C	PRP22	CLF1	DEAH-box ATP-dependent RNA helicase PRP22|L000001508	NTC77|SYF3|L000004628	Two-hybrid	physical	Ben-Yehuda S (2000)	PUBMED:11102353	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P24384	-	NP_010929	Q12309	-	NP_013218	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
142768	851661	856732	32144	36745	YDR088C	YER013W	SLU7	PRP22	SLT17|L000001922	DEAH-box ATP-dependent RNA helicase PRP22|L000001508	Two-hybrid	physical	van Nues RW (2001)	PUBMED:11290703	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q02775	-	NP_010373	P24384	-	NP_010929	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
145686	856732	851201	36745	31734	YER013W	YAL032C	PRP22	PRP45	DEAH-box ATP-dependent RNA helicase PRP22|L000001508	FUN20|mRNA splicing protein PRP45|L000000638	Two-hybrid	physical	Albers M (2003)	PUBMED:12554883	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P24384	-	NP_010929	P28004	-	NP_009370	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
145687	856732	850808	36745	31389	YER013W	YLR117C	PRP22	CLF1	DEAH-box ATP-dependent RNA helicase PRP22|L000001508	NTC77|SYF3|L000004628	Two-hybrid	physical	Albers M (2003)	PUBMED:12554883	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P24384	-	NP_010929	Q12309	-	NP_013218	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
145688	856732	856720	36745	36733	YER013W	YER003C	PRP22	PMI40	DEAH-box ATP-dependent RNA helicase PRP22|L000001508	mannose-6-phosphate isomerase PMI40|PMI|L000001452	Two-hybrid	physical	Albers M (2003)	PUBMED:12554883	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P24384	-	NP_010929	P29952	-	NP_010918	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
145689	856732	853894	36745	34156	YER013W	YKR024C	PRP22	DBP7	DEAH-box ATP-dependent RNA helicase PRP22|L000001508	L000004205	Two-hybrid	physical	Albers M (2003)	PUBMED:12554883	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P24384	-	NP_010929	P36120	-	NP_012949	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
