#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
137290	855934	851737	36014	32210	YPL169C	YDR159W	MEX67	SAC3	L000004314	LEP1|L000001792	Affinity Capture-Western	physical	Lei EP (2003)	PUBMED:12631707	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q99257	-	NP_015156	P46674	-	NP_010443	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
137291	855934	855066	36014	35221	YPL169C	YMR047C	MEX67	NUP116	L000004314	NSP116|FG-nucleoporin NUP116|L000001293	Affinity Capture-Western	physical	Strawn LA (2001)	PUBMED:11104765	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q99257	-	NP_015156	Q02630	-	NP_013762	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
138942	853649	855934	33936	36014	YKL186C	YPL169C	MTR2	MEX67	L000002934	L000004314	Affinity Capture-Western	physical	Santos-Rosa H (1998)	PUBMED:9774696	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P34232	-	NP_012735	Q99257	-	NP_015156	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
139605	853409	855934	33717	36014	YJL041W	YPL169C	NSP1	MEX67	FG-nucleoporin NSP1|L000001277	L000004314	Affinity Capture-Western	physical	Straesser K (2000)	PUBMED:10952996	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P14907	-	NP_012494	Q99257	-	NP_015156	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
139610	855066	855934	35221	36014	YMR047C	YPL169C	NUP116	MEX67	NSP116|FG-nucleoporin NUP116|L000001293	L000004314	Affinity Capture-Western	physical	Straesser K (2000)	PUBMED:10952996	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q02630	-	NP_013762	Q99257	-	NP_015156	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
139612	854691	855934	34876	36014	YIL115C	YPL169C	NUP159	MEX67	NUP158|RAT7|FG-nucleoporin NUP159|L000002782	L000004314	Affinity Capture-Western	physical	Straesser K (2000)	PUBMED:10952996	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P40477	-	NP_012151	Q99257	-	NP_015156	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
139878	851988	855934	32441	36014	YDR381W	YPL169C	YRA1	MEX67	SHE11|RNA-binding protein YRA1|L000002959|L000002873	L000004314	Affinity Capture-Western	physical	Straesser K (2001)	PUBMED:11675790	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q12159	-	NP_010669	Q99257	-	NP_015156	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
139879	851988	855934	32441	36014	YDR381W	YPL169C	YRA1	MEX67	SHE11|RNA-binding protein YRA1|L000002959|L000002873	L000004314	Affinity Capture-Western	physical	Zenklusen D (2001)	PUBMED:11390651	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q12159	-	NP_010669	Q99257	-	NP_015156	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
139903	853649	855934	33936	36014	YKL186C	YPL169C	MTR2	MEX67	L000002934	L000004314	Affinity Capture-Western	physical	Straesser K (2000)	PUBMED:10952996	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P34232	-	NP_012735	Q99257	-	NP_015156	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
140289	855934	855066	36014	35221	YPL169C	YMR047C	MEX67	NUP116	L000004314	NSP116|FG-nucleoporin NUP116|L000001293	Reconstituted Complex	physical	Strawn LA (2001)	PUBMED:11104765	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q99257	-	NP_015156	Q02630	-	NP_013762	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
140758	851988	855934	32441	36014	YDR381W	YPL169C	YRA1	MEX67	SHE11|RNA-binding protein YRA1|L000002959|L000002873	L000004314	Reconstituted Complex	physical	Stutz F (2000)	PUBMED:10786854	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q12159	-	NP_010669	Q99257	-	NP_015156	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
140759	851988	855934	32441	36014	YDR381W	YPL169C	YRA1	MEX67	SHE11|RNA-binding protein YRA1|L000002959|L000002873	L000004314	Reconstituted Complex	physical	Straesser K (2000)	PUBMED:10722314	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q12159	-	NP_010669	Q99257	-	NP_015156	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
140930	855934	853649	36014	33936	YPL169C	YKL186C	MEX67	MTR2	L000004314	L000002934	Reconstituted Complex	physical	Santos-Rosa H (1998)	PUBMED:9774696	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q99257	-	NP_015156	P34232	-	NP_012735	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
142078	855066	855934	35221	36014	YMR047C	YPL169C	NUP116	MEX67	NSP116|FG-nucleoporin NUP116|L000001293	L000004314	Two-hybrid	physical	Strawn LA (2001)	PUBMED:11104765	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q02630	-	NP_013762	Q99257	-	NP_015156	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
145750	855934	856912	36014	36918	YPL169C	YER165W	MEX67	PAB1	L000004314	polyadenylate-binding protein|L000001327	Reconstituted Complex	physical	Allen NP (2002)	PUBMED:12543930	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q99257	-	NP_015156	P04147	-	NP_011092	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
145804	853796	855934	34065	36014	YKL068W	YPL169C	NUP100	MEX67	NSP100|FG-nucleoporin NUP100|[NUP100+]|L000001292	L000004314	Affinity Capture-MS	physical	Allen NP (2002)	PUBMED:12543930	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q02629	-	NP_012855	Q99257	-	NP_015156	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
145805	853796	855934	34065	36014	YKL068W	YPL169C	NUP100	MEX67	NSP100|FG-nucleoporin NUP100|[NUP100+]|L000001292	L000004314	Affinity Capture-MS	physical	Allen NP (2001)	PUBMED:11387327	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q02629	-	NP_012855	Q99257	-	NP_015156	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
145983	851737	855934	32210	36014	YDR159W	YPL169C	SAC3	MEX67	LEP1|L000001792	L000004314	Reconstituted Complex	physical	Fischer T (2002)	PUBMED:12411502	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P46674	-	NP_010443	Q99257	-	NP_015156	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
