#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
101375	853718	855728	33997	35821	YKL139W	YNL004W	CTK1	HRB1	cyclin-dependent serine/threonine protein kinase CTK1|L000000432	TOM34|L000002318	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q03957	-	NP_012783	P38922	-	NP_014394	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
103520	854731	855728	34913	35821	YIL079C	YNL004W	AIR1	HRB1	S000028413	TOM34|L000002318	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P40507	-	NP_012186	P38922	-	NP_014394	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
138940	854331	855728	34556	35821	YOR160W	YNL004W	MTR10	HRB1	KAP111|L000003296	TOM34|L000002318	Affinity Capture-Western	physical	Senger B (1998)	PUBMED:9545233	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q99189	-	NP_014803	P38922	-	NP_014394	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
145473	851716	855728	32192	35821	YDR138W	YNL004W	HPR1	HRB1	TRF1|L000000808	TOM34|L000002318	Affinity Capture-MS	physical	Hurt E (2004)	PUBMED:14769921	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P17629	-	NP_010422	P38922	-	NP_014394	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
145474	855728	851716	35821	32192	YNL004W	YDR138W	HRB1	HPR1	TOM34|L000002318	TRF1|L000000808	Affinity Capture-MS	physical	Hurt E (2004)	PUBMED:14769921	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P38922	-	NP_014394	P17629	-	NP_010422	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
145484	851475	855728	31977	35821	YDL084W	YNL004W	SUB2	HRB1	ATP-dependent RNA helicase SUB2|L000004574	TOM34|L000002318	Affinity Capture-MS	physical	Hurt E (2004)	PUBMED:14769921	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q07478	-	NP_010199	P38922	-	NP_014394	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
145485	855728	851475	35821	31977	YNL004W	YDL084W	HRB1	SUB2	TOM34|L000002318	ATP-dependent RNA helicase SUB2|L000004574	Affinity Capture-MS	physical	Hurt E (2004)	PUBMED:14769921	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P38922	-	NP_014394	Q07478	-	NP_010199	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
145494	850346	855728	30970	35821	YCL011C	YNL004W	GBP2	HRB1	RLF6|L000002609|L000003049	TOM34|L000002318	Affinity Capture-MS	physical	Hurt E (2004)	PUBMED:14769921	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P25555	-	NP_009916	P38922	-	NP_014394	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
145495	855728	850346	35821	30970	YNL004W	YCL011C	HRB1	GBP2	TOM34|L000002318	RLF6|L000002609|L000003049	Affinity Capture-MS	physical	Hurt E (2004)	PUBMED:14769921	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P38922	-	NP_014394	P25555	-	NP_009916	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
145499	855728	855468	35821	35586	YNL004W	YNL253W	HRB1	TEX1	TOM34|L000002318	-	Affinity Capture-MS	physical	Hurt E (2004)	PUBMED:14769921	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P38922	-	NP_014394	P53851	-	NP_014146	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
145500	855728	855583	35821	35687	YNL004W	YNL139C	HRB1	THO2	TOM34|L000002318	LDB5|RLR1|ZRG13|L000002589	Affinity Capture-MS	physical	Hurt E (2004)	PUBMED:14769921	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P38922	-	NP_014394	P53552	-	NP_014260	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
145501	855728	854940	35821	35104	YNL004W	YML062C	HRB1	MFT1	TOM34|L000002318	MFT52|L000001099	Affinity Capture-MS	physical	Hurt E (2004)	PUBMED:14769921	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P38922	-	NP_014394	P33441	-	NP_013649	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
145502	855728	856572	35821	36601	YNL004W	YHR167W	HRB1	THP2	TOM34|L000002318	-	Affinity Capture-MS	physical	Hurt E (2004)	PUBMED:14769921	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P38922	-	NP_014394	O13539	-	NP_012037	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
145503	855728	851988	35821	32441	YNL004W	YDR381W	HRB1	YRA1	TOM34|L000002318	SHE11|RNA-binding protein YRA1|L000002959|L000002873	Affinity Capture-MS	physical	Hurt E (2004)	PUBMED:14769921	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P38922	-	NP_014394	Q12159	-	NP_010669	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
145512	855728	852308	35821	32723	YNL004W	YBR020W	HRB1	GAL1	TOM34|L000002318	galactokinase|L000000658	Affinity Capture-RNA	physical	Hurt E (2004)	PUBMED:14769921	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P38922	-	NP_014394	P04385	-	NP_009576	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
145513	855728	852876	35821	33238	YNL004W	YGL008C	HRB1	PMA1	TOM34|L000002318	KTI10|H(+)-exporting P2-type ATPase PMA1|L000001449	Affinity Capture-RNA	physical	Hurt E (2004)	PUBMED:14769921	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P38922	-	NP_014394	P05030	-	NP_011507	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
145514	855728	856677	35821	36695	YNL004W	YEL034W	HRB1	HYP2	TOM34|L000002318	TIF51A|translation elongation factor eIF-5A|eIF-5A|eIF5A|L000000847|L000002307	Affinity Capture-RNA	physical	Hurt E (2004)	PUBMED:14769921	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P38922	-	NP_014394	P23301	-	NP_010880	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
145515	855728	853587	35821	33879	YNL004W	YJR123W	HRB1	RPS5	TOM34|L000002318	ribosomal 40S subunit protein S5|S7|rp14|YS8|S5|S2|L000002821	Affinity Capture-RNA	physical	Hurt E (2004)	PUBMED:14769921	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P38922	-	NP_014394	P26783	-	NP_012657	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
145516	855728	855611	35821	35713	YNL004W	YNL112W	HRB1	DBP2	TOM34|L000002318	DEAD-box ATP-dependent RNA helicase DBP2|L000000493	Affinity Capture-RNA	physical	Hurt E (2004)	PUBMED:14769921	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P38922	-	NP_014394	P24783	-	NP_014287	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
145517	855728	850504	35821	31107	YNL004W	YFL039C	HRB1	ACT1	TOM34|L000002318	ABY1|END7|actin|L000000025	Affinity Capture-RNA	physical	Hurt E (2004)	PUBMED:14769921	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P38922	-	NP_014394	P60010	-	NP_116614	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
145533	855728	853718	35821	33997	YNL004W	YKL139W	HRB1	CTK1	TOM34|L000002318	cyclin-dependent serine/threonine protein kinase CTK1|L000000432	Affinity Capture-Western	physical	Hurt E (2004)	PUBMED:14769921	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P38922	-	NP_014394	Q03957	-	NP_012783	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
151777	852322	855728	32735	35821	YBR034C	YNL004W	HMT1	HRB1	HCP1|ODP1|RMT1|protein-arginine omega-N  methyltransferase HMT1|L000002808|L000001296	TOM34|L000002318	Biochemical Activity	physical	Shen EC (1998)	PUBMED:9499403	559292	559292	Low Throughput	-	Methylation	-	-	BIOGRID	P38074	-	NP_009590	P38922	-	NP_014394	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
181537	851716	855728	32192	35821	YDR138W	YNL004W	HPR1	HRB1	TRF1|L000000808	TOM34|L000002318	Affinity Capture-MS	physical	Krogan NJ (2006)	PUBMED:16554755	559292	559292	High Throughput	-	-	-	-	BIOGRID	P17629	-	NP_010422	P38922	-	NP_014394	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
182382	856911	855728	36917	35821	YER164W	YNL004W	CHD1	HRB1	chromatin-remodeling ATPase CHD1|L000003467	TOM34|L000002318	Affinity Capture-MS	physical	Krogan NJ (2006)	PUBMED:16554755	559292	559292	High Throughput	-	-	-	-	BIOGRID	P32657	-	NP_011091	P38922	-	NP_014394	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
184886	854940	855728	35104	35821	YML062C	YNL004W	MFT1	HRB1	MFT52|L000001099	TOM34|L000002318	Affinity Capture-MS	physical	Krogan NJ (2006)	PUBMED:16554755	559292	559292	High Throughput	-	-	-	-	BIOGRID	P33441	-	NP_013649	P38922	-	NP_014394	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
186401	856290	855728	36334	35821	YPR161C	YNL004W	SGV1	HRB1	BUR1|cyclin-dependent serine/threonine protein kinase SGV1|L000001878	TOM34|L000002318	Affinity Capture-MS	physical	Krogan NJ (2006)	PUBMED:16554755	559292	559292	High Throughput	-	-	-	-	BIOGRID	P23293	-	NP_015487	P38922	-	NP_014394	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
186585	850423	855728	31036	35821	YCR059C	YNL004W	YIH1	HRB1	-	TOM34|L000002318	Affinity Capture-MS	physical	Krogan NJ (2006)	PUBMED:16554755	559292	559292	High Throughput	-	-	-	-	BIOGRID	P25637	-	NP_009985	P38922	-	NP_014394	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
