#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
97553	853986	854497	34242	34705	YOL133W	YOR319W	HRT1	HSH49	HRT2|RBX1|ROC1|SCF ubiquitin ligase complex subunit HRT1|L000004443	L000003014	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q08273	-	NP_014508	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
100508	854497	856911	34705	36917	YOR319W	YER164W	HSH49	CHD1	L000003014	chromatin-remodeling ATPase CHD1|L000003467	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q99181	-	NP_014964	P32657	-	NP_011091	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
100509	854497	856318	34705	36360	YOR319W	YPR188C	HSH49	MLC2	L000003014	S000007532	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q99181	-	NP_014964	Q06580	-	NP_015514	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
100510	854497	854956	34705	35119	YOR319W	YML049C	HSH49	RSE1	L000003014	L000004030	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q99181	-	NP_014964	Q04693	-	NP_013663	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
101397	850934	854497	31502	34705	YLR233C	YOR319W	EST1	HSH49	L000000588	L000003014	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P17214	-	NP_013334	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
102152	854497	851733	34705	32207	YOR319W	YDR155C	HSH49	CPR1	L000003014	CPH1|CYP1|peptidylprolyl isomerase CPR1|L000002663	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q99181	-	NP_014964	P14832	-	NP_010439	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
102517	855587	854497	35691	34705	YNL135C	YOR319W	FPR1	HSH49	FKB1|RBP1|peptidylprolyl isomerase FPR1|L000000623	L000003014	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P20081	-	NP_014264	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
113441	854497	852399	34705	32807	YOR319W	YBR103W	HSH49	SIF2	L000003014	EMB1	Two-hybrid	physical	Uetz P (2000)	PUBMED:10688190	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q99181	-	NP_014964	P38262	-	NP_009661	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
113500	853479	854497	33776	34705	YJR022W	YOR319W	LSM8	HSH49	L000004687	L000003014	Two-hybrid	physical	Uetz P (2000)	PUBMED:10688190	559292	559292	High Throughput	-	-	-	-	BIOGRID	P47093	-	NP_012556	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
113963	852783	854497	33154	34705	YGL096W	YOR319W	TOS8	HSH49	-	L000003014	Two-hybrid	physical	Uetz P (2000)	PUBMED:10688190	559292	559292	High Throughput	-	-	-	-	BIOGRID	P53147	-	NP_011419	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
141818	853479	854497	33776	34705	YJR022W	YOR319W	LSM8	HSH49	L000004687	L000003014	Two-hybrid	physical	Fromont-Racine M (2000)	PUBMED:10900456	559292	559292	High Throughput	-	-	-	-	BIOGRID	P47093	-	NP_012556	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
141819	854497	853479	34705	33776	YOR319W	YJR022W	HSH49	LSM8	L000003014	L000004687	Two-hybrid	physical	Fromont-Racine M (2000)	PUBMED:10900456	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q99181	-	NP_014964	P47093	-	NP_012556	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
141820	853479	854497	33776	34705	YJR022W	YOR319W	LSM8	HSH49	L000004687	L000003014	Two-hybrid	physical	Fromont-Racine M (1997)	PUBMED:9207794	559292	559292	High Throughput	-	-	-	-	BIOGRID	P47093	-	NP_012556	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
141821	854497	853479	34705	33776	YOR319W	YJR022W	HSH49	LSM8	L000003014	L000004687	Two-hybrid	physical	Fromont-Racine M (1997)	PUBMED:9207794	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q99181	-	NP_014964	P47093	-	NP_012556	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
146266	855281	854497	35419	34705	YMR240C	YOR319W	CUS1	HSH49	L000002833	L000003014	Two-hybrid	physical	Pauling MH (2000)	PUBMED:10688664	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q02554	-	NP_013967	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
146267	854497	855281	34705	35419	YOR319W	YMR240C	HSH49	CUS1	L000003014	L000002833	Reconstituted Complex	physical	Pauling MH (2000)	PUBMED:10688664	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q99181	-	NP_014964	Q02554	-	NP_013967	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
146272	855281	854497	35419	34705	YMR240C	YOR319W	CUS1	HSH49	L000002833	L000003014	Affinity Capture-Western	physical	Igel H (1998)	PUBMED:9436903	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q02554	-	NP_013967	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
146273	854497	855281	34705	35419	YOR319W	YMR240C	HSH49	CUS1	L000003014	L000002833	Two-hybrid	physical	Igel H (1998)	PUBMED:9436903	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q99181	-	NP_014964	Q02554	-	NP_013967	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
147925	854956	854497	35119	34705	YML049C	YOR319W	RSE1	HSH49	L000004030	L000003014	Affinity Capture-MS	physical	Dziembowski A (2004)	PUBMED:15565172	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q04693	-	NP_013663	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
148311	855281	854497	35419	34705	YMR240C	YOR319W	CUS1	HSH49	L000002833	L000003014	Two-hybrid	physical	Fromont-Racine M (1997)	PUBMED:9207794	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q02554	-	NP_013967	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
148312	854497	855281	34705	35419	YOR319W	YMR240C	HSH49	CUS1	L000003014	L000002833	Two-hybrid	physical	Fromont-Racine M (1997)	PUBMED:9207794	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q99181	-	NP_014964	Q02554	-	NP_013967	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
148316	854497	852947	34705	33301	YOR319W	YGR056W	HSH49	RSC1	L000003014	RSC subunit protein RSC1|L000004024	Two-hybrid	physical	Fromont-Racine M (1997)	PUBMED:9207794	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q99181	-	NP_014964	P53236	-	NP_011570	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
148317	854497	856616	34705	36643	YOR319W	YHR209W	HSH49	CRG1	L000003014	-	Two-hybrid	physical	Fromont-Racine M (1997)	PUBMED:9207794	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q99181	-	NP_014964	P38892	-	NP_012079	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
151203	855161	854497	35308	34705	YMR131C	YOR319W	RRB1	HSH49	-	L000003014	Affinity Capture-MS	physical	Schaper S (2001)	PUBMED:11728313	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q04225	-	NP_013850	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
152433	850623	854497	31217	34705	YLL036C	YOR319W	PRP19	HSH49	PSO4|E3 ubiquitin-protein ligase PRP19|L000001506	L000003014	Co-purification	physical	Stevens SW (2002)	PUBMED:11804584	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P32523	-	NP_013064	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
185200	855281	854497	35419	34705	YMR240C	YOR319W	CUS1	HSH49	L000002833	L000003014	Affinity Capture-MS	physical	Krogan NJ (2006)	PUBMED:16554755	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q02554	-	NP_013967	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
186030	854497	854956	34705	35119	YOR319W	YML049C	HSH49	RSE1	L000003014	L000004030	Affinity Capture-MS	physical	Krogan NJ (2006)	PUBMED:16554755	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q99181	-	NP_014964	Q04693	-	NP_013663	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187478	856751	854497	36764	34705	YER029C	YOR319W	SMB1	HSH49	Sm B|SmB|L000004361	L000003014	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	P40018	-	NP_010946	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187625	853227	854497	33555	34705	YJL203W	YOR319W	PRP21	HSH49	SPP91|L000001507	L000003014	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	P32524	-	NP_012332	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
187680	854956	854497	35119	34705	YML049C	YOR319W	RSE1	HSH49	L000004030	L000003014	Affinity Capture-MS	physical	Gavin AC (2006)	PUBMED:16429126	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q04693	-	NP_013663	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
204192	854821	854497	34996	34705	YIR005W	YOR319W	IST3	HSH49	SNU17	L000003014	Affinity Capture-MS	physical	Wang Q (2005)	PUBMED:16314500	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P40565	-	NP_012270	Q99181	-	NP_014964	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
