#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
97255	855605	854016	35708	34268	YNL118C	YOL149W	DCP2	DCP1	PSU1|decapping enzyme complex catalytic subunit DCP1|L000002866	MRT2|L000002960|L000003045|S000029311	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P53550	-	NP_014281	Q12517	-	NP_014492	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
97256	855605	854883	35708	35052	YNL118C	YML091C	DCP2	RPM2	PSU1|decapping enzyme complex catalytic subunit DCP1|L000002866	L000001743	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P53550	-	NP_014281	Q02773	-	NP_013619	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
97257	855605	856700	35708	36716	YNL118C	YEL015W	DCP2	EDC3	PSU1|decapping enzyme complex catalytic subunit DCP1|L000002866	DCP3|LSM16	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P53550	-	NP_014281	P39998	-	NP_010901	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
97745	853318	855605	33632	35708	YJL124C	YNL118C	LSM1	DCP2	SPB8|L000004427	PSU1|decapping enzyme complex catalytic subunit DCP1|L000002866	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P47017	-	NP_012411	P53550	-	NP_014281	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
99924	851632	855605	32115	35708	YDR060W	YNL118C	MAK21	DCP2	NOC1|L000000993	PSU1|decapping enzyme complex catalytic subunit DCP1|L000002866	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q12176	-	NP_010345	P53550	-	NP_014281	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
100187	855897	855605	35980	35708	YPL204W	YNL118C	HRR25	DCP2	KTI14|serine/threonine protein kinase HRR25|L000000810	PSU1|decapping enzyme complex catalytic subunit DCP1|L000002866	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P29295	-	NP_015120	P53550	-	NP_014281	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
102816	850440	855605	31052	35708	YCR077C	YNL118C	PAT1	DCP2	MRT1|L000001183|L000003214	PSU1|decapping enzyme complex catalytic subunit DCP1|L000002866	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P25644	-	NP_010002	P53550	-	NP_014281	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
113357	855605	854016	35708	34268	YNL118C	YOL149W	DCP2	DCP1	PSU1|decapping enzyme complex catalytic subunit DCP1|L000002866	MRT2|L000002960|L000003045|S000029311	Two-hybrid	physical	Uetz P (2000)	PUBMED:10688190	559292	559292	High Throughput	-	-	-	-	BIOGRID	P53550	-	NP_014281	Q12517	-	NP_014492	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
113358	855605	856700	35708	36716	YNL118C	YEL015W	DCP2	EDC3	PSU1|decapping enzyme complex catalytic subunit DCP1|L000002866	DCP3|LSM16	Two-hybrid	physical	Uetz P (2000)	PUBMED:10688190	559292	559292	High Throughput	-	-	-	-	BIOGRID	P53550	-	NP_014281	P39998	-	NP_010901	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
136879	854016	855605	34268	35708	YOL149W	YNL118C	DCP1	DCP2	MRT2|L000002960|L000003045|S000029311	PSU1|decapping enzyme complex catalytic subunit DCP1|L000002866	Affinity Capture-Western	physical	Dunckley T (1999)	PUBMED:10508173	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q12517	-	NP_014492	P53550	-	NP_014281	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
