#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
96677	853806	850806	34074	31387	YKL059C	YLR115W	MPE1	CFT2	-	YDH1|L000003599	Affinity Capture-MS	physical	Krogan NJ (2004)	PUBMED:14759368	559292	559292	High Throughput	-	-	-	-	BIOGRID	P35728	-	NP_012864	Q12102	-	NP_013216	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
96678	853806	851255	34074	31784	YKL059C	YAL043C	MPE1	PTA1	-	FUN39|RNA-processing protein PTA1|L000001522	Affinity Capture-MS	physical	Krogan NJ (2004)	PUBMED:14759368	559292	559292	High Throughput	-	-	-	-	BIOGRID	P35728	-	NP_012864	Q01329	-	NP_009356	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
96679	851255	853806	31784	34074	YAL043C	YKL059C	PTA1	MPE1	FUN39|RNA-processing protein PTA1|L000001522	-	Affinity Capture-MS	physical	Krogan NJ (2004)	PUBMED:14759368	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q01329	-	NP_009356	P35728	-	NP_012864	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
96680	853806	850983	34074	31545	YKL059C	YLR277C	MPE1	YSH1	-	BRR5|L000003344	Affinity Capture-MS	physical	Krogan NJ (2004)	PUBMED:14759368	559292	559292	High Throughput	-	-	-	-	BIOGRID	P35728	-	NP_012864	Q06224	-	NP_013379	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
97119	851895	853806	32353	34074	YDR301W	YKL059C	CFT1	MPE1	YHH1|L000003600	-	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q06632	-	NP_010587	P35728	-	NP_012864	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
97120	853806	851895	34074	32353	YKL059C	YDR301W	MPE1	CFT1	-	YHH1|L000003600	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P35728	-	NP_012864	Q06632	-	NP_010587	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
97132	850806	853806	31387	34074	YLR115W	YKL059C	CFT2	MPE1	YDH1|L000003599	-	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q12102	-	NP_013216	P35728	-	NP_012864	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
97133	853806	850806	34074	31387	YKL059C	YLR115W	MPE1	CFT2	-	YDH1|L000003599	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P35728	-	NP_012864	Q12102	-	NP_013216	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
97407	853555	853806	33847	34074	YJR093C	YKL059C	FIP1	MPE1	L000002775	-	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P45976	-	NP_012626	P35728	-	NP_012864	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
97408	853806	853555	34074	33847	YKL059C	YJR093C	MPE1	FIP1	-	L000002775	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P35728	-	NP_012864	P45976	-	NP_012626	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
