#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
97817	852439	851114	32842	31657	YBR142W	YLR398C	MAK5	SKI2	L000000979	SKI complex RNA helicase subunit SKI2|L000001903	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P38112	-	NP_009700	P35207	-	NP_013502	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
99051	851874	851114	32333	31657	YDR280W	YLR398C	RRP45	SKI2	exosome non-catalytic core subunit RRP45|L000004578	SKI complex RNA helicase subunit SKI2|L000001903	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q05636	-	NP_010566	P35207	-	NP_013502	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
102378	852659	851114	33043	31657	YGL213C	YLR398C	SKI8	SKI2	REC103|SKI complex subunit WD repeat protein SKI8|L000001906	SKI complex RNA helicase subunit SKI2|L000001903	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q02793	-	NP_011302	P35207	-	NP_013502	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
137972	851114	856319	31657	36361	YLR398C	YPR189W	SKI2	SKI3	SKI complex RNA helicase subunit SKI2|L000001903	SKI5|SKI complex subunit tetratricopeptide repeat protein SKI3|L000001904	Affinity Capture-Western	physical	Brown JT (2000)	PUBMED:10744028	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P35207	-	NP_013502	P17883	-	NP_015515	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
137973	851114	852659	31657	33043	YLR398C	YGL213C	SKI2	SKI8	SKI complex RNA helicase subunit SKI2|L000001903	REC103|SKI complex subunit WD repeat protein SKI8|L000001906	Affinity Capture-Western	physical	Brown JT (2000)	PUBMED:10744028	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P35207	-	NP_013502	Q02793	-	NP_011302	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
137974	852659	851114	33043	31657	YGL213C	YLR398C	SKI8	SKI2	REC103|SKI complex subunit WD repeat protein SKI8|L000001906	SKI complex RNA helicase subunit SKI2|L000001903	Affinity Capture-Western	physical	Brown JT (2000)	PUBMED:10744028	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q02793	-	NP_011302	P35207	-	NP_013502	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
137976	854243	851114	34475	31657	YOR076C	YLR398C	SKI7	SKI2	YOR29-27	SKI complex RNA helicase subunit SKI2|L000001903	Affinity Capture-Western	physical	Araki Y (2001)	PUBMED:11532933	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q08491	-	NP_014719	P35207	-	NP_013502	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
150617	856319	851114	36361	31657	YPR189W	YLR398C	SKI3	SKI2	SKI5|SKI complex subunit tetratricopeptide repeat protein SKI3|L000001904	SKI complex RNA helicase subunit SKI2|L000001903	Two-hybrid	physical	Wang L (2005)	PUBMED:16043509	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P17883	-	NP_015515	P35207	-	NP_013502	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
150618	856319	851114	36361	31657	YPR189W	YLR398C	SKI3	SKI2	SKI5|SKI complex subunit tetratricopeptide repeat protein SKI3|L000001904	SKI complex RNA helicase subunit SKI2|L000001903	Affinity Capture-Western	physical	Wang L (2005)	PUBMED:16043509	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P17883	-	NP_015515	P35207	-	NP_013502	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
156771	851114	853109	31657	33448	YLR398C	YGR195W	SKI2	SKI6	SKI complex RNA helicase subunit SKI2|L000001903	ECM20|RRP41|L000003895|L000004426	Phenotypic Enhancement	genetic	Searfoss AM (2000)	PUBMED:10922069	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P35207	-	NP_013502	P46948	-	NP_011711	APO:0000094	metabolism and growth	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
156772	851114	853187	31657	33520	YLR398C	YGR271W	SKI2	SLH1	SKI complex RNA helicase subunit SKI2|L000001903	-	Phenotypic Enhancement	genetic	Searfoss AM (2000)	PUBMED:10922069	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P35207	-	NP_013502	P53327	-	NP_011787	APO:0000094	metabolism and growth	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
157379	852702	851114	33080	31657	YGL173C	YLR398C	XRN1	SKI2	DST2|KEM1|RAR5|SEP1|SKI1|chromatin-binding exonuclease XRN1|L000000891|L000001902	SKI complex RNA helicase subunit SKI2|L000001903	Synthetic Growth Defect	genetic	Benard L (1999)	PUBMED:10074137	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P22147	-	NP_011342	P35207	-	NP_013502	APO:0000147|APO:0000106	heat sensitivity|vegetative growth	phenotype|phenotype	-|-	-|-	-|-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
158829	851114	852646	31657	33033	YLR398C	YGL246C	SKI2	RAI1	SKI complex RNA helicase subunit SKI2|L000001903	S000007430	Synthetic Lethality	genetic	Xue Y (2000)	PUBMED:10805743	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P35207	-	NP_013502	P53063	-	NP_011268	APO:0000112	inviable	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
159078	852702	851114	33080	31657	YGL173C	YLR398C	XRN1	SKI2	DST2|KEM1|RAR5|SEP1|SKI1|chromatin-binding exonuclease XRN1|L000000891|L000001902	SKI complex RNA helicase subunit SKI2|L000001903	Synthetic Lethality	genetic	Brown JT (2000)	PUBMED:10744028	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P22147	-	NP_011342	P35207	-	NP_013502	APO:0000112	inviable	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
159081	852702	851114	33080	31657	YGL173C	YLR398C	XRN1	SKI2	DST2|KEM1|RAR5|SEP1|SKI1|chromatin-binding exonuclease XRN1|L000000891|L000001902	SKI complex RNA helicase subunit SKI2|L000001903	Synthetic Lethality	genetic	Johnson AW (1995)	PUBMED:7739552	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P22147	-	NP_011342	P35207	-	NP_013502	APO:0000112	inviable	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
159867	851114	854213	31657	34449	YLR398C	YOR048C	SKI2	RAT1	SKI complex RNA helicase subunit SKI2|L000001903	HKE1|TAP1|XRN2|ssRNA exonuclease RAT1|L000001584	Synthetic Rescue	genetic	Johnson AW (1997)	PUBMED:9315672	559292	559292	Low Throughput	-	-	in zrn1 background	-	BIOGRID	P35207	-	NP_013502	Q02792	-	NP_014691	APO:0000111	viability	phenotype	-	-	wild type	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
