#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
140134	855155	853788	35302	34057	YMR125W	YKL074C	STO1	MUD2	CBC1|CBP80|GCR3|SUT1|L000002131	L000002794	Reconstituted Complex	physical	Fortes P (1999)	PUBMED:10490594	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P34160	-	NP_013844	P36084	-	NP_012849	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
140175	850808	853788	31389	34057	YLR117C	YKL074C	CLF1	MUD2	NTC77|SYF3|L000004628	L000002794	Reconstituted Complex	physical	Chung S (1999)	PUBMED:10445879	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q12309	-	NP_013218	P36084	-	NP_012849	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
141261	850808	853788	31389	34057	YLR117C	YKL074C	CLF1	MUD2	NTC77|SYF3|L000004628	L000002794	Two-hybrid	physical	Chung S (1999)	PUBMED:10445879	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q12309	-	NP_013218	P36084	-	NP_012849	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
142306	851518	853788	32016	34057	YDL043C	YKL074C	PRP11	MUD2	RNA11|L000001502	L000002794	Two-hybrid	physical	Abovich N (1994)	PUBMED:7926772	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q07350	-	NP_010241	P36084	-	NP_012849	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
145329	850807	853788	31388	34057	YLR116W	YKL074C	MSL5	MUD2	BBP|L000004109	L000002794	Reconstituted Complex	physical	Rutz B (1999)	PUBMED:10376880	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q12186	-	NP_013217	P36084	-	NP_012849	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
145330	853788	850807	34057	31388	YKL074C	YLR116W	MUD2	MSL5	L000002794	BBP|L000004109	Two-hybrid	physical	Abovich N (1997)	PUBMED:9150140	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P36084	-	NP_012849	Q12186	-	NP_013217	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
145334	850807	853788	31388	34057	YLR116W	YKL074C	MSL5	MUD2	BBP|L000004109	L000002794	Affinity Capture-Western	physical	Abovich N (1997)	PUBMED:9150140	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q12186	-	NP_013217	P36084	-	NP_012849	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
146208	855511	853788	35626	34057	YNL210W	YKL074C	MER1	MUD2	L000001074	L000002794	Two-hybrid	physical	Spingola M (2004)	PUBMED:14973223	559292	559292	Low Throughput	-	-	Two-hybrid results with Mer1 and U1 or U2 snRNP proteins	-	BIOGRID	P16523	-	NP_014189	P36084	-	NP_012849	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
148327	850807	853788	31388	34057	YLR116W	YKL074C	MSL5	MUD2	BBP|L000004109	L000002794	Two-hybrid	physical	Fromont-Racine M (1997)	PUBMED:9207794	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q12186	-	NP_013217	P36084	-	NP_012849	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
148328	853788	850807	34057	31388	YKL074C	YLR116W	MUD2	MSL5	L000002794	BBP|L000004109	Two-hybrid	physical	Fromont-Racine M (1997)	PUBMED:9207794	559292	559292	High Throughput	-	-	-	-	BIOGRID	P36084	-	NP_012849	Q12186	-	NP_013217	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
148331	853788	854960	34057	35122	YKL074C	YML046W	MUD2	PRP39	L000002794	L000001511	Two-hybrid	physical	Fromont-Racine M (1997)	PUBMED:9207794	559292	559292	High Throughput	-	-	-	-	BIOGRID	P36084	-	NP_012849	P39682	-	NP_013667	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
148332	853788	852848	34057	33212	YKL074C	YGL035C	MUD2	MIG1	L000002794	CAT4|SSN1|TDS22|transcription factor MIG1|L000001110	Two-hybrid	physical	Fromont-Racine M (1997)	PUBMED:9207794	559292	559292	High Throughput	-	-	-	-	BIOGRID	P36084	-	NP_012849	P27705	-	NP_011480	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
148333	853788	856091	34057	36161	YKL074C	YPL016W	MUD2	SWI1	L000002794	ADR6|GAM3|LPA1|[SWI(+)]|[SWI+]|L000000052|L000002250	Two-hybrid	physical	Fromont-Racine M (1997)	PUBMED:9207794	559292	559292	High Throughput	-	-	-	-	BIOGRID	P36084	-	NP_012849	P09547	-	NP_015309	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
148334	853788	851071	34057	31619	YKL074C	YLR357W	MUD2	RSC2	L000002794	L000004025	Two-hybrid	physical	Fromont-Racine M (1997)	PUBMED:9207794	559292	559292	High Throughput	-	-	-	-	BIOGRID	P36084	-	NP_012849	Q06488	-	NP_013461	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
148335	853788	852470	34057	32872	YKL074C	YBR172C	MUD2	SMY2	L000002794	L000001941	Two-hybrid	physical	Fromont-Racine M (1997)	PUBMED:9207794	559292	559292	High Throughput	-	-	-	-	BIOGRID	P36084	-	NP_012849	P32909	-	NP_009731	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
148336	853788	855999	34057	36076	YKL074C	YPL105C	MUD2	SYH1	L000002794	MYR1	Two-hybrid	physical	Fromont-Racine M (1997)	PUBMED:9207794	559292	559292	High Throughput	-	-	-	-	BIOGRID	P36084	-	NP_012849	Q02875	-	NP_015220	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
157105	850808	853788	31389	34057	YLR117C	YKL074C	CLF1	MUD2	NTC77|SYF3|L000004628	L000002794	Synthetic Growth Defect	genetic	Vincent K (2003)	PUBMED:12871902	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q12309	-	NP_013218	P36084	-	NP_012849	APO:0000106	vegetative growth	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
157705	855925	853788	36005	34057	YPL178W	YKL074C	CBC2	MUD2	CBP20|MUD13|SAE1|L000002891|L000004111	L000002794	Synthetic Lethality	genetic	Fortes P (1999)	PUBMED:10490594	559292	559292	High Throughput	-	-	in cbp80 background	-	BIOGRID	Q08920	-	NP_015147	P36084	-	NP_012849	APO:0000112	inviable	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
157720	855155	853788	35302	34057	YMR125W	YKL074C	STO1	MUD2	CBC1|CBP80|GCR3|SUT1|L000002131	L000002794	Synthetic Lethality	genetic	Fortes P (1999)	PUBMED:10490594	559292	559292	High Throughput	-	-	in cbp20 background	-	BIOGRID	P34160	-	NP_013844	P36084	-	NP_012849	APO:0000112	inviable	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
162380	851475	853788	31977	34057	YDL084W	YKL074C	SUB2	MUD2	ATP-dependent RNA helicase SUB2|L000004574	L000002794	Synthetic Rescue	genetic	Kistler AL (2001)	PUBMED:11156604	559292	559292	Low Throughput	-	-	mud2D rescues sub2D	-	BIOGRID	Q07478	-	NP_010199	P36084	-	NP_012849	APO:0000147|APO:0000111	heat sensitivity|viability	phenotype|phenotype	-|-	-|-	partial rescue|partial rescue	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
162391	853788	854826	34057	35001	YKL074C	YIR009W	MUD2	MSL1	L000002794	YIB9|YIB9w|L000004502	Synthetic Lethality	genetic	Tang J (1996)	PUBMED:8649387	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P36084	-	NP_012849	P40567	-	NP_012274	APO:0000112	inviable	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
184463	850807	853788	31388	34057	YLR116W	YKL074C	MSL5	MUD2	BBP|L000004109	L000002794	Affinity Capture-MS	physical	Krogan NJ (2006)	PUBMED:16554755	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q12186	-	NP_013217	P36084	-	NP_012849	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
204207	850808	853788	31389	34057	YLR117C	YKL074C	CLF1	MUD2	NTC77|SYF3|L000004628	L000002794	Two-hybrid	physical	Wang Q (2005)	PUBMED:16314500	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q12309	-	NP_013218	P36084	-	NP_012849	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
204211	855281	853788	35419	34057	YMR240C	YKL074C	CUS1	MUD2	L000002833	L000002794	Two-hybrid	physical	Wang Q (2005)	PUBMED:16314500	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q02554	-	NP_013967	P36084	-	NP_012849	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
204214	853788	850808	34057	31389	YKL074C	YLR117C	MUD2	CLF1	L000002794	NTC77|SYF3|L000004628	Two-hybrid	physical	Wang Q (2005)	PUBMED:16314500	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P36084	-	NP_012849	Q12309	-	NP_013218	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
204215	853788	855281	34057	35419	YKL074C	YMR240C	MUD2	CUS1	L000002794	L000002833	Two-hybrid	physical	Wang Q (2005)	PUBMED:16314500	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P36084	-	NP_012849	Q02554	-	NP_013967	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
204216	853788	855332	34057	35468	YKL074C	YMR288W	MUD2	HSH155	L000002794	-	Two-hybrid	physical	Wang Q (2005)	PUBMED:16314500	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P36084	-	NP_012849	P49955	-	NP_014015	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
204217	853788	854821	34057	34996	YKL074C	YIR005W	MUD2	IST3	L000002794	SNU17	Two-hybrid	physical	Wang Q (2005)	PUBMED:16314500	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P36084	-	NP_012849	P40565	-	NP_012270	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
