"my_label","Protein.IDs","Gene.names","Peptides","Razor...unique.peptides","Unique.peptides","Sequence.coverage....","Mol..weight..kDa.","Sequence.length","log2.LFQ.intensity.YKAF000_01","log2.LFQ.intensity.YKAF000_02","log2.LFQ.intensity.YKAF000_03","log2.LFQ.intensity.YKAF000_04","log2.LFQ.intensity.YKAF041_01","log2.LFQ.intensity.YKAF041_02","log2.LFQ.intensity.YKAF041_03","log2.LFQ.intensity.YKAF041_04","imputed.log2.LFQ.intensity.YKAF000_01","imputed.log2.LFQ.intensity.YKAF000_02","imputed.log2.LFQ.intensity.YKAF000_03","imputed.log2.LFQ.intensity.YKAF000_04","imputed.log2.LFQ.intensity.YKAF041_01","imputed.log2.LFQ.intensity.YKAF041_02","imputed.log2.LFQ.intensity.YKAF041_03","imputed.log2.LFQ.intensity.YKAF041_04","mean2_naimp_meas_YKAF000","mean2_naimp_meas_YKAF041","value_count_YKAF000","value_count_YKAF041","pvalue_YKAF041_YKAF000","log10.pvalue_YKAF041_YKAF000","difference_YKAF041_YKAF000","enriched_YKAF041_YKAF000"
"BI4","Q0120","BI4",3,3,3,4.7,74.579,638,29.722747741027,30.0574985793908,29.7464233672787,29.5435339480237,31.2556365768391,29.6972193365881,29.9284656948365,30.4651903156055,29.722747741027,30.0574985793908,29.7464233672787,29.5435339480237,31.2556365768391,29.6972193365881,29.9284656948365,30.4651903156055,29.7675509089301,30.3366279809673,4,4,0.199632970825976,0.699767730256699,0.569077072037228,FALSE
"VAR1","Q0140","VAR1",10,10,10,28.4,47.123,398,28.3903032635288,28.1826248544964,28.1069434640746,28.2543530101895,28.4278231793855,28.5964424658486,28.5521549797761,28.4471501490696,28.3903032635288,28.1826248544964,28.1069434640746,28.2543530101895,28.4278231793855,28.5964424658486,28.5521549797761,28.4471501490696,28.2335561480723,28.5058926935199,4,4,0.0121801659163935,1.91434679576855,0.272336545447601,FALSE
"REP1","R0020C","REP1",8,8,8,24.1,43.231,373,29.3619374840703,29.628796800021,29.2366498959256,29.131707015828,28.7071459302548,29.1705225747052,29.4039344863976,29.3357947586076,29.3619374840703,29.628796800021,29.2366498959256,29.131707015828,28.7071459302548,29.1705225747052,29.4039344863976,29.3357947586076,29.3397727989612,29.1543494374913,4,4,0.371633830398184,0.429884758385345,-0.185423361469887,FALSE
"REP2","R0040C","REP2",4,4,4,16.6,33.196,296,28.2336590962446,28.2025646300645,28.295309111162,28.276973816042,28.3637763771871,28.7776543930148,28.3076071120412,28.1842340017744,28.2336590962446,28.2025646300645,28.295309111162,28.276973816042,28.3637763771871,28.7776543930148,28.3076071120412,28.1842340017744,28.2521266633783,28.4083179710044,4,4,0.313060661402264,0.504371501559969,0.156191307626113,FALSE
"TFC3","YAL001C","TFC3",10,10,10,11,132.11,1160,27.3683633814993,27.0949666636773,27.0888144366957,26.7994650333168,26.9183207958385,26.5724641986527,26.5457777997423,26.7471439981867,27.3683633814993,27.0949666636773,27.0888144366957,26.7994650333168,26.9183207958385,26.5724641986527,26.5457777997423,26.7471439981867,27.0879023787973,26.6959266981051,4,4,0.0381910379450033,1.41803853833624,-0.391975680692219,FALSE
"EFB1","YAL003W","EFB1",12,12,12,68,22.627,206,35.2417552954485,35.2809189175591,35.2584193427806,35.2444160806039,35.2983347265163,35.4868467091451,35.5429392398999,35.4643506160654,35.2417552954485,35.2809189175591,35.2584193427806,35.2444160806039,35.2983347265163,35.4868467091451,35.5429392398999,35.4643506160654,35.256377409098,35.4481178229066,4,4,0.0336634112391454,1.47284187744894,0.191740413808603,FALSE
"SSA1","YAL005C","SSA1",41,10,10,79.1,69.656,642,34.0277071893783,34.342549836368,34.232564535692,34.3610406961875,34.4865770269167,34.1603872598201,33.9871899441059,34.104464815194,34.0277071893783,34.342549836368,34.232564535692,34.3610406961875,34.4865770269167,34.1603872598201,33.9871899441059,34.104464815194,34.2409655644065,34.1846547615092,4,4,0.684899432016991,0.164373193947773,-0.0563108028973005,FALSE
"ERP2","YAL007C","ERP2",3,2,2,13.5,24.063,215,29.2632245272924,28.1626457133904,28.0236914191629,27.5669602100931,29.5311467269364,29.3073248246129,29.5409689593306,28.8747573476798,29.2632245272924,28.1626457133904,28.0236914191629,27.5669602100931,29.5311467269364,29.3073248246129,29.5409689593306,28.8747573476798,28.2541304674847,29.3135494646399,4,4,0.0526795125181552,1.27835825253438,1.05941899715521,FALSE
"SWC3","YAL011W","SWC3",2,2,2,3.8,72.514,625,NA,NA,25.5567221418836,25.8510516745881,NA,NA,NA,NA,24.9017270386908,25.1502865047917,25.5567221418836,25.8510516745881,25.531304927489,25.9198979888178,25.4219362952213,24.5643242625304,25.3649468399886,25.3593658685146,2,0,0.988014238951419,0.005236796451371,-0.00558097147392189,FALSE
"CYS3","YAL012W","CYS3",15,15,15,72.8,42.542,394,34.8566129690038,34.8973528539863,34.8549889131762,35.0175803615153,34.6837923926756,34.9876135062594,35.2051456501162,34.8191223981995,34.8566129690038,34.8973528539863,34.8549889131762,35.0175803615153,34.6837923926756,34.9876135062594,35.2051456501162,34.8191223981995,34.9066337744204,34.9239184868127,4,4,0.891924502748658,0.0496719050715171,0.0172847123922963,FALSE
