Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides IP_01	Peptides IP_02	Peptides IP_03	Peptides IP_04	Peptides RNase_01	Peptides RNase_02	Peptides RNase_03	Peptides RNase_04	Peptides WT_01	Peptides WT_02	Peptides WT_03	Peptides WT_04	Razor + unique peptides IP_01	Razor + unique peptides IP_02	Razor + unique peptides IP_03	Razor + unique peptides IP_04	Razor + unique peptides RNase_01	Razor + unique peptides RNase_02	Razor + unique peptides RNase_03	Razor + unique peptides RNase_04	Razor + unique peptides WT_01	Razor + unique peptides WT_02	Razor + unique peptides WT_03	Razor + unique peptides WT_04	Unique peptides IP_01	Unique peptides IP_02	Unique peptides IP_03	Unique peptides IP_04	Unique peptides RNase_01	Unique peptides RNase_02	Unique peptides RNase_03	Unique peptides RNase_04	Unique peptides WT_01	Unique peptides WT_02	Unique peptides WT_03	Unique peptides WT_04	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type IP_01	Identification type IP_02	Identification type IP_03	Identification type IP_04	Identification type RNase_01	Identification type RNase_02	Identification type RNase_03	Identification type RNase_04	Identification type WT_01	Identification type WT_02	Identification type WT_03	Identification type WT_04	Sequence coverage IP_01 [%]	Sequence coverage IP_02 [%]	Sequence coverage IP_03 [%]	Sequence coverage IP_04 [%]	Sequence coverage RNase_01 [%]	Sequence coverage RNase_02 [%]	Sequence coverage RNase_03 [%]	Sequence coverage RNase_04 [%]	Sequence coverage WT_01 [%]	Sequence coverage WT_02 [%]	Sequence coverage WT_03 [%]	Sequence coverage WT_04 [%]	Intensity	Intensity IP_01	Intensity IP_02	Intensity IP_03	Intensity IP_04	Intensity RNase_01	Intensity RNase_02	Intensity RNase_03	Intensity RNase_04	Intensity WT_01	Intensity WT_02	Intensity WT_03	Intensity WT_04	iBAQ	iBAQ IP_01	iBAQ IP_02	iBAQ IP_03	iBAQ IP_04	iBAQ RNase_01	iBAQ RNase_02	iBAQ RNase_03	iBAQ RNase_04	iBAQ WT_01	iBAQ WT_02	iBAQ WT_03	iBAQ WT_04	LFQ intensity IP_01	LFQ intensity IP_02	LFQ intensity IP_03	LFQ intensity IP_04	LFQ intensity RNase_01	LFQ intensity RNase_02	LFQ intensity RNase_03	LFQ intensity RNase_04	LFQ intensity WT_01	LFQ intensity WT_02	LFQ intensity WT_03	LFQ intensity WT_04	MS/MS count IP_01	MS/MS count IP_02	MS/MS count IP_03	MS/MS count IP_04	MS/MS count RNase_01	MS/MS count RNase_02	MS/MS count RNase_03	MS/MS count RNase_04	MS/MS count WT_01	MS/MS count WT_02	MS/MS count WT_03	MS/MS count WT_04	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
CON__A2I7N3;CON__REFSEQ:XP_001252647	CON__A2I7N3;CON__REFSEQ:XP_001252647	2;1	2;1	2;1	;	2	2	2	2	1	0	0	0	2	2	2	0	2	1	2	2	1	0	0	0	2	2	2	0	2	1	2	2	1	0	0	0	2	2	2	0	2	1	2	2	3.8	3.8	3.8	46.941	417	417;417	0.0034052	1.922	By matching				By MS/MS	By matching	By matching		By MS/MS	By matching	By matching	By MS/MS	1.7	0	0	0	3.8	3.8	3.8	0	3.8	1.7	3.8	3.8	77288000	26938000	0	0	0	9154000	6306800	5339200	0	7508700	3556300	12678000	5806600	7728800	2693800	0	0	0	915400	630680	533920	0	750870	355630	1267800	580660	0	0	0	0	4414000	0	0	0	6488100	0	0	4320400	0	0	0	0	1	0	0	0	1	0	0	1	3			+	0	613;2672	True;True	658;2837	6789;6790;6791;6792;6793;6794;29058;29059;29060;29061;29062;29063;29064;29065	4693;4694;20223	4694;20223		
CON__A3EZ79;CON__A3EZ82	CON__A3EZ79;CON__A3EZ82	1;1	1;1	1;1	;	2	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2.4	2.4	2.4	45.048	449	449;476	0	30.461								By MS/MS					0	0	0	0	0	0	0	2.4	0	0	0	0	33971000	0	0	0	0	0	0	0	33971000	0	0	0	0	4246400	0	0	0	0	0	0	0	4246400	0	0	0	0	0	0	0	0	0	0	0	8683400	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1			+	1	2602	True	2763	28393	19847	19847		
CON__ENSEMBL:ENSBTAP00000007350;CON__P01030	CON__ENSEMBL:ENSBTAP00000007350;CON__P01030	3;2	3;2	3;2	;	2	3	3	3	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	2	2	2	2	1	2	1	2	2	2	2	2	1.4	1.4	1.4	192.99	1742	1742;1741	0	6.4368	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	1.4	1.4	1.4	1.4	0.9	1.4	0.9	0.6	1.4	1.4	1.4	1.4	724230000	43822000	76268000	62589000	50090000	30195000	53326000	30980000	108950000	46885000	53379000	112080000	55657000	19059000	1153200	2007000	1647100	1318200	794610	1403300	815260	2867200	1233800	1404700	2949600	1464700	36441000	23605000	19313000	19589000	0	28828000	0	0	44189000	27505000	42496000	38893000	2	2	1	1	0	0	0	2	1	1	1	1	12			+	2	2120;2434;5372	True;True;True	2254;2589;5785	23489;23490;23491;23492;23493;23494;23495;23496;23497;23498;23499;26896;60471;60472;60473;60474;60475;60476;60477;60478;60479;60480	16598;16599;16600;16601;16602;18859;42538;42539;42540;42541;42542;42543	16599;18859;42543		
CON__ENSEMBL:ENSBTAP00000024146	CON__ENSEMBL:ENSBTAP00000024146	2	2	2		1	2	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1.5	1.5	1.5	164.34	1477	1477	0	4.1866								By MS/MS					0	0	0	0	0	0	0	1.5	0	0	0	0	138210000	0	0	0	0	0	0	0	138210000	0	0	0	0	3455200	0	0	0	0	0	0	0	3455200	0	0	0	0	0	0	0	0	0	0	0	35327000	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2			+	3	387;3124	True;True	420;3352	4377;33779	3015;23344	3015;23344		
CON__ENSEMBL:ENSBTAP00000025008	CON__ENSEMBL:ENSBTAP00000025008	1	1	1		1	1	1	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	3.7	3.7	3.7	59.299	536	536	0	3.0262								By MS/MS					0	0	0	0	0	0	0	3.7	0	0	0	0	583220000	0	0	0	0	0	0	0	583220000	0	0	0	0	116640000	0	0	0	0	0	0	0	116640000	0	0	0	0	0	0	0	0	0	0	0	149080000	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2			+	4	2196	True	2335	24279;24280	17146;17147	17147		
CON__ENSEMBL:ENSBTAP00000031900	CON__ENSEMBL:ENSBTAP00000031900	2	2	2		1	2	2	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	2	2	121.45	1064	1064	0	17.34								By MS/MS					0	0	0	0	0	0	0	2	0	0	0	0	67194000	0	0	0	0	0	0	0	67194000	0	0	0	0	1768300	0	0	0	0	0	0	0	1768300	0	0	0	0	0	0	0	0	0	0	0	17175000	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2			+	5	605;3126	True;True	650;3354	6721;33781	4653;23346	4653;23346		
CON__ENSEMBL:ENSBTAP00000038253	CON__ENSEMBL:ENSBTAP00000038253	9	1	1		1	9	1	1	9	9	8	8	8	8	8	9	8	7	9	7	1	1	0	0	0	0	0	1	0	0	1	0	1	1	0	0	0	0	0	1	0	0	1	0	15.5	3.5	3.5	63.165	606	606	0	3.1502	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS	By matching	15.5	15.5	12	12	12	12	12	15.5	12	10.9	15.5	10.9	131580000	8348800	43626000	0	0	0	0	0	39248000	0	0	40359000	0	7310100	463820	2423700	0	0	0	0	0	2180400	0	0	2242200	0	0	0	0	0	0	0	0	0	0	0	15518000	0	0	1	0	0	0	0	0	0	0	0	1	0	2			+	6	68;309;3496;3873;4030;4031;4122;4967;5187	False;False;True;False;False;False;False;False;False	74;335;3760;4170;4344;4345;4444;5357;5596	703;704;705;706;707;708;709;710;711;712;713;714;3452;3453;3454;3455;3456;3457;3458;3459;3460;3461;3462;3463;3464;3465;3466;3467;3468;3469;3470;3471;3472;3473;3474;3475;3476;3477;3478;3479;3480;3481;3482;3483;38261;38262;38263;38264;42633;42634;42635;42636;42637;42638;42639;42640;42641;42642;42643;42644;42645;42646;42647;42648;42649;42650;42651;42652;42653;42654;42655;42656;42657;42658;42659;42660;42661;42662;42663;42664;42665;42666;42667;42668;42669;42670;42671;42672;42673;42674;42675;42676;42677;42678;42679;42680;42681;42682;42683;42684;42685;42686;42687;42688;42689;42690;42691;42692;42693;42694;42695;42696;42697;42698;42699;42700;42701;42702;42703;42704;42705;42706;42707;42708;42709;42710;42711;42712;42713;42714;42715;42716;42717;42718;42719;42720;42721;42722;42723;42724;42725;42726;42727;42728;42729;42730;42731;42732;42733;42734;42735;42736;42737;42738;42739;42740;42741;42742;42743;42744;42745;42746;42747;42748;42749;42750;42751;42752;42753;42754;42755;42756;42757;42758;42759;42760;44478;44479;44480;44481;44482;44483;44484;44485;44486;44487;44488;44489;44490;44491;44492;44493;44494;44495;44496;44497;44498;44499;44500;44501;44502;44503;44504;44505;44506;44507;44508;44509;44510;44511;44512;44513;44514;44515;44516;44517;44518;44519;44520;44521;44522;44523;44524;44525;44526;44527;44528;44529;44530;44531;44532;44533;44534;44535;44536;44537;44538;44539;44540;44541;44542;44543;44544;44545;44546;44547;44548;44549;44550;45318;45319;45320;45321;45322;45323;45324;45325;45326;45327;45328;45329;45330;45331;45332;45333;55450;55451;55452;55453;55454;55455;55456;55457;55458;55459;55460;55461;55462;55463;55464;55465;55466;55467;55468;55469;55470;55471;55472;55473;55474;55475;55476;55477;55478;55479;55480;55481;55482;55483;55484;55485;55486;55487;55488;55489;55490;55491;55492;55493;55494;55495;55496;55497;55498;55499;55500;55501;55502;55503;55504;55505;55506;55507;55508;55509;55510;55511;55512;55513;55514;55515;55516;55517;55518;55519;55520;55521;55522;55523;55524;55525;55526;55527;55528;55529;55530;55531;55532;55533;58247;58248;58249;58250;58251;58252;58253;58254;58255;58256	571;572;573;574;575;576;577;578;579;580;581;2382;2383;2384;2385;2386;2387;2388;2389;2390;2391;2392;2393;2394;2395;2396;2397;2398;2399;2400;2401;2402;2403;2404;2405;2406;2407;2408;2409;2410;2411;2412;2413;2414;2415;2416;2417;2418;2419;2420;2421;2422;2423;2424;2425;2426;2427;2428;2429;2430;2431;2432;26614;26615;29639;29640;29641;29642;29643;29644;29645;29646;29647;29648;29649;29650;29651;29652;29653;29654;29655;29656;29657;29658;29659;29660;29661;29662;29663;29664;29665;29666;29667;29668;29669;29670;29671;29672;29673;29674;29675;29676;29677;29678;29679;29680;29681;29682;29683;29684;29685;29686;29687;29688;29689;29690;29691;29692;29693;29694;29695;29696;29697;29698;29699;29700;29701;29702;29703;29704;29705;29706;29707;29708;29709;29710;29711;29712;29713;29714;29715;29716;29717;29718;29719;29720;29721;29722;29723;29724;29725;29726;29727;29728;29729;29730;29731;29732;29733;29734;29735;29736;29737;29738;29739;29740;29741;29742;29743;29744;29745;29746;29747;29748;29749;29750;29751;29752;29753;29754;29755;29756;29757;29758;29759;29760;29761;29762;29763;29764;29765;29766;29767;29768;29769;29770;29771;29772;30865;30866;30867;30868;30869;30870;30871;30872;30873;30874;30875;30876;30877;30878;30879;30880;30881;30882;30883;30884;30885;30886;30887;30888;30889;30890;30891;30892;30893;30894;30895;30896;30897;30898;30899;30900;30901;30902;30903;30904;30905;30906;30907;30908;30909;30910;30911;30912;30913;30914;31411;31412;31413;31414;31415;31416;31417;31418;31419;31420;31421;31422;31423;31424;31425;31426;31427;31428;31429;31430;31431;31432;31433;31434;31435;31436;31437;31438;31439;31440;31441;31442;31443;31444;31445;31446;31447;31448;31449;31450;31451;31452;31453;31454;31455;31456;31457;31458;31459;31460;31461;31462;31463;31464;31465;31466;31467;31468;31469;31470;31471;31472;31473;38826;38827;38828;38829;38830;38831;38832;38833;38834;38835;38836;38837;38838;38839;38840;38841;38842;38843;38844;38845;38846;38847;38848;38849;38850;38851;38852;38853;38854;38855;38856;38857;38858;38859;38860;38861;38862;38863;38864;38865;38866;38867;38868;38869;38870;38871;38872;38873;38874;38875;38876;38877;38878;38879;38880;38881;38882;38883;38884;38885;38886;38887;38888;38889;38890;38891;38892;38893;38894;38895;38896;38897;38898;38899;38900;38901;38902;38903;38904;38905;38906;38907;38908;38909;38910;38911;38912;38913;38914;38915;38916;38917;38918;38919;38920;38921;38922;38923;38924;38925;38926;38927;38928;38929;38930;38931;38932;38933;38934;38935;38936;38937;38938;38939;38940;38941;38942;38943;38944;38945;38946;38947;38948;38949;38950;38951;38952;38953;38954;38955;38956;38957;38958;38959;38960;38961;38962;40889;40890;40891;40892;40893;40894;40895;40896;40897;40898	579;2429;26615;29662;30897;30914;31453;38912;40896		
CON__O43790;CON__Q6NT21;CON__P78385;CON__Q14533;CON__P78386;CON__Q61726	CON__O43790;CON__Q6NT21;CON__P78385;CON__Q14533;CON__P78386;CON__Q61726	4;4;4;4;3;2	3;3;3;3;2;1	3;3;3;3;2;1	;;;;;	6	4	3	3	4	2	1	1	4	4	4	1	4	3	4	4	3	1	0	0	3	3	3	0	3	2	3	3	3	1	0	0	3	3	3	0	3	2	3	3	10.9	9.1	9.1	53.5	486	486;493;493;505;507;479	0	24.454	By matching	By matching	By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	10.9	4.3	1.9	1.9	10.9	10.9	10.9	1.9	10.9	8.4	10.9	10.9	140020000	14666000	5330700	0	0	10493000	34811000	12084000	0	24722000	6010400	17120000	14786000	12729000	1333300	484610	0	0	953920	3164600	1098600	0	2247500	546400	1556400	1344200	4646200	0	0	0	5132300	19503000	3480200	0	26960000	3934500	4382700	12375000	0	0	0	0	1	2	1	0	3	0	1	2	10			+	7	2460;2534;4032;4965	True;True;True;False	2617;2693;4346;5355	27142;27143;27144;27145;27146;27147;27148;27149;27805;27806;27807;27808;27809;27810;27811;27812;44551;44552;44553;44554;44555;44556;44557;44558;55354;55355;55356;55357;55358;55359;55360;55361;55362;55363;55364;55365;55366;55367;55368;55369;55370;55371;55372;55373;55374;55375;55376;55377;55378;55379;55380;55381;55382;55383	19031;19032;19033;19034;19035;19036;19495;19496;19497;30915;38718;38719;38720;38721;38722;38723;38724;38725;38726;38727;38728;38729;38730;38731;38732;38733;38734;38735;38736;38737;38738;38739;38740;38741;38742;38743;38744;38745;38746;38747;38748;38749;38750;38751;38752;38753;38754;38755;38756;38757;38758;38759;38760;38761;38762;38763;38764;38765;38766;38767;38768;38769;38770;38771;38772;38773;38774;38775	19033;19497;30915;38773		
CON__O76013;CON__REFSEQ:XP_986630	CON__O76013	5;1	4;0	3;0		2	5	4	3	3	1	0	1	2	1	3	1	5	0	1	1	2	0	0	0	1	0	2	0	4	0	0	0	2	0	0	0	1	0	2	0	3	0	0	0	14.3	12.4	9	52.247	467	467;476	0	8.8776	By matching	By matching		By matching	By matching	By matching	By MS/MS	By matching	By MS/MS		By matching	By matching	7.7	1.9	0	1.9	4.7	1.9	7.7	1.9	14.3	0	1.9	1.9	46930000	3046200	0	0	0	1027300	0	8172900	0	34683000	0	0	0	4693000	304620	0	0	0	102730	0	817290	0	3468300	0	0	0	3572200	0	0	0	0	0	5641600	0	30926000	0	0	0	0	0	0	0	0	0	1	0	5	0	0	0	6			+	8	379;1155;2438;3903;4830	True;True;False;True;True	411;1235;2594;4207;5212	4310;12352;26940;26941;26942;26943;26944;26945;26946;26947;26948;26949;43258;43259;43260;53301;53302;53303;53304;53305	2973;8542;18888;18889;18890;30095;30096;37006;37007	2973;8542;18890;30095;37006		
CON__O76015;CON__O76014	CON__O76015;CON__O76014	2;1	1;1	1;1	;	2	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5.5	2	2	50.49	456	456;471	0	3.4167	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	2	2	2	2	2	2	2	2	5.5	2	2	2	473190000	32482000	42332000	29451000	13890000	22689000	20617000	16992000	221110000	9344900	12407000	14087000	37783000	39432000	2706800	3527700	2454300	1157500	1890800	1718100	1416000	18426000	778740	1033900	1173900	3148600	22591000	15467000	9593700	4956600	8636400	8924700	6861200	57603000	8469600	7856000	5522100	26520000	2	2	2	2	2	2	1	2	1	1	2	1	20			+	9	1155;2437	False;True	1235;2593	12352;26916;26917;26918;26919;26920;26921;26922;26923;26924;26925;26926;26927;26928;26929;26930;26931;26932;26933;26934;26935;26936;26937;26938;26939	8542;18868;18869;18870;18871;18872;18873;18874;18875;18876;18877;18878;18879;18880;18881;18882;18883;18884;18885;18886;18887	8542;18882		
