#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
96337	851716	851475	32192	31977	YDR138W	YDL084W	HPR1	SUB2	TRF1|L000000808	ATP-dependent RNA helicase SUB2|L000004574	Affinity Capture-MS	physical	Krogan NJ (2004)	PUBMED:14759368	559292	559292	High Throughput	-	-	-	-	BIOGRID	P17629	-	NP_010422	Q07478	-	NP_010199	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
96338	854940	851475	35104	31977	YML062C	YDL084W	MFT1	SUB2	MFT52|L000001099	ATP-dependent RNA helicase SUB2|L000004574	Affinity Capture-MS	physical	Krogan NJ (2004)	PUBMED:14759368	559292	559292	High Throughput	-	-	-	-	BIOGRID	P33441	-	NP_013649	Q07478	-	NP_010199	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
96339	851475	851475	31977	31977	YDL084W	YDL084W	SUB2	SUB2	ATP-dependent RNA helicase SUB2|L000004574	ATP-dependent RNA helicase SUB2|L000004574	Affinity Capture-MS	physical	Krogan NJ (2004)	PUBMED:14759368	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q07478	-	NP_010199	Q07478	-	NP_010199	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
100887	851716	851475	32192	31977	YDR138W	YDL084W	HPR1	SUB2	TRF1|L000000808	ATP-dependent RNA helicase SUB2|L000004574	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P17629	-	NP_010422	Q07478	-	NP_010199	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
103530	850346	851475	30970	31977	YCL011C	YDL084W	GBP2	SUB2	RLF6|L000002609|L000003049	ATP-dependent RNA helicase SUB2|L000004574	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P25555	-	NP_009916	Q07478	-	NP_010199	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
138276	851475	851716	31977	32192	YDL084W	YDR138W	SUB2	HPR1	ATP-dependent RNA helicase SUB2|L000004574	TRF1|L000000808	Affinity Capture-Western	physical	Zenklusen D (2002)	PUBMED:12417727	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q07478	-	NP_010199	P17629	-	NP_010422	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
138277	851475	851988	31977	32441	YDL084W	YDR381W	SUB2	YRA1	ATP-dependent RNA helicase SUB2|L000004574	SHE11|RNA-binding protein YRA1|L000002959|L000002873	Affinity Capture-Western	physical	Zenklusen D (2002)	PUBMED:12417727	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q07478	-	NP_010199	Q12159	-	NP_010669	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
138278	851988	851475	32441	31977	YDR381W	YDL084W	YRA1	SUB2	SHE11|RNA-binding protein YRA1|L000002959|L000002873	ATP-dependent RNA helicase SUB2|L000004574	Affinity Capture-Western	physical	Zenklusen D (2002)	PUBMED:12417727	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q12159	-	NP_010669	Q07478	-	NP_010199	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
138279	851475	851988	31977	32441	YDL084W	YDR381W	SUB2	YRA1	ATP-dependent RNA helicase SUB2|L000004574	SHE11|RNA-binding protein YRA1|L000002959|L000002873	Affinity Capture-Western	physical	Straesser K (2001)	PUBMED:11675790	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q07478	-	NP_010199	Q12159	-	NP_010669	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
138280	851475	851988	31977	32441	YDL084W	YDR381W	SUB2	YRA1	ATP-dependent RNA helicase SUB2|L000004574	SHE11|RNA-binding protein YRA1|L000002959|L000002873	Affinity Capture-Western	physical	Straesser K (2002)	PUBMED:11979277	559292	559292	Low Throughput	-	-	-	-	BIOGRID	Q07478	-	NP_010199	Q12159	-	NP_010669	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
138765	853666	851475	33951	31977	YKL214C	YDL084W	YRA2	SUB2	-	ATP-dependent RNA helicase SUB2|L000004574	Affinity Capture-Western	physical	Zenklusen D (2002)	PUBMED:12417727	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P36036	-	NP_012708	Q07478	-	NP_010199	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
