"Pulldown stock ID","Enriched Interacors ID","Analysis","Signature accession","Signature description","Interpro description","Enriched IN signature","Enriched NOT in signature","Quantified IN signature","Quantified NOT in signature","P-value","Estimate","Adjusted P-value"
"YAF034","YDL192W","CDD","cd04150","Arf1_5_like","-",1,6,1,162,0.080891054646711,25.0745117741677,0.178848890427291
"YAF034","YDR375C","CDD","cd00009","AAA","-",1,6,6,157,0.259022395153308,4.2916645495091,0.277746905646318
"YAF034","YER165W","CDD","cd12378","RRM1_I_PABPs","-",1,6,1,162,0.080891054646711,25.0745117741677,0.178848890427291
"YAF034","YER165W","CDD","cd12379","RRM2_I_PABPs","-",1,6,1,162,0.080891054646711,25.0745117741677,0.178848890427291
"YAF034","YER165W","CDD","cd12380","RRM3_I_PABPs","-",1,6,1,162,0.080891054646711,25.0745117741677,0.178848890427291
"YAF034","YER165W","CDD","cd12381","RRM4_I_PABPs","-",1,6,1,162,0.080891054646711,25.0745117741677,0.178848890427291
"YAF034","YHL034C","CDD","cd00590","RRM_SF","-",1,6,1,162,0.080891054646711,25.0745117741677,0.178848890427291
"YAF034","YJL034W","CDD","cd10241","HSPA5-like_NBD","Endoplasmic reticulum chaperone BIP, nucleotide-binding domain",1,6,1,162,0.080891054646711,25.0745117741677,0.178848890427291
"YAF034","YJR064W","CDD","cd03339","TCP1_epsilon","T-complex protein 1, epsilon subunit",1,6,1,162,0.080891054646711,25.0745117741677,0.178848890427291
"YAF034","YLR432W","CDD","cd00381","IMPDH","IMP dehydrogenase/GMP reductase",1,6,1,162,0.080891054646711,25.0745117741677,0.178848890427291
"YAF034","YLR432W","CDD","cd04601","CBS_pair_IMPDH","-",1,6,1,162,0.080891054646711,25.0745117741677,0.178848890427291
"YAF034","YDL192W;YDR375C","Gene3D","G3DSA:3.40.50.300","-","-",2,5,24,207,0.171133911893966,3.42271245342144,0.217584545122328
"YAF034","YER165W","Gene3D","G3DSA:1.10.1900.10","-","-",1,6,1,230,0.0580789277736411,35.5641113253671,0.178848890427291
"YAF034","YER165W;YHL034C","Gene3D","G3DSA:3.30.70.330","-","Nucleotide-binding alpha-beta plait domain superfamily",2,5,6,225,0.0191376163964301,14.4698705981115,0.178848890427291
"YAF034","YJL034W","Gene3D","G3DSA:1.20.1270.10","-","Heat shock protein 70kD, C-terminal domain superfamily",1,6,6,225,0.190788533527055,6.14138490609226,0.232605198409697
"YAF034","YJL034W","Gene3D","G3DSA:2.60.34.10","Substrate Binding Domain Of DNAk; Chain A","Heat shock protein 70kD, peptide-binding domain superfamily",1,6,7,224,0.215310093117144,5.25482931563655,0.24567433701828
"YAF034","YJL034W","Gene3D","G3DSA:3.30.30.30","-","-",1,6,7,224,0.215310093117144,5.25482931563655,0.24567433701828
"YAF034","YJL034W","Gene3D","G3DSA:3.30.420.40","-","-",1,6,9,222,0.262448100813695,4.06633413408809,0.278070011576415
"YAF034","YJL034W","Gene3D","G3DSA:3.90.640.10","Actin; Chain A","-",1,6,8,223,0.239191959848362,4.58746363179875,0.259610785689075
"YAF034","YJR064W","Gene3D","G3DSA:1.10.560.10","GROEL","GroEL-like equatorial domain superfamily",1,6,4,227,0.139769222582861,9.21194355255182,0.208072143216894
"YAF034","YJR064W","Gene3D","G3DSA:3.30.260.10","GROEL","TCP-1-like chaperonin intermediate domain superfamily",1,6,2,229,0.0860172646617113,18.1971158387972,0.178848890427291
"YAF034","YJR064W","Gene3D","G3DSA:3.50.7.10","GroEL","GroEL-like apical domain superfamily",1,6,4,227,0.139769222582861,9.21194355255182,0.208072143216894
"YAF034","YLR432W","Gene3D","G3DSA:3.20.20.70","Aldolase class I","Aldolase-type TIM barrel",1,6,6,225,0.190788533527055,6.14138490609226,0.232605198409697
"YAF034","YDL192W","SMART","SM00175","rab_sub_5","-",1,5,2,100,0.158976468974706,9.48330120620767,0.208072143216894
"YAF034","YDL192W","SMART","SM00177","arf_sub_2","-",1,5,2,100,0.158976468974706,9.48330120620767,0.208072143216894
"YAF034","YDL192W","SMART","SM00178","sar_sub_1","-",1,5,2,100,0.158976468974706,9.48330120620767,0.208072143216894
"YAF034","YDR375C","SMART","SM00382","AAA_5","AAA+ ATPase domain",1,5,11,91,0.515535901824172,1.6454092710279,0.527387301866107
"YAF034","YDR375C","SMART","SM01024","BCS1_N_2","BCS1, N-terminal",1,5,1,101,0.108515057113188,18.5243239910514,0.178848890427291
"YAF034","YER165W;YHL034C","SMART","SM00360","rrm1_1","RNA recognition motif domain",2,4,5,97,0.0479490225964795,9.25488007422984,0.178848890427291
"YAF034","YER165W","SMART","SM00361","rrm2_1","RNA recognition motif domain, eukaryote",1,5,1,101,0.108515057113188,18.5243239910514,0.178848890427291
"YAF034","YER165W","SMART","SM00517","poly_2","Polyadenylate-binding protein/Hyperplastic disc protein",1,5,1,101,0.108515057113188,18.5243239910514,0.178848890427291
