#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
96014	853071	852606	33414	32995	YGR162W	YGL245W	TIF4631	GUS1	eiF4G1|L000002309	GSN1|glutamate--tRNA ligase GUS1|GluRS	Affinity Capture-MS	physical	Krogan NJ (2004)	PUBMED:14759368	559292	559292	High Throughput	-	-	-	-	BIOGRID	P39935	-	NP_011678	P46655	-	NP_011269	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
96132	853071	851548	33414	32040	YGR162W	YDL014W	TIF4631	NOP1	eiF4G1|L000002309	LOT3|rRNA methyltransferase NOP1|L000001260	Affinity Capture-MS	physical	Krogan NJ (2004)	PUBMED:14759368	559292	559292	High Throughput	-	-	-	-	BIOGRID	P39935	-	NP_011678	P15646	-	NP_010270	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
96143	853071	854379	33414	34599	YGR162W	YOR204W	TIF4631	DED1	eiF4G1|L000002309	SPP81|DEAD-box ATP-dependent RNA helicase DED1|L000000500	Affinity Capture-MS	physical	Krogan NJ (2004)	PUBMED:14759368	559292	559292	High Throughput	-	-	-	-	BIOGRID	P39935	-	NP_011678	P06634	-	NP_014847	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
96153	853071	856912	33414	36918	YGR162W	YER165W	TIF4631	PAB1	eiF4G1|L000002309	polyadenylate-binding protein|L000001327	Affinity Capture-MS	physical	Krogan NJ (2004)	PUBMED:14759368	559292	559292	High Throughput	-	-	-	-	BIOGRID	P39935	-	NP_011678	P04147	-	NP_011092	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
96158	853071	854026	33414	34278	YGR162W	YOL139C	TIF4631	CDC33	eiF4G1|L000002309	TIF45|translation initiation factor eIF4E|eIF4E|L000000270	Affinity Capture-MS	physical	Krogan NJ (2004)	PUBMED:14759368	559292	559292	High Throughput	-	-	-	-	BIOGRID	P39935	-	NP_011678	P07260	-	NP_014502	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
96159	853071	851431	33414	31937	YGR162W	YDL126C	TIF4631	CDC48	eiF4G1|L000002309	AAA family ATPase CDC48|L000000280	Affinity Capture-MS	physical	Krogan NJ (2004)	PUBMED:14759368	559292	559292	High Throughput	-	-	-	-	BIOGRID	P39935	-	NP_011678	P25694	-	NP_010157	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
96160	853071	853603	33414	33894	YGR162W	YJR138W	TIF4631	IML1	eiF4G1|L000002309	SEA1	Affinity Capture-MS	physical	Krogan NJ (2004)	PUBMED:14759368	559292	559292	High Throughput	-	-	-	-	BIOGRID	P39935	-	NP_011678	P47170	-	NP_012672	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
96161	853071	856846	33414	36855	YGR162W	YER110C	TIF4631	KAP123	eiF4G1|L000002309	YRB4|L000003445|L000003466	Affinity Capture-MS	physical	Krogan NJ (2004)	PUBMED:14759368	559292	559292	High Throughput	-	-	-	-	BIOGRID	P39935	-	NP_011678	P40069	-	NP_011035	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
96162	853071	853303	33414	33619	YGR162W	YJL138C	TIF4631	TIF2	eiF4G1|L000002309	translation initiation factor eIF4A|eIF4A|L000002303	Affinity Capture-MS	physical	Krogan NJ (2004)	PUBMED:14759368	559292	559292	High Throughput	-	-	-	-	BIOGRID	P39935	-	NP_011678	P10081	-	NP_012397	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
96163	853071	853071	33414	33414	YGR162W	YGR162W	TIF4631	TIF4631	eiF4G1|L000002309	eiF4G1|L000002309	Affinity Capture-MS	physical	Krogan NJ (2004)	PUBMED:14759368	559292	559292	High Throughput	-	-	-	-	BIOGRID	P39935	-	NP_011678	P39935	-	NP_011678	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
96164	853071	854156	33414	34398	YGR162W	YOL006C	TIF4631	TOP1	eiF4G1|L000002309	MAK1|MAK17|DNA topoisomerase 1|L000002319	Affinity Capture-MS	physical	Krogan NJ (2004)	PUBMED:14759368	559292	559292	High Throughput	-	-	-	-	BIOGRID	P39935	-	NP_011678	P04786	-	NP_014637	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
96165	853071	850951	33414	31517	YGR162W	YLR249W	TIF4631	YEF3	eiF4G1|L000002309	TEF3|translation elongation factor eEF1B subunit gamma|eEF1Bgamma|EF-3|eEF3|L000002505	Affinity Capture-MS	physical	Krogan NJ (2004)	PUBMED:14759368	559292	559292	High Throughput	-	-	-	-	BIOGRID	P39935	-	NP_011678	P16521	-	NP_013350	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
96950	850872	853071	31446	33414	YLR175W	YGR162W	CBF5	TIF4631	pseudouridine synthase CBF5|L000000223	eiF4G1|L000002309	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P33322	-	NP_013276	P39935	-	NP_011678	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
96951	853071	850872	33414	31446	YGR162W	YLR175W	TIF4631	CBF5	eiF4G1|L000002309	pseudouridine synthase CBF5|L000000223	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P39935	-	NP_011678	P33322	-	NP_013276	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
96988	854026	853071	34278	33414	YOL139C	YGR162W	CDC33	TIF4631	TIF45|translation initiation factor eIF4E|eIF4E|L000000270	eiF4G1|L000002309	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P07260	-	NP_014502	P39935	-	NP_011678	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
96989	853071	854026	33414	34278	YGR162W	YOL139C	TIF4631	CDC33	eiF4G1|L000002309	TIF45|translation initiation factor eIF4E|eIF4E|L000000270	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P39935	-	NP_011678	P07260	-	NP_014502	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
97799	851471	853071	31973	33414	YDL087C	YGR162W	LUC7	TIF4631	EPE1|EXM2|L000003348	eiF4G1|L000002309	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q07508	-	NP_010196	P39935	-	NP_011678	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
98037	852553	853071	32946	33414	YBR251W	YGR162W	MRPS5	TIF4631	mitochondrial 37S ribosomal protein MRPS5|L000001174	eiF4G1|L000002309	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P33759	-	NP_009810	P39935	-	NP_011678	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
98564	855716	853071	35810	33414	YNL016W	YGR162W	PUB1	TIF4631	RNP1|L000001529	eiF4G1|L000002309	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	P32588	-	NP_014382	P39935	-	NP_011678	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
