#BioGRID Interaction ID	Entrez Gene Interactor A	Entrez Gene Interactor B	BioGRID ID Interactor A	BioGRID ID Interactor B	Systematic Name Interactor A	Systematic Name Interactor B	Official Symbol Interactor A	Official Symbol Interactor B	Synonyms Interactor A	Synonyms Interactor B	Experimental System	Experimental System Type	Author	Publication Source	Organism ID Interactor A	Organism ID Interactor B	Throughput	Score	Modification	Qualifications	Tags	Source Database	SWISS-PROT Accessions Interactor A	TREMBL Accessions Interactor A	REFSEQ Accessions Interactor A	SWISS-PROT Accessions Interactor B	TREMBL Accessions Interactor B	REFSEQ Accessions Interactor B	Ontology Term IDs	Ontology Term Names	Ontology Term Categories	Ontology Term Qualifier IDs	Ontology Term Qualifier Names	Ontology Term Types	Organism Name Interactor A	Organism Name Interactor B
97395	851584	855450	32071	35569	YDR021W	YNL271C	FAL1	BNI1	ATP-dependent RNA helicase FAL1|L000003480	PPF3|SHE5|formin BNI1|L000000190	Affinity Capture-MS	physical	Gavin AC (2002)	PUBMED:11805826	559292	559292	High Throughput	-	-	-	-	BIOGRID	Q12099	-	NP_010304	P41832	-	NP_014128	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
102661	853463	851584	33763	32071	YJR007W	YDR021W	SUI2	FAL1	translation initiation factor eIF2 subunit alpha|L000002178	ATP-dependent RNA helicase FAL1|L000003480	Affinity Capture-MS	physical	Ho Y (2002)	PUBMED:11805837	559292	559292	High Throughput	-	-	-	-	BIOGRID	P20459	-	NP_012540	Q12099	-	NP_010304	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
163733	856864	851584	36871	32071	YER127W	YDR021W	LCP5	FAL1	L000004265	ATP-dependent RNA helicase FAL1|L000003480	Synthetic Lethality	genetic	Wiederkehr T (1998)	PUBMED:9814757	559292	559292	Low Throughput	-	-	-	-	BIOGRID	P40079	-	NP_011053	Q12099	-	NP_010304	APO:0000112	inviable	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
183891	853303	851584	33619	32071	YJL138C	YDR021W	TIF2	FAL1	translation initiation factor eIF4A|eIF4A|L000002303	ATP-dependent RNA helicase FAL1|L000003480	Affinity Capture-MS	physical	Krogan NJ (2006)	PUBMED:16554755	559292	559292	High Throughput	-	-	-	-	BIOGRID	P10081	-	NP_012397	Q12099	-	NP_010304	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
200241	850950	851584	31516	32071	YLR248W	YDR021W	RCK2	FAL1	CLK1|CMK3|serine/threonine protein kinase RCK2|L000001593	ATP-dependent RNA helicase FAL1|L000003480	Biochemical Activity	physical	Ptacek J (2005)	PUBMED:16319894	559292	559292	High Throughput	-	Phosphorylation	32P incorporation on protein chip	-	BIOGRID	P38623	-	NP_013349	Q12099	-	NP_010304	-	-	-	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
365538	851584	852262	32071	32679	YDR021W	YBL019W	FAL1	APN2	ATP-dependent RNA helicase FAL1|L000003480	ETH1|DNA-(apurinic or apyrimidinic site) lyase APN2|L000004434	Negative Genetic	genetic	Costanzo M (2010)	PUBMED:20093466	559292	559292	High Throughput	-0.1646	-	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.|YDR021W is an essential gene and therefore a gene-dosage DAmP allele was used in the experiment.    The Decreased Abundance by mRNA Perturbation (DAmP) method results in destabilizing a gene's transcripts thereby decreasing the amount of protein.	-	BIOGRID	Q12099	-	NP_010304	P38207	-	NP_009534	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
365539	851584	850454	32071	31064	YDR021W	YCR092C	FAL1	MSH3	ATP-dependent RNA helicase FAL1|L000003480	mismatch repair protein MSH3|L000001191	Negative Genetic	genetic	Costanzo M (2010)	PUBMED:20093466	559292	559292	High Throughput	-0.1395	-	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.|YDR021W is an essential gene and therefore a gene-dosage DAmP allele was used in the experiment.    The Decreased Abundance by mRNA Perturbation (DAmP) method results in destabilizing a gene's transcripts thereby decreasing the amount of protein.	-	BIOGRID	Q12099	-	NP_010304	P25336	-	NP_010016	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
365540	851584	851765	32071	32238	YDR021W	YDR184C	FAL1	ATC1	ATP-dependent RNA helicase FAL1|L000003480	LIC4|L000004405	Negative Genetic	genetic	Costanzo M (2010)	PUBMED:20093466	559292	559292	High Throughput	-0.1463	-	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.|YDR021W is an essential gene and therefore a gene-dosage DAmP allele was used in the experiment.    The Decreased Abundance by mRNA Perturbation (DAmP) method results in destabilizing a gene's transcripts thereby decreasing the amount of protein.	-	BIOGRID	Q12099	-	NP_010304	Q04005	-	NP_010470	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
365541	851584	853026	32071	33373	YDR021W	YGR125W	FAL1	YGR125W	ATP-dependent RNA helicase FAL1|L000003480	-	Negative Genetic	genetic	Costanzo M (2010)	PUBMED:20093466	559292	559292	High Throughput	-0.2041	-	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.|YDR021W is an essential gene and therefore a gene-dosage DAmP allele was used in the experiment.    The Decreased Abundance by mRNA Perturbation (DAmP) method results in destabilizing a gene's transcripts thereby decreasing the amount of protein.	-	BIOGRID	Q12099	-	NP_010304	P53273	-	NP_011641	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
365542	851584	856464	32071	36499	YDR021W	YHR067W	FAL1	HTD2	ATP-dependent RNA helicase FAL1|L000003480	RMD12|hydroxyacyl-thioester dehydratase HTD2	Negative Genetic	genetic	Costanzo M (2010)	PUBMED:20093466	559292	559292	High Throughput	-0.1609	-	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.|YDR021W is an essential gene and therefore a gene-dosage DAmP allele was used in the experiment.    The Decreased Abundance by mRNA Perturbation (DAmP) method results in destabilizing a gene's transcripts thereby decreasing the amount of protein.	-	BIOGRID	Q12099	-	NP_010304	P38790	-	NP_011934	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
365543	851584	856472	32071	36507	YDR021W	YHR073W	FAL1	OSH3	ATP-dependent RNA helicase FAL1|L000003480	oxysterol-binding protein related protein OSH3	Negative Genetic	genetic	Costanzo M (2010)	PUBMED:20093466	559292	559292	High Throughput	-0.1242	-	A Synthetic Genetic Array (SGA) analysis was carried out to quantitatively score genetic interactions based on fitness defects that were estimated from the colony size of double versus single mutants. Genetic interactions were considered significant if they had an SGA score of epsilon > 0.08 for positive interactions and epsilon < -0.08 for negative interactions, and a p-value < 0.05.|YDR021W is an essential gene and therefore a gene-dosage DAmP allele was used in the experiment.    The Decreased Abundance by mRNA Perturbation (DAmP) method results in destabilizing a gene's transcripts thereby decreasing the amount of protein.	-	BIOGRID	Q12099	-	NP_010304	P38713	-	NP_011940	APO:0000063	colony size	phenotype	-	-	-	Saccharomyces cerevisiae (S288c)	Saccharomyces cerevisiae (S288c)
